particulars_1,particulars_2,appropriation,expenditures,balance
MOOE,"Repair and Maintenance  - Roads, Highways and Bridges",6000000,5008307.26,991692.74
MOOE,"Repair and Maintenance  - Irrigation, Canal and Literal",1500000,1225534.61,274465.39
MOOE,Repair of Riverbank Protection (Tabon/Mangagoy),2000000,-,2000000
MOOE,Vegetable and Root Crops Protection,2000000,1696068,303932
MOOE,Rice Sedd Protection,500000,349756.95,150243.05
MOOE,Corn Production,500000,349973,150027
MOOE,Tilapia and Pangasius Production,1000000,859865.64,140134.36
MOOE,Organic Fertilizer,900000,595096.95,304903.05
MOOE,Swine Restocking,100000,82485.2,17514.8
MOOE,Livestock and Poultry Production,1000000,663556.1,336443.9
MOOE,Forest Protection Program,1407000,1257464.2,149535.8
MOOE,Fores Nursery Program,350000,275482,74518
MOOE,Mangrove Development Project,500000,318479,181521
MOOE,Reforestation Program,500000,-,500000
MOOE,Solid Waste Mangaement Program,6000000,5225872.07,774127.93
MOOE,Katarungan Pambarangay,300000,-,300000
Grand Total,Grand Total,24557000,17937940.98,6619059.02
