Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Region,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Disbursement_Rate,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Time_Elapsed,Utilization_Rate,Balance,Loan_Status
PH-P241,Pinatubo Hazard Urgent Mitigation Project III,GOJ-JICA,Project,DPWH,III,2.39,0.00,0.00,1.59,3.98,0.00,0.00,1.95,0.66,2.61,0.00,0.00,0.00,0.00,152.49%,0.00,65.50,65.50,1.59,0.00,83.79,83.79,0,-1.59,0,6.08%,3/8/06,,4/15/08,10.17%,1.89%,82.20,Ongoing
SAUDI-1/433,Mindanao Roads Improvement Project,Saudi Arabia,Project,DPWH,Mindanao Wide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.78,9.56,17.34,0.00,0.00,0.00,0.00,0.00%,0.00,20.00,20.00,0.00,12.20,20.00,20.00,0.00%,12.20,0,0.00%,3/9/06,12/31/12,4/2/06,40.73%,0.00%,20.00,Ongoing
UK-4,Tulay ng Pangulo sa Kaunlaran,UK,Project,DPWH,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,61.62,90.96,168.44,168.44,67.75%,29.34,0,0.00%,3/10/06,,9/29/05,66.72%,36.58%,106.82,Ongoing
PH-7147,KALAHI-CIDSS Project,WB,Project,DSWD,Multi-Regional,3.13,3.37,5.98,3.87,16.34,9.27,9.27,6.67,9.27,34.48,0.00,0.00,0.00,0.00,47.39%,0.00,42.91,42.91,73.36,99.85,100.00,100.00,73.47%,26.49,0,38.09%,3/11/06,5/31/11,12/16/02,71.47%,73.36%,26.64,Ongoing
IFAD-661-PH,Rural Micro-Enterprise Promotion Programme,IFAD,Project,DTI,Nationwide,0.00,1.00,1.03,0.36,2.39,0.24,0.48,0.45,0.24,1.41,0.00,0.00,0.00,0.00,169.17%,0.00,18.24,18.24,2.79,3.17,18.64,18.64,87.95%,0.38,0,13.09%,3/12/06,,10/31/06,28.30%,14.95%,15.85,Ongoing
PH-P191,Metro Iligan Regional Infrastructure Dev't. Project,GOJ-JICA,Project,Lanao del Norte Provl Govt,XII,0.06,0.00,1.62,0.34,2.02,2.46,4.68,7.37,9.37,23.88,0.00,0.00,0.00,0.00,8.44%,0.00,25.89,25.89,17.77,28.64,47.69,47.69,62.05%,10.87,0,7.79%,3/13/06,6/7/10,1/7/99,87.46%,37.26%,29.92,Ongoing
1843-PHI,Mindanao Basic Urban Services Sector,ADB,Project,LBP,Mindanao Wide,0.11,0.00,2.25,2.01,4.37,2.70,2.20,2.17,1.89,8.96,0.00,0.00,0.00,0.00,48.77%,0.00,7.33,7.33,19.51,21.71,32.69,23.42,89.84%,2.21,9.271,59.64%,3/14/06,11/18/09,9/13/02,87.72%,83.29%,3.91,Ongoing
A-200565887,Local Government Units Investment Programme,Germany,Project,LBP,Nationwide,0.00,0.00,2.08,0.00,2.08,3.57,4.76,2.38,1.76,12.47,0.00,0.00,0.00,0.00,16.68%,0.00,9.60,9.60,19.31,11.95,21.74,21.74,161.51%,-7.35,0,21.67%,3/15/06,,9/5/06,53.77%,88.83%,2.43,Ongoing
AI-2001 65 951,Credit Line for Energy Efficiency and Climate Protection in the Philippines (CLEECP),Germany,Project,LBP,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,13.52,13.52,0,0.00,0,0.00%,3/16/06,12/31/13,11/23/09,-21.81%,0.00%,13.52,Newly Signed
PH-4833,Support for Strategic Local Development and Investment Project,WB,Project,LBP,Nationwide,6.96,1.80,1.52,1.74,12.02,4.45,3.65,2.43,2.60,13.13,0.00,0.00,0.00,0.00,91.51%,0.00,97.71,97.71,14.31,14.50,100.00,100.00,98.69%,0.19,0,12.30%,3/17/06,2/28/14,2/28/07,26.28%,14.31%,85.69,Ongoing
