Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Region,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Disbursement_Rate,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Time_Elapsed,Utilization_Rate,Balance,Loan_Status
PH-7153,ARMM Social Fund for Peace and Development,WB,Project,ARG,ARMM,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00%,0.00,3.19,3.19,30.41,30.92,33.60,33.60,98.35%,0.51,0,0.00%,6/30/08,5/31/10,5/19/03,79.91%,90.51%,3.19,Ongoing
PH-P235,ARMM Social Fund for Peace and Development,GOJ-JICA,Project,ARG,ARMM,0.10,0.72,1.28,1.45,3.55,1.79,3.35,4.30,2.61,12.05,0.00,0.00,0.00,0.00,29.49%,0.00,15.22,15.22,12.16,20.06,27.22,27.22,60.65%,7.89,0,23.35%,4/6/11,12/6/12,4/6/04,54.64%,44.69%,15.06,Ongoing
PH-P226,Subic-Clark-Tarlac Expressway Project,GOJ-JICA,Project,BCDA,III,30.58,11.05,13.61,12.02,67.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,28.55,28.55,489.77,592.92,650.55,650.55,82.60%,103.15,0,235.57%,12/1/09,12/17/10,12/1/01,78.32%,75.29%,160.77,Ongoing
PH-7431,National Program Support for Tax Administration,WB,Program,BIR,Nationwide,0.23,0.01,0.05,0.00,0.30,0.92,0.92,0.92,0.92,3.68,0.00,0.00,0.00,0.00,8.07%,0.00,10.90,10.90,0.40,4.76,11.00,11.00,8.40%,4.36,0,2.73%,12/31/11,6/30/13,6/25/07,25.26%,3.64%,10.60,Ongoing
CHI-3,Non-Intrusive Container Inspection System Project,China,Project,BOC,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,12.54,12.54,50.00,50.00,50.00,50.00,100.00%,0.00,0,0.00%,3/16/10,,6/20/06,67.77%,100.00%,0.00,Closed
CHI-4,Non-Intrusive Container Inspection System Project II,China,Project,BOC,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,17.80,17.80,100.00,100.00,100.00,100.00,100.00%,0.00,0,0.00%,3/16/10,,3/16/07,59.85%,100.00%,0.00,Closed
1224P,Second Cordillera Highland Agricultural Resource Management Project,OFID,Project,DA,CAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0,0.00,0,0.00%,7/31/13,7/31/14,2/4/09,-1.75%,0.00%,10.00,Newly Signed
1772-PHI,Infrastructure for Rural Productivity  Enhancement Sector,ADB,Project,DA,Multi-Regional,1.65,2.62,1.95,2.75,8.97,1.50,3.00,4.00,6.50,15.00,0.00,0.00,0.00,0.00,59.77%,0.00,58.34,58.34,25.63,61.65,75.00,75.00,41.57%,36.03,0,15.37%,6/30/08,8/16/12,2/4/02,65.57%,34.17%,49.37,Ongoing
749-PH,Second Cordillera Highland Agricultural Resource Management Project,IFAD,Project,DA,CAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,26.60,0.00,0.00,26.60,26.60,0,0.00,0,0.00%,6/30/16,,11/14/08,1.69%,0.00%,26.60,Newly Effective
CHI-2,General Santos Fishing Port Complex Expansion/Improvement Project,China,Project,DA,XI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,24.98,24.49,24.99,24.99,102.02%,-0.49,0,0.00%,3/15/09,,3/15/03,96.62%,99.98%,0.01,Ongoing
PH-7236,National Program Support for Diversified Farm Income and Market Development Project,WB,Program,DA,Multi-Regional,4.34,6.77,4.98,0.00,16.09,5.94,5.94,5.94,5.94,23.76,0.00,0.00,0.00,0.00,67.71%,0.00,48.72,48.72,27.32,50.00,60.00,60.00,54.65%,22.68,0,33.02%,6/30/09,,10/29/04,89.38%,45.54%,32.68,Ongoing
PH-7440,Mindanao Rural Development Project-Phase 2,WB,Project,DA,Mindanao Wide,1.00,0.50,0.35,0.20,2.05,1.50,0.92,0.92,0.92,4.26,0.00,0.00,0.00,0.00,48.12%,0.00,82.75,82.75,3.05,13.50,83.75,83.75,22.59%,10.45,0,2.48%,12/31/12,12/31/14,7/3/07,19.98%,3.64%,80.70,Ongoing
1225P,Agrarian Reform Communities Project II,OFID,Project,DAR,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,30.00,30.00,0,0.00,0,0.00%,12/31/13,,3/4/09,-3.57%,0.00%,30.00,Newly Signed
1667-PHI,Agrarian Reform Communities Project,ADB,Project,DAR,Multi-Regional,0.00,0.00,0.00,-0.05,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00%,0.05,0.00,-0.05,72.60,72.65,93.16,72.60,99.93%,0.05,20.57,100.00%,12/31/05,12/26/08,7/31/99,100.15%,100.00%,0.00,Closed
2465-PHI,Agrarian Reform Communities Project II,ADB,Project,DAR,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,70.00,70.00,0,0.00,0,0.00%,1/1/06,,3/4/09,-2.73%,0.00%,70.00,Newly Signed
FRANCE-2,Tulay ng Pangulo Para sa Kaunlarang Pang-agraryo Project,FRANCE,Project,DAR,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,16.51,16.51,0,0.00,0,0.00%,1/2/06,3/19/14,3/19/09,-4.27%,0.00%,16.51,Newly Signed
IFAD 577-PH,Northern Mindanao Community Initiative and Resource Management,IFAD,Project,DAR,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,11.63,13.28,14.77,14.77,87.58%,1.65,0,0.00%,1/3/06,12/31/09,4/1/03,85.20%,78.77%,3.14,Ongoing
IFAD-474-PH,Western Mindanao Community Initiative Project,IFAD,Project,DAR,Mindanao Wide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,11.99,11.99,11.99,11.99,100.00%,0.00,0,0.00%,1/4/06,6/30/07,3/25/99,118.22%,100.00%,0.00,Closed
PH-7152,Agrarian Reform Communities Development Project II,WB,Project,DAR,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,6.57,6.57,43.43,50.00,50.00,50.00,86.86%,6.57,0,0.00%,1/5/06,6/30/10,6/4/03,78.86%,86.86%,6.57,Ongoing
PH-P222,Mindanao Sustainable Settlement Area Development Project,GOJ-JICA,Project,DAR,Mindanao Wide,2.50,0.75,0.45,0.87,4.57,1.45,1.09,2.54,0.99,6.07,0.00,0.00,0.00,0.00,75.32%,0.00,15.58,15.58,60.02,48.27,71.79,71.79,124.34%,-11.75,0,29.35%,1/6/06,,9/25/01,90.83%,83.60%,11.77,Ongoing
PH-P242,Agrarian Reform Infrastructure Support Project III,GOJ-JICA,Project,DAR,Nationwide,3.39,0.00,13.39,0.20,16.98,0.00,13.38,0.08,0.45,13.91,0.00,0.00,0.00,0.00,122.07%,0.00,107.29,107.29,15.69,0.66,130.05,130.05,2374.13%,-15.03,0,15.83%,1/7/06,,4/15/08,7.91%,12.07%,114.36,Ongoing
Spain-7,Solar Power Technology Support to Agrarian Reform Communities (SPOTS) Phase II,Spain,Project,DAR,Mindanao Wide,0.00,3.25,0.00,0.00,3.25,0.00,3.25,0.00,0.00,3.25,0.00,0.00,0.00,0.00,100.00%,0.00,7.26,7.26,21.99,26.00,26.00,26.00,84.57%,4.01,0,44.76%,1/8/06,,10/2/06,142.53%,84.57%,4.01,Closed
UK-5,Tulay ng Pangulo Para sa Magsasaka Project,UK,Project,DAR,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,131.60,131.60,57.08,43.40,188.68,188.68,131.53%,-13.68,0,0.00%,1/9/06,,12/6/06,42.62%,30.25%,131.60,Ongoing
2063-PHI,Development of Poor Urban Communities Sector Project,ADB,Project,DBP,Nationwide,0.00,0.16,0.00,2.66,2.83,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,56520.00%,0.00,21.81,21.81,10.26,25.15,32.12,32.12,40.81%,14.89,0,12.96%,1/10/06,6/10/10,4/21/04,76.53%,31.96%,21.85,Ongoing
A-200165951,Credit Line for Solid Waste Management Project,Germany,Project,DBP,Nationwide,0.00,2.34,2.33,2.52,7.19,0.00,4.96,4.96,4.96,14.88,0.00,0.00,0.00,0.00,48.32%,0.00,0.00,0.00,14.41,23.96,23.96,23.96,60.14%,9.55,0,0.00%,1/11/06,12/31/10,3/30/04,70.41%,60.14%,9.55,Ongoing
Al-99966615,Industrial Pollution Control Loan Project II,Germany,Project,DBP,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,2.52,2.52,12.30,14.82,14.82,14.82,83.02%,2.52,0,0.00%,1/12/06,,3/1/01,162.06%,83.02%,2.52,Closed
PH-7080,LGUs Urban Water Sanitation Project APL 2,WB,Project,DBP,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,7.39,15.00,15.00,15.00,49.28%,7.61,0,0.00%,1/13/06,11/30/08,5/16/02,101.30%,49.28%,7.61,Closed
PH-7204,Rural Power Project,WB,Project,DBP,Nationwide,0.47,1.00,0.26,1.13,2.87,0.80,1.36,1.37,0.74,4.28,0.00,0.00,0.00,0.00,67.13%,0.00,2.55,2.55,10.32,7.50,10.00,10.00,137.56%,-2.82,0,112.41%,1/14/06,,5/6/04,82.32%,103.17%,-0.32,Ongoing
PH-P243,Environmental Development Project,GOJ-JICA,Project,DBP,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,273.79,273.79,0,0.00,0,0.00%,1/15/06,,1/7/09,-0.27%,0.00%,273.79,Newly Signed
SIDA-01,Credit Facility for the Environmental Management Project,SIDA,Project,DBP,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,8.44,10.00,10.00,0.00%,8.44,0,0.00%,1/16/06,8/3/11,10/21/05,55.26%,0.00%,10.00,Ongoing
1665-PHI,MM Air Quality Improvement Project (Investment Component),ADB,Project,DENR,NCR,0.26,1.07,-0.17,-0.96,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00%,20.00,20.85,0.84,28.04,28.04,71.00,28.04,100.00%,0.00,42.96,23.61%,1/17/06,11/17/08,12/29/98,101.22%,100.00%,0.00,Closed
2311-PHI,Integrated Coastal Resources Management Project,ADB,Project,DENR,Multi-Regional,0.00,0.62,0.00,0.06,0.68,0.00,0.40,0.40,0.70,1.50,0.00,0.00,0.00,0.00,45.27%,0.00,33.78,33.78,0.70,8.49,33.80,33.80,8.21%,7.80,0,2.01%,1/18/06,6/30/14,6/29/07,21.54%,2.06%,33.10,Ongoing
KfW-02,Community Based Forest and Mangrove Management Project,Germany,Project,DENR,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,5.78,5.78,0,0.00,0,0.00%,1/19/06,,1/12/10,-17.20%,0.00%,5.78,Newly Signed
PH-7298,Land Administration & Management Project Phase II,WB,Project,DENR,Multi-Regional,0.55,0.77,0.60,0.17,2.08,0.45,0.59,2.06,2.96,6.06,0.00,0.00,0.00,0.00,34.32%,0.00,16.36,16.36,4.72,9.95,19.00,19.00,47.44%,5.23,0,12.72%,1/20/06,3/30/14,10/11/05,38.07%,24.85%,14.28,Ongoing
PH-7470,National Program Support for Environment and Natural Resources Management Project,WB,Program,DENR,Nationwide,2.00,1.50,0.00,1.00,4.50,0.00,2.61,1.57,1.04,5.22,0.00,0.00,0.00,0.00,86.22%,0.00,50.00,50.00,5.00,11.50,50.00,50.00,43.48%,6.50,0,9.00%,1/21/06,12/31/13,11/27/07,17.97%,10.00%,45.00,Ongoing
1654-PHI,Secondary Education Development & Improvement Project,ADB,Project,DepEd,Multi-Regional,0.47,4.46,1.34,0.08,6.34,3.55,3.46,0.00,0.00,7.01,0.00,0.00,0.00,3.45,90.43%,3.45,9.78,6.34,32.12,32.12,53.00,32.12,100.00%,0.00,20.881,100.00%,1/22/06,10/14/08,5/19/99,102.27%,100.00%,0.00,Closed
PH-7393,National Support for Basic Education,WB,Program,DepEd,Nationwide,12.17,32.43,14.94,4.34,63.89,5.00,9.10,12.41,21.27,47.77,0.00,0.00,0.00,0.00,133.75%,0.00,188.39,188.39,75.50,80.00,200.00,200.00,94.38%,4.50,0,33.91%,1/23/06,12/31/12,1/1/07,33.32%,37.75%,124.50,Ongoing
PH-P200,Secondary Education Dev't. and Improvement Project,GOJ-JICA,Project,DepEd,Multi-Regional,5.42,3.65,3.61,5.24,17.93,4.60,5.02,4.97,5.75,20.34,0.00,0.00,0.00,0.00,88.13%,0.00,28.63,28.63,64.28,74.36,79.45,79.45,86.44%,10.08,0,62.61%,1/24/06,,3/28/00,97.35%,80.91%,15.17,Ongoing
NDF-327,Mindanao Basic Urban Services Sector Project,NDF,Project,DILG,Mindanao Wide,0.00,0.22,0.25,0.63,1.09,0.19,0.16,0.25,0.18,0.78,0.00,0.00,0.00,0.00,140.00%,0.00,2.19,2.19,5.98,7.08,7.08,7.08,84.47%,1.10,0,49.82%,1/25/06,12/31/08,9/1/02,100.00%,84.47%,1.10,Closed
2282-PHI,Power Sector Development Program Cluster,ADB,Program,DOE,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,450.00,450.00,450.00,450.00,100.00%,0.00,0,0.00%,1/26/06,,12/19/06,80.41%,100.00%,0.00,Ongoing
JEXIM-1,Power Sector Development Program Loan,JEXIM,Program,DOE,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,300.00,300.00,300.00,300.00,100.00%,0.00,0,0.00%,1/27/06,,3/16/07,104.96%,100.00%,0.00,Closed
2278-PHI,Financial Market Regulation and Intermediation Program,ADB,Program,DOF,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,200.00,200.00,0,0.00,0,0.00%,1/28/06,,12/20/06,100.00%,0.00%,200.00,Closed
2450-PHI,Development Policy Support Program-Subprogram 2,ADB,Program,DOF,Nationwide,0.00,0.00,0.00,250.00,250.00,0.00,0.00,0.00,250.00,250.00,0.00,0.00,0.00,0.00,100.00%,0.00,0.00,0.00,250.00,250.00,250.00,250.00,100.00%,0.00,0,0.00%,1/29/06,11/20/08,11/18/08,2150.00%,100.00%,0.00,Closed
PH-4446,Local Government Finance & Development Project,WB,Project,DOF,Multi-Regional,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,50.23,60.00,60.00,60.00,83.72%,9.77,0,0.00%,1/30/06,12/30/08,2/28/00,100.03%,83.72%,9.77,Closed
PH-76150,The Global Food Crisis Response Program Development Policy Operation,WB,Program,DOF,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,200.00,200.00,0,0.00,0,0.00%,1/31/06,,2/23/09,-42.52%,0.00%,200.00,Newly Signed
2137-PHI,Health Sector Development Project,ADB,Project,DOH,Luzon Wide,0.00,0.25,0.04,0.55,0.84,0.39,0.82,1.49,1.66,4.37,0.00,0.00,0.00,0.00,19.23%,0.00,11.83,11.83,2.01,7.40,13.00,13.00,27.17%,5.39,0,7.10%,2/1/06,5/16/13,1/12/05,47.57%,15.48%,10.99,Ongoing
A-200665109,Health Sector Reform Project,Germany,Project,DOH,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,15.76,15.76,0.00,0.79,15.76,15.76,0.00%,0.79,0,0.00%,2/2/06,12/31/14,6/27/08,7.86%,0.00%,15.76,Ongoing
PH20030908,Development of Sub-specialty Capabilities for Heart-Lung-Kidney Diseases in Selected Regional Hospitals,Netherlands,Project,DOH,Multi-Regional,0.00,0.00,0.92,0.89,1.81,0.00,0.00,0.61,0.94,1.54,0.00,0.00,0.00,0.00,117.49%,0.00,6.47,6.47,15.48,14.31,20.15,20.15,108.27%,-1.18,0,28.02%,2/3/06,3/1/12,4/25/05,53.80%,76.87%,4.66,Ongoing
PH-7290,Second Women's Health and Safe Motherhood Project,WB,Project,DOH,Multi-Regional,0.00,0.11,0.14,0.13,0.38,0.92,1.07,0.71,0.40,3.11,0.00,0.00,0.00,0.00,12.07%,0.00,15.37,15.37,1.00,4.80,16.00,16.00,20.85%,3.80,0,2.44%,2/4/06,6/30/13,12/28/05,40.09%,6.26%,15.00,Ongoing
PH-7395,National Sector Support for Health Reform,WB,Program,DOH,Nationwide,0.00,3.46,8.17,0.00,11.64,0.00,0.00,8.17,0.00,8.17,0.00,0.00,0.00,0.00,142.38%,0.00,103.32,103.32,18.32,30.45,110.00,110.00,60.17%,12.13,0,11.26%,2/5/06,3/30/12,3/27/07,35.25%,16.66%,91.68,Ongoing
PH-P225,Sustainable Environmental Mgt. Project in Northern Palawan,GOJ-JICA,Project,DOT,IV,0.79,0.23,0.54,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,2.22,2.22,21.47,21.07,22.41,22.41,101.86%,-0.39,0,70.45%,2/6/06,,9/25/01,90.83%,95.77%,0.95,Ongoing
PHL-5,Laguindingan Airport Development Project,Korea,Project,DOTC,X,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,16.40,68.29,92.20,92.20,24.02%,51.88,0,0.00%,2/7/06,10/25/14,6/19/98,64.43%,17.79%,75.80,Ongoing
PH-P173,Social Reform Related Feeder Ports Dev't Project,GOJ-JICA,Project,DOTC,Multi-Regional,0.59,0.66,0.27,3.51,5.03,1.29,1.62,1.59,1.96,6.46,0.00,0.00,0.00,16.08,77.80%,16.08,17.16,1.08,47.23,47.23,63.32,47.23,100.00%,0.00,16.084,467.10%,2/8/06,12/28/08,6/26/97,100.07%,100.00%,0.00,Closed
PH-P214,New Iloilo Airport Development Project,GOJ-JICA,Project,DOTC,VI,7.95,3.23,22.21,0.00,33.39,21.82,8.45,6.51,0.00,36.78,0.00,0.00,0.00,3.83,90.77%,3.83,34.61,30.78,136.40,136.40,140.23,136.40,100.00%,0.00,3.827,108.45%,2/9/06,8/28/08,12/27/00,104.46%,100.00%,0.00,Closed
PH-P219,Selected Airports Dev't. Project (Tacloban & Bacolod) Ph II,GOJ-JICA,Project,DOTC,Visayas Wide,1.65,1.42,13.31,0.00,16.38,3.61,7.71,5.70,0.00,17.02,0.00,0.00,0.00,50.48,96.26%,50.48,62.18,11.71,61.36,61.36,111.84,61.36,100.00%,0.00,50.475,139.97%,2/10/06,9/25/08,9/25/01,103.79%,100.00%,0.00,Closed
PH-P228,"New Communications, Navigation and Surveillance/Air Traffic Management Systems Dev't",GOJ-JICA,Project,DOTC,Nationwide,3.01,0.57,0.73,0.71,5.02,3.00,0.48,0.72,0.83,5.03,0.00,0.00,0.00,0.00,99.74%,0.00,195.31,195.31,5.69,149.93,242.96,242.96,3.80%,144.24,0,2.57%,2/11/06,5/21/17,2/21/03,41.13%,2.34%,237.27,Ongoing
Austria-6,DPWH Bridge Construction Acceleration Project for Calamity-Stricken Areas,Austria,Project,DPWH,Luzon Wide,0.00,0.00,0.00,5.46,5.46,0.00,0.00,0.00,5.46,5.46,0.00,0.00,0.00,0.00,100.00%,0.00,0.00,0.00,5.46,2.62,32.77,32.77,208.31%,-2.84,0,0.00%,2/12/06,11/30/11,6/24/08,15.15%,16.67%,27.31,Ongoing
BNP-1,Restoration/Rehabilitation of Waterways in Selected River Basins Nationwide Phase I Project,Finland,Project,DPWH,Nationwide,0.00,0.00,1.28,1.15,2.43,0.00,0.00,1.28,1.15,2.43,0.00,0.00,0.00,0.00,100.00%,0.00,7.69,7.69,2.43,2.43,7.69,7.69,100.00%,0.00,0,31.60%,2/13/06,,3/2/08,57.25%,31.60%,5.26,Ongoing
FRANCE-1,Mega Bridges for Urban and Rural Development,France,Project,DPWH,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,200.00,0.00,0.00,200.00,200.00,0,0.00,0,0.00%,2/14/06,9/29/13,10/29/08,3.51%,0.00%,200.00,Newly Effective
KFAED-541,Mindanao Second Roads Improvement Project,Kuwait,Project,DPWH,Mindanao Wide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,18.56,18.56,20.00,18.56,100.00%,0.00,1.444,0.00%,2/15/06,3/31/08,10/1/98,107.93%,100.00%,0.00,Closed
PH-7058,Metro Manila Urban Transport Integration Project,WB,Project,DPWH,NCR,4.39,2.85,4.55,0.74,12.53,3.18,4.60,3.18,1.84,12.80,0.00,0.00,0.00,0.00,97.87%,0.00,24.44,24.44,48.09,56.04,60.00,60.00,85.82%,7.95,0,51.26%,2/16/06,3/31/10,12/6/01,85.02%,80.15%,11.91,Ongoing
PH-75520,National Road Improvement Management Project Phase II,WB,Project,DPWH,Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00,0.00,232.00,232.00,0,0.00,0,0.00%,2/17/06,12/31/14,4/16/09,-5.08%,0.00%,232.00,Newly Signed
PHL-8,Widening of Gapan-San Fernando-Olongapo,Korea,Project,DPWH,III,0.07,0.61,0.00,0.00,0.68,0.12,0.10,8.58,0.32,9.12,0.00,0.00,0.00,0.00,7.46%,0.00,22.30,22.30,0.07,12.93,22.30,22.30,0.53%,12.87,0,3.05%,2/18/06,7/27/12,3/27/06,43.65%,0.30%,22.23,Ongoing
PH-P179,MM Flood Control Project Project-West of Mangahan Floodway,GOJ-JICA,Project,DPWH,NCR,5.04,1.90,0.00,0.00,6.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.31,0.00,0.00%,4.31,10.46,6.15,85.32,85.32,89.63,85.32,100.00%,0.00,4.308,112.87%,2/19/06,6/26/08,6/26/97,104.68%,100.00%,0.00,Closed
PH-P193,Agno River Flood Control Project Phase II-A,GOJ-JICA,Project,DPWH,I,1.31,1.52,0.99,1.50,5.32,2.98,1.41,1.64,2.42,8.45,0.00,0.00,0.00,0.00,62.96%,0.00,16.96,16.96,59.02,62.72,74.20,74.20,94.09%,3.71,0,31.37%,2/20/06,3/7/10,1/7/99,89.43%,79.53%,15.19,Ongoing
PH-P204,Arterial Road Links Development Project Phase IV,GOJ-JICA,Project,DPWH,Multi-Regional,6.87,0.00,0.00,0.00,6.87,2.05,0.00,0.00,0.00,2.05,0.00,1.27,0.00,0.00,335.12%,1.27,7.59,6.32,144.79,144.79,146.06,144.79,100.00%,0.00,1.262,108.70%,2/21/06,3/28/08,3/28/00,109.51%,100.00%,0.00,Closed
PH-P205,Cordillera Road Improvement Project,GOJ-JICA,Project,DPWH,Luzon Wide,3.73,0.00,0.00,0.00,3.73,2.05,0.00,0.00,0.00,2.05,0.00,3.14,0.00,3.14,181.80%,6.28,6.41,0.14,52.42,52.42,55.56,52.42,100.00%,0.00,3.135,2760.74%,2/22/06,3/28/08,3/28/00,109.51%,100.00%,0.00,Closed
