year,region,species,dimensions,php_per_board_foot
2013,National,A. Manguim,"2""x4""x8'",25.32
2013,National,Acacia,"2""x4""x8'",31.63
2013,National,Antipolo,"2""x4""x8'",33.75
2013,National,Apitong,"2""x4""x8'",36.2
2013,National,Bagras,"2""x4""x8'",29.86
2013,National,Benguet Pine,"2""x4""x8'",30.53
2013,National,Binuang,"2""x4""x8'",28.33
2013,National,Dao,"2""x4""x8'",32.33
2013,National,Falcata,"2""x4""x8'",24.56
2013,National,Gmelina,"2""x4""x8'",27.38
2013,National,Gubas,"2""x4""x8'",9
2013,National,Ipil,"2""x4""x8'",26.22
2013,National,Kalantas,"2""x4""x8'",30.67
2013,National,Lauan,"2""x4""x8'",42.46
2013,National,Loktob,"2""x4""x8'",27
2013,National,Mahogany,"2""x4""x8'",31.62
2013,National,Narra,"2""x4""x8'",121.53
2013,National,Tanguile,"2""x4""x8'",38.82
2013,National,Yakal,"2""x4""x8'",87
2013,NCR,A. Manguim,"2""x4""x8'",36.21
2013,NCR,Acacia,"2""x4""x8'",-
2013,NCR,Antipolo,"2""x4""x8'",38
2013,NCR,Apitong,"2""x4""x8'",-
2013,NCR,Bagras,"2""x4""x8'",37.25
2013,NCR,Benguet Pine,"2""x4""x8'",35
2013,NCR,Binuang,"2""x4""x8'",-
2013,NCR,Dao,"2""x4""x8'",-
2013,NCR,Falcata,"2""x4""x8'",45
2013,NCR,Gmelina,"2""x4""x8'",36.08
2013,NCR,Gubas,"2""x4""x8'",-
2013,NCR,Ipil,"2""x4""x8'",-
2013,NCR,Kalantas,"2""x4""x8'",-
2013,NCR,Lauan,"2""x4""x8'",-
2013,NCR,Loktob,"2""x4""x8'",-
2013,NCR,Mahogany,"2""x4""x8'",36.26
2013,NCR,Narra,"2""x4""x8'",-
2013,NCR,Tanguile,"2""x4""x8'",-
2013,NCR,Yakal,"2""x4""x8'",-
2013,II (Cagayan Valley),A. Manguim,"2""x4""x8'",-
2013,II (Cagayan Valley),Acacia,"2""x4""x8'",26
2013,II (Cagayan Valley),Antipolo,"2""x4""x8'",-
2013,II (Cagayan Valley),Apitong,"2""x4""x8'",-
2013,II (Cagayan Valley),Bagras,"2""x4""x8'",-
2013,II (Cagayan Valley),Benguet Pine,"2""x4""x8'",-
2013,II (Cagayan Valley),Binuang,"2""x4""x8'",-
2013,II (Cagayan Valley),Dao,"2""x4""x8'",-
2013,II (Cagayan Valley),Falcata,"2""x4""x8'",-
2013,II (Cagayan Valley),Gmelina,"2""x4""x8'",22.65
2013,II (Cagayan Valley),Gubas,"2""x4""x8'",-
2013,II (Cagayan Valley),Ipil,"2""x4""x8'",-
2013,II (Cagayan Valley),Kalantas,"2""x4""x8'",-
2013,II (Cagayan Valley),Lauan,"2""x4""x8'",-
2013,II (Cagayan Valley),Loktob,"2""x4""x8'",-
