year,region,country of origin,dimensions,php_per_board_foot
2013,National,Brazil,"2""x4""x8'",43
2013,National,Malaysia,"2""x4""x8'",42.32
2013,National,Papua New Guinea,"2""x4""x8'",44.35
2013,National,Solomon Islands,"2""x4""x8'",40.64
2013,NCR,Brazil,"2""x4""x8'",38
2013,NCR,Malaysia,"2""x4""x8'",39.21
2013,NCR,Papua New Guinea,"2""x4""x8'",55
2013,NCR,Solomon Islands,"2""x4""x8'",41
2013,I (Ilocos Region),Brazil,"2""x4""x8'",-
2013,I (Ilocos Region),Malaysia,"2""x4""x8'",39.96
2013,I (Ilocos Region),Papua New Guinea,"2""x4""x8'",46
2013,I (Ilocos Region),Solomon Islands,"2""x4""x8'",45
2013,II (Cagayan Valley),Brazil,"2""x4""x8'",-
2013,II (Cagayan Valley),Malaysia,"2""x4""x8'",40.17
2013,II (Cagayan Valley),Papua New Guinea,"2""x4""x8'",-
2013,II (Cagayan Valley),Solomon Islands,"2""x4""x8'",-
2013,III (Central Luzon),Brazil,"2""x4""x8'",48
2013,III (Central Luzon),Malaysia,"2""x4""x8'",36.56
2013,III (Central Luzon),Papua New Guinea,"2""x4""x8'",41.5
2013,III (Central Luzon),Solomon Islands,"2""x4""x8'",38.55
2013,IV-A (CALABARZON),Brazil,"2""x4""x8'",-
2013,IV-A (CALABARZON),Malaysia,"2""x4""x8'",44.55
2013,IV-A (CALABARZON),Papua New Guinea,"2""x4""x8'",34.9
2013,IV-A (CALABARZON),Solomon Islands,"2""x4""x8'",37.99
2013,IV-B (MIMAROPA),Brazil,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Malaysia,"2""x4""x8'",42
2013,IV-B (MIMAROPA),Papua New Guinea,"2""x4""x8'",-
2013,IV-B (MIMAROPA),Solomon Islands,"2""x4""x8'",-
2013,V (Bicol Region),Brazil,"2""x4""x8'",-
2013,V (Bicol Region),Malaysia,"2""x4""x8'",45.61
2013,V (Bicol Region),Papua New Guinea,"2""x4""x8'",-
2013,V (Bicol Region),Solomon Islands,"2""x4""x8'",-
2013,VI (Western Visayas),Brazil,"2""x4""x8'",-
2013,VI (Western Visayas),Malaysia,"2""x4""x8'",41.78
2013,VI (Western Visayas),Papua New Guinea,"2""x4""x8'",-
2013,VI (Western Visayas),Solomon Islands,"2""x4""x8'",-
2013,VII (Central Visayas),Brazil,"2""x4""x8'",-
2013,VII (Central Visayas),Malaysia,"2""x4""x8'",40.9
2013,VII (Central Visayas),Papua New Guinea,"2""x4""x8'",-
2013,VII (Central Visayas),Solomon Islands,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Brazil,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Malaysia,"2""x4""x8'",52.5
2013,VIII (Eastern Visayas),Papua New Guinea,"2""x4""x8'",-
2013,VIII (Eastern Visayas),Solomon Islands,"2""x4""x8'",-
2012,National,Brazil,"2""x4""x8'",48.25
2012,National,Malaysia,"2""x4""x8'",64.05
2012,National,Papua New Guinea,"2""x4""x8'",39.17
2012,National,Solomon Islands,"2""x4""x8'",37.91
2012,NCR,Brazil,"2""x4""x8'",-
2012,NCR,Malaysia,"2""x4""x8'",60.5
2012,NCR,Papua New Guinea,"2""x4""x8'",-
2012,NCR,Solomon Islands,"2""x4""x8'",32
2012,I (Ilocos Region),Brazil,"2""x4""x8'",-
2012,I (Ilocos Region),Malaysia,"2""x4""x8'",89.67
2012,I (Ilocos Region),Papua New Guinea,"2""x4""x8'",46
2012,I (Ilocos Region),Solomon Islands,"2""x4""x8'",38
2012,II (Cagayan Valley),Brazil,"2""x4""x8'",-
2012,II (Cagayan Valley),Malaysia,"2""x4""x8'",60.38
2012,II (Cagayan Valley),Papua New Guinea,"2""x4""x8'",-
2012,II (Cagayan Valley),Solomon Islands,"2""x4""x8'",-
2012,III (Central Luzon),Brazil,"2""x4""x8'",48
2012,III (Central Luzon),Malaysia,"2""x4""x8'",72.93
2012,III (Central Luzon),Papua New Guinea,"2""x4""x8'",37
2012,III (Central Luzon),Solomon Islands,"2""x4""x8'",44.62
