program_or_project,location,total_cost,date_started,target_completion_date,project_status_%_of_completion,project_status_total_cost_incurred_to_date,no_of_extensions_if_any,remarks 
Financial Assistance to Municipality or LGU's (20) for Development Projects,-,69500000,-,-,-,69500000,-,-
Financial Assistance to Baranagay LGU's (464) For Development Projects,-,139200000,-,-,-,72237587.09,-,-
Amortization,-,62200000,-,-,-,61667659.1,-,-
Goat Breeder Project at Diklum,Manolo Fortich,342756.61,-,-,-,319698.86,-,-
Bukidnon Agricultural Complex,Manolo Fortich,1023748,-,-,-,869584.84,-,-
Housing Projects,San Fernando ,7420000,-,-,-,-,-,-
Animal Health Care,-,632559.25,-,-,-,-,-,-
"On Farm and Post Harvest Mechanization, Infra of the Agri-Pinoy Rice Program (PLGU- Counterpart)",-,200000,-,-,-,-,-,-
Reconstruction of Slope Protection at the Back of PGSO,Capitol Compound,2850000,-,-,-,-,-,-
Construction of Slope Protection Near Folk Arts Theater,Kaamulan ,175000,-,-,-,105480,-,-
Purchase of Engineering Equipment,-,6000000,-,-,-,-,-,-
Rehabilitation of Existing Provincial Pump House and Construction of Perimeter Fence for te Water Suupply Pump Housre,Capitol Compound,200000,-,-,-,-,-,-
