program_or_project_1,program_or_project_2,location,total_cost,date_started,target_completion_date,project_status_%_of_completion,project_status_total_cost_incurred_to_date,no_of_extensions_if_any,remarks 
Social Development,Financial Assistance to Municipality/Barangays LGU's For Development Projects,-,288373355.8,-,-,-,75355000,-,Financial Assistance
Social Development,Rehabilitation of Existing Hospital Buildings, ,50000000,-,-,-,-,-,-
Social Development,Construction of Hospital Support Facilities ,-,30000000,-,-,-, ,-,-
Social Development,Purchase of Hospital Equipment,-,10000000,-,-,-,-,-,-
Social Development,Rehabilitation of Multi-Purpose  Building,Malaybalay,9812000,-,-,-,-,-,-
Social Development,Construction of Multi-Purpose  Building,Malaybalay,7420000,-,-,-,-,-,-
Social Development,"Rehabilitation of Cultural Heritage Site at Kaamulan Park including Roads, Slope Protection, MPB and Facilities",Kaamulan Park,27558313,6/4/2014,10/2/2014,43,4722195.33,-,on going
Social Development,Rehabilitation of Existing Provincial Pump House and Construction of Perimeter Fence for the Water Supply Pump House,Capitol Compound ,80636,-,-,-,-,-,-
Social Development,Housing Projects,San Fernando,7420000,-,-,-,-,-,-
Social Development,Medical Equipments,-,17441395.8,-,-,-,-,-,-
Economic Development,Amortization,-,100000000, , ,-,23208442.98,-,Amortization
Economic Development,"On Farm and Post Harvest Mechanization, Infra of the Agri-Pinoy Rice Program (PLGU - Counterpart)",Provincial Agriculture Compound,75000,-,-,-,-,-,-
Economic Development,Rehabilitation of Talakag Provincial Roads,Talakag,7775500,-,-,-,-,-,-
Environmental Management,"Construction of Environmental Sanitation Building Lorega, Quarantine, Kitaotao",Kitaotao,200000,-,-,-,-,-,-
