city_municipality,position,name,nickname,party_affiliation,votes_obtained
Cuartero,Mayor,"Flores, Roger Francisco",Roger,Lakas-Kampi,7555
Cuartero,Vice-Mayor,"Cedullo, Jedy Albay",Nono,Lakas-Kampi,6748
Cuartero,Councilor,"Guillermo, Ronald Arriego",Rg,Lakas-Kampi,5531
Cuartero,Councilor,"Henderin, Ruben Robles",Neneng,Liberal Party,5759
Cuartero,Councilor,"Gabor, Richard Husada",Richard,Lakas-Kampi,5778
Cuartero,Councilor,"Openiano, Joemarie Hacermida",Jo,Lakas-Kampi,5921
Cuartero,Councilor,"Falcis, Abner Villaba",Toto,Lakas-Kampi,6230
Cuartero,Councilor,"Flejoles, Marcial Borres",Nonoy,Lakas-Kampi,6431
Cuartero,Councilor,"Mayo, Tito Libo-on",Tito,Lakas-Kampi,6673
Cuartero,Councilor,"Flores, Noel Francisco",Noel,Lakas-Kampi,6903
Dao,Mayor,"Escutin, Joselito Yngcong",Bobo,Lakas-Kampi,11943
Dao,Vice-Mayor,"Eslaban, Loreto Inocencio",Otic,Lakas-Kampi,8682
Dao,Councilor,"Fuentes, Mary Lizabeth Bauson",Nene,Liberal Party,6191
Dao,Councilor,"Clorion, Mamerto Mateo",Mame,Lakas-Kampi,7305
Dao,Councilor,"Borda, Pacita Flores",Pacit,Lakas-Kampi,7555
Dao,Councilor,"Aleligay, Joseph Perez",Boy,Lakas-Kampi,8017
Dao,Councilor,"Flores, Melchor Dumagpi",Bugol,Lakas-Kampi,8176
Dao,Councilor,"Escutin, Leon III Bauson",Bebe,Lakas-Kampi,8612
Dao,Councilor,"Barona, Joel Isada",Tongtong,Lakas-Kampi,8650
Dao,Councilor,"Tianchon, Deogracias, Jr. Buizon",Nonoy,Lakas-Kampi,10226
Dumalag,Mayor,"Castro, Lilia Hernaez",Nene,Lakas-Kampi,11262
Dumalag,Vice-Mayor,"Castro, Amado Eriberto Jr. Vicentuan",Odoy,Lakas-Kampi,11515
Dumalag,Councilor,"Farenas, Joe Marie Falcis",Joe,Lakas-Kampi,6808
Dumalag,Councilor,"Frial, Rafael Funa",Cano,Lakas-Kampi,7241
Dumalag,Councilor,"Fajardo, Arnold Faeldonea",Tata,Independent,7778
Dumalag,Councilor,"Fecundo, Cecilio Fara-On",Celio,Independent,7927
Dumalag,Councilor,"Teves, Leo Villar",Nong,Lakas-Kampi,8624
Dumalag,Councilor,"Etchen, Henry Franco",Henry,Lakas-Kampi,8882
Dumalag,Councilor,"Diaz, Mercedita Facelo",Merci,Lakas-Kampi,10191
Dumalag,Councilor,"Faduga, Victorio Ledesma",Vic,Lakas-Kampi,11412
Dumarao,Mayor,"Benjamin, Leslie Warren Alianza",Beboy,Lakas-Kampi,10393
Dumarao,Vice-Mayor,"Arancillo, Edgardo Mirasol",Dodoy,Liberal Party,9856
Dumarao,Councilor,"Hinola, Rolando Advincula",Roland,Liberal Party,7573
Dumarao,Councilor,"Dorado, Fernando, Jr. Pilar",Mundot,Lakas-Kampi,7724
Dumarao,Councilor,"Hallarda, Ariel De Asis",Noknok,Independent,7826
Dumarao,Councilor,"Juanico, Francis Dave Irisari",Boojie,Lakas-Kampi,7978
Dumarao,Councilor,"Hare, Fortunato Caldea",Forting,Liberal Party,8122
Dumarao,Councilor,"Hachuela, Mateo Concepcion",Matti,Liberal Party,8621
Dumarao,Councilor,"Basiliano, Abner Onato",Ner,Liberal Party,8666
Dumarao,Councilor,"Padernal, Abel, Jr. Tanco",Abel,Liberal Party,10396
Ivisan,Mayor,"Yap, Felipe Neri Navarra",Ipe,Lakas-Kampi,7476
Ivisan,Vice-Mayor,"Mestidio, Marita Obrigue",Maritz,Independent,4960
Ivisan,Councilor,"Unasin, Ramy Umiten",Ram,Lakas-Kampi,4903
Ivisan,Councilor,"Chapman, Azucena Urdelas",Zeny,Liberal Party,4988
Ivisan,Councilor,"Bacinillo, Guidion, Sr. Oabe",Jun,Lakas-Kampi,5123
Ivisan,Councilor,"Ugas, Bonifacio Basto",Dagoy,Lakas-Kampi,6007
