program,project,location,total_cost,date_started,target_completion_date,project_status_percent_of_Completion ,project_status_total_cost_incurred_to_date,number_of_extensions,remarks
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Laguna, Cagdianao-Repair Freedom Park","Laguna, Cagdianao, Dinagat Islands",50000,41793,-,100,50000,-,on-going
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Garcia, Libjo - Construction of Reservior ","Garcia, Libjo, Dinagat Islands",50000,41898,-,100,50000,-,on-going
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Doña Helene, Libjo-Road Concreting","Dona Helene, Libjo, Dinagat Islands",50000,41898,-,100,50000,-,on-going
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer San Jose, Libjo-Road Concreting","San Jose, Libjo, Dinagat Islands",50000,41898,-,100,50000,-,on-going
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Sombrado, Basilisa-Road Concreting","Sombrado, Basilisa, Dinagat Islands",50000,41898,-,100,50000,-,on-going
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Sto. Niño, Libjo, -Construction of Foot Bridge","Sto. Nino, Libjo,Dinagat Islands",50000,41898,-,100,50000,-,on-going
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Cuarinta, San Jose-Construction of Multi-Purpose Building Phase 5","Cuarinta, San Jose, Dinagat Islands",50000,41898,-,100,50000,-,on-going
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Imee, Basilisa-Road Concreting","Imee, Basilisa, Dinagat Islands",50000,41898,-,100,50000,-,on-going
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Sering, Basilisa-Road Concreting","Sering, Basilisa, Dinagat Islands",50000,41898,-,100,50000,-,on-going
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Whitebeach, Dinagat-Road Concreting","Whitebeach, Dinagat, Dinagat Islands",50000,41871,-,100,50000,-,on-going
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Wadas,Dinagat-Pathway Concreting","Wadas, Dinagat, Dinagat Islands",50000,41898,-,100,50000,-,on-going
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Coring,Basilisa-Construction of Multi-Purpose Building","Coring, Basilisa, Dinagat Islands",50000,41819,-,100,50000,-,implemented
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Magsaysay,Dinagat-Road Concreting","Magsaysay, Dinagat, Dinagat Islands",50000,41898,-,100,50000,-,implemented
Economic Development,"Urban and Rural Infrastructure Development Program- Barangay Treasurer Roma, Basilisa-Road Concreting","Roma, Basilisa, Dinagat Islands",50000,41898,-,100,50000,-,implemented
Economic Development,"Barangay Treasurer Benglen, Basilisa-Pathway Concreting",-,50000,41819,-,100,50000,-,implemented
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Crops Production Support- Rice Production Enhancement and Development Program,-,640000,-,-,-,240255,-,distributed
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Crops Production Support- Corn or Cassava Production and Development Program,Province Wide,260000,"August, 2014/3rd quarter",-,90,241760,-,procurement on process
Dinagat Islands Sustainable Agriculture and Fishery Development Program,Crops Production Support- Procurement and Distribution of assorted seeds and planting materials,-,180000,-,-,-,-,-,procurement on process 
Dinagat Islands Sustainable Agriculture and Fishery Development Program,"Crops Production Support- Provincial Plant Nursery Production and Distribution of Improve Planting Materials  (Cashew, Jackfruit, Mango, etc)",-,110000,-,-,-,38410.11,-,procurement on process 
