TYPE OF FINANCIAL INSTITUTIONS_a,End-March 2008,End-June 2008,End-September 2008,End-December 2008
TOTAL BANKS,92 ,92 ,95 ,96 
Universal and Commercial Banks,33 ,32 ,34 ,34 
Thrift Banks,13 ,14 ,15 ,15 
Rural and Cooperative Banks,46 ,46 ,46 ,47 
,,,,
NUMBER OF BANKS WITH ELECTRONIC BANKING (as approved by the Bangko Sentral Ng Pilipinas),,,,
          as of end of periods indicated,,,,
