TYPE OF FINANCIAL INSTITUTIONS_a,End-March 2009,End-June 2009,End-September 2009,End-December 2009
TOTAL BANKS,94 ,96 ,99 ,99 
Universal and Commercial Banks,32 ,32 ,32 ,32 
Thrift Banks,15 ,15 ,15 ,15 
Rural and Cooperative Banks,47 ,49 ,52 ,52 
,,,,
NUMBER OF BANKS WITH ELECTRONIC BANKING (as approved by the Bangko Sentral Ng Pilipinas),,,,
As of end of periods indicated: 2009,,,,
Updated as of 04 March 2010,,,,
