TYPE OF FINANCIAL INSTITUTIONS_a,End-March 2012,End-June 2012,End-September 2012,End-December 2012
TOTAL BANKS,111 ,111 ,114 ,114 
Universal and Commercial Banks,33 ,33 ,33 ,33 
Thrift Banks,23 ,23 ,25 ,25 
Rural and Cooperative Banks,55 ,55 ,56 ,56 
,,,,
NUMBER OF BANKS WITH ELECTRONIC BANKING (as approved by the Bangko Sentral Ng Pilipinas),,,,
As of end of periods indicated: 2012,,,,
Updated as of 15 March 2013,,,,
