province,marital_status,total_registered_farmers_farm_laborers_and_fishermen_both_sexes,total_registered_farmers_farm_laborers_and_fishermen_male,total_registered_farmers_farm_laborers_and_fishermen_female,number_of_registered_farmers_both_sexes,number_of_registered_farmers_male,number_of_registered_farmers_female,number_of_registered_farm_laborers_both_sexes,number_of_registered_farm_laborers_male,number_of_registered_farm_laborers_female,number_of_registered_fishermen_both_sexes,number_of_registered_fishermen_male,number_of_registered_fishermen_female
Mountain Province,Single,7406,5420,1986,2146,1672,474,6287,4586,1701,240,232,8
Mountain Province,Married,28120,16447,11673,18631,13791,4840,18336,9367,8969,1088,983,105
Mountain Province,Common-law/Live-in,649,427,222,385,316,69,526,338,188,42,41,1
Mountain Province,Widowed,3089,741,2348,2569,648,1921,1289,302,987,39,21,18
Mountain Province,Separated/Divorced,487,214,273,325,147,178,316,134,182,14,8,6
Mountain Province,Unknown,0,0,0,0,0,0,0,0,0,0,0,0
Mountain Province,Not reported,0,0,0,0,0,0,0,0,0,0,0,0
North Cotabato,Total,274887,215570,59317,164683,141176,23507,165351,122221,43130,19820,18346,1474
North Cotabato,Single,50577,41627,8950,14325,12446,1879,41744,34105,7639,2907,2712,195
North Cotabato,Married,192483,155342,37141,131049,117633,13416,104861,76477,28384,15487,14637,850
North Cotabato,Common-law/Live-in,13597,11224,2373,6657,5919,738,9892,7972,1920,379,346,33
North Cotabato,Widowed,13818,4595,9223,9988,3426,6562,6268,2055,4213,798,437,361
North Cotabato,Separated/Divorced,3130,1863,1267,1905,1138,767,1806,1099,707,137,107,30
North Cotabato,Unknown,151,68,83,89,43,46,95,45,50,3,3,0
North Cotabato,Not reported,1131,851,280,670,571,99,685,468,217,109,104,5
Northern Samar,Total,96050,84718,11332,51441,46457,4984,55761,47840,7921,23833,22938,895
Northern Samar,Single,13089,12123,966,3299,3030,269,9885,9127,758,3544,3459,85
Northern Samar,Married,55915,50337,5578,33774,31389,2385,29879,25821,4058,14299,13872,427
Northern Samar,Common-law/Live-in,21485,19299,2186,11019,10292,727,13122,11410,1712,5061,4885,176
Northern Samar,Widowed,4156,1887,2269,2605,1194,1411,2105,889,1216,582,407,175
Northern Samar,Separated/Divorced,1349,1030,319,719,532,187,741,572,169,336,305,31
Northern Samar,Unknown,48,35,13,25,20,5,24,17,7,9,8,1
Northern Samar,Not reported,8,7,1,0,0,0,5,4,1,2,2,0
Romblon,Total,53096,38995,14101,28058,20738,7320,23123,15570,7553,20313,17952,2361
Romblon,Single,7201,5947,1254,1547,1138,409,3836,3127,709,3619,3249,370
Romblon,Married,34740,26552,8188,20560,16608,3952,14308,9555,4753,12997,11642,1355
Romblon,Common-law/Live-in,6333,5033,1300,2584,2119,465,3248,2383,865,2802,2533,269
Romblon,Widowed,4065,1030,3035,2969,667,2302,1390,333,1057,647,332,315
Romblon,Separated/Divorced,720,409,311,381,198,183,323,160,163,235,186,49
Romblon,Unknown,23,13,10,14,6,8,11,7,4,8,5,3
Romblon,Not reported,14,11,3,3,2,1,7,5,2,5,5,0
Western Samar,Total,133394,109583,23811,63067,56249,6818,62258,44256,18002,37257,36500,757
Western Samar,Single,20708,18945,1763,2673,2304,369,13585,12201,1384,6475,6378,97
Western Samar,Married,76994,62903,14091,41721,38835,2886,31385,19751,11634,22076,21665,411
Western Samar,Common-law/Live-in,27627,23484,4143,13383,12607,776,14310,10765,3545,7358,7236,122
Western Samar,Widowed,5900,2630,3270,4144,1695,2449,1989,804,1185,812,709,103
Western Samar,Separated/Divorced,2096,1577,519,1103,782,321,965,722,243,521,497,24
Western Samar,Unknown,61,37,24,40,23,17,20,10,10,12,12,0
Western Samar,Not reported,8,7,1,3,3,0,4,3,1,3,3,0
Siquijor,Total,22119,14802,7317,16843,11696,5147,7582,4544,3038,7421,6443,978
Siquijor,Single,3429,2597,832,1816,1273,543,1440,1130,310,1441,1267,174
Siquijor,Married,14689,10142,4547,11771,8790,2981,4871,2747,2124,4873,4262,611
Siquijor,Common-law/Live-in,1791,1273,518,1286,957,329,696,438,258,745,659,86
Siquijor,Widowed,1884,618,1266,1713,549,1164,456,169,287,267,177,90
Siquijor,Separated/Divorced,318,170,148,249,125,124,118,60,58,93,77,16
Siquijor,Unknown,7,2,5,7,2,5,1,0,1,2,1,1
Siquijor,Not reported,1,0,1,1,0,1,0,0,0,0,0,0
Sultan Kudarat,Total,153985,124240,29745,79647,71070,8577,99142,75351,23791,19623,17427,2196
Sultan Kudarat,Single,25145,20325,4820,5874,5144,730,20447,16333,4114,3206,2711,495
Sultan Kudarat,Married,110237,92766,17471,63653,59508,4145,66015,51293,14722,14747,13497,1250
Sultan Kudarat,Common-law/Live-in,7147,6026,1121,3718,3457,261,5722,4689,1033,569,535,34
Sultan Kudarat,Widowed,8617,3202,5415,4996,1942,3054,5105,1842,3263,739,382,357
Sultan Kudarat,Separated/Divorced,2256,1435,821,1075,719,356,1485,903,582,259,205,54
Sultan Kudarat,Unknown,103,81,22,77,65,12,68,51,17,7,7,0
Sultan Kudarat,Not reported,480,405,75,254,235,19,300,240,60,96,90,6
Surigao del Norte,Total,63500,53912,9588,36130,28981,7149,27132,23669,3463,17330,16928,402
Surigao del Norte,Single,8226,7383,843,2357,1833,524,5199,4816,383,2236,2203,33
Surigao del Norte,Married,42333,37497,4836,26655,23062,3593,15985,14197,1788,11964,11738,226
Surigao del Norte,Common-law/Live-in,7747,6913,834,3286,2735,551,4236,3850,386,2499,2459,40
Surigao del Norte,Widowed,4195,1436,2759,3263,1005,2258,1252,483,769,415,322,93
Surigao del Norte,Separated/Divorced,858,577,281,496,296,200,397,273,124,167,160,7
Surigao del Norte,Unknown,35,19,16,27,14,13,19,12,7,9,8,1
Surigao del Norte,Not reported,106,87,19,46,36,10,44,38,6,40,38,2
Surigao del Sur,Total,104044,84876,19168,53320,46439,6881,53967,40914,13053,22202,20585,1617
Surigao del Sur,Single,17465,15121,2344,2293,1882,411,13598,11674,1924,3781,3573,208
Surigao del Sur,Married,65604,54850,10754,40194,37320,2874,29496,21328,8168,13933,12962,971
Surigao del Sur,Common-law/Live-in,13809,11923,1886,5850,5396,454,8118,6637,1481,3596,3413,183
Surigao del Sur,Widowed,5661,1983,3678,4192,1361,2831,1957,719,1238,609,394,215
Surigao del Sur,Separated/Divorced,1371,911,460,738,452,286,729,510,219,247,214,33
Surigao del Sur,Unknown,69,46,23,33,18,15,35,23,12,20,16,4
Surigao del Sur,Not reported,65,42,23,20,10,10,34,23,11,16,13,3
Zamboanga del Norte,Total,185847,140255,45592,128981,97381,31600,86007,62515,23492,23654,22642,1012
Zamboanga del Norte,Single,24597,19572,5025,10484,8093,2391,16006,12682,3324,3354,3263,91
Zamboanga del Norte,Married,131654,103196,28458,97370,77542,19828,56451,41463,14988,17026,16388,638
Zamboanga del Norte,Common-law/Live-in,15404,11948,3456,9963,7720,2243,8081,6119,1962,2321,2227,94
Zamboanga del Norte,Widowed,10828,3569,7259,8918,2790,6128,3820,1270,2550,561,423,138
Zamboanga del Norte,Separated/Divorced,2967,1747,1220,1949,1067,882,1452,863,589,362,321,41
Zamboanga del Norte,Unknown,304,158,146,233,117,116,153,92,61,20,10,10
Zamboanga del Norte,Not reported,93,65,28,64,52,12,44,26,18,10,10,0
Sarangani,Total,89727,78922,10805,55739,49120,6619,36847,30869,5978,19028,18573,455
Sarangani,Single,12163,11150,1013,2995,2651,344,6139,5401,738,4605,4558,47
Sarangani,Married,63991,57687,6304,43293,39670,3623,25629,21929,3700,12178,11864,314
Sarangani,Common-law/Live-in,8184,7555,629,5459,5078,381,2866,2515,351,1740,1696,44
Sarangani,Widowed,4019,1564,2455,3101,1128,1973,1619,625,994,261,219,42
Sarangani,Separated/Divorced,1172,802,370,750,474,276,499,325,174,211,203,8
Sarangani,Unknown,37,17,20,24,11,13,25,12,13,3,3,0
Sarangani,Not reported,161,147,14,117,108,9,70,62,8,30,30,0
Apayao,Total,34825,23512,11313,17912,15611,2301,26263,16033,10230,5878,5485,393
Apayao,Single,5366,4466,900,1202,1035,167,4824,4016,808,1068,1007,61
Apayao,Married,25796,17206,8590,14780,13513,1267,18692,10636,8056,4282,4029,253
Apayao,Common-law/Live-in,1580,1094,486,645,568,77,1342,880,462,338,317,21
Apayao,Widowed,1695,523,1172,1086,378,708,1115,338,777,140,89,51
Apayao,Separated/Divorced,352,208,144,184,108,76,262,155,107,48,42,6
Apayao,Unknown,36,15,21,15,9,6,28,8,20,2,1,1
Apayao,Not reported,0,0,0,0,0,0,0,0,0,0,0,0
