province,age_group,total_registered_farmers_farm_laborers_and_fishermen_total,total_registered_farmers_farm_laborers_and_fishermen_male,total_registered_farmers_farm_laborers_and_fishermen_female,number_of_registered_farmers_total,number_of_registered_farmers_male,number_of_registered_farmers_female,number_of_registered_farm_laborers_total,number_of_registered_farm_laborers_male,number_of_registered_farm_laborers_female,number_of_registered_fishermen_total,number_of_registered_fishermen_male,number_of_registered_fishermen_female
Camarines Sur,45 to 49,29860,23687,6173,17961,15709,2252,16893,12436,4457,4624,4321,303
Camarines Sur,50 to 54,25181,19640,5541,16169,13834,2335,13213,9430,3783,3539,3326,213
Camarines Sur,55 to 59,21856,16709,5147,15059,12574,2485,10659,7385,3274,2712,2534,178
Camarines Sur,60 to 64,16144,12112,4032,11897,9582,2315,7107,4857,2250,1666,1540,126
Camarines Sur,65 to 69,11076,7945,3131,8724,6671,2053,4350,2832,1518,871,775,96
Camarines Sur,70 to 74,6810,4706,2104,5493,3984,1509,2393,1538,855,449,382,67
Camarines Sur,75 to 79,3346,2293,1053,2804,1990,814,1059,665,394,169,151,18
Camarines Sur,80 to 84,1213,826,387,1033,724,309,361,228,133,64,53,11
Camarines Sur,85 years old and over,339,230,109,283,196,87,113,74,39,9,9,0
Camarines Sur,Don't know,89,74,15,41,36,5,40,32,8,18,17,1
Camarines Sur,Not reported,233,187,46,91,79,12,160,123,37,34,32,2
Davao Oriental,Total,97772,85231,12541,46938,40561,6377,57194,49547,7647,16505,15956,549
Davao Oriental,5 to 9,85,65,20,10,9,1,75,57,18,14,11,3
Davao Oriental,10 to 14,1154,965,189,89,68,21,1013,841,172,148,133,15
Davao Oriental,15 to 19,4636,4257,379,493,438,55,3853,3522,331,809,776,33
Davao Oriental,20 to 24,7575,7016,559,1602,1449,153,5745,5285,460,1465,1434,31
Davao Oriental,25 to 29,9473,8755,718,2997,2786,211,6661,6077,584,1839,1801,38
Davao Oriental,30 to 34,10679,9726,953,4204,3852,352,6944,6241,703,2120,2064,56
Davao Oriental,35 to 39,11783,10549,1234,5403,4862,541,7198,6341,857,2276,2219,57
Davao Oriental,40 to 44,11278,9927,1351,5788,5161,627,6583,5669,914,1988,1931,57
Davao Oriental,45 to 49,11040,9526,1514,6067,5327,740,6073,5100,973,1951,1871,80
Davao Oriental,50 to 54,8949,7614,1335,5358,4655,703,4558,3732,826,1459,1403,56
Davao Oriental,55 to 59,7354,6081,1273,4846,4057,789,3405,2738,667,1038,994,44
Davao Oriental,60 to 64,5443,4347,1096,3722,2997,725,2308,1817,491,705,666,39
Davao Oriental,65 to 69,3539,2767,772,2628,2073,555,1292,995,297,369,353,16
Davao Oriental,70 to 74,2523,1935,588,1946,1496,450,819,624,195,196,185,11
Davao Oriental,75 to 79,1409,1065,344,1137,854,283,394,298,96,80,74,6
Davao Oriental,80 to 84,538,403,135,440,328,112,150,115,35,28,24,4
Davao Oriental,85 years old and over,192,133,59,156,107,49,51,37,14,5,4,1
Davao Oriental,Don't know,122,100,22,52,42,10,72,58,14,15,13,2
Davao Oriental,Not reported,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Samar,Total,71420,62463,8957,37633,33235,4398,31254,26101,5153,21167,20509,658
Eastern Samar,5 to 9,52,28,24,0,0,0,52,28,24,1,1,0
Eastern Samar,10 to 14,576,473,103,46,39,7,459,360,99,124,124,0
Eastern Samar,15 to 19,3393,3147,246,534,487,47,2505,2295,210,915,904,11
Eastern Samar,20 to 24,5681,5356,325,1623,1521,102,3610,3372,238,1736,1713,23
Eastern Samar,25 to 29,6974,6480,494,2821,2619,202,3778,3459,319,2320,2277,43
Eastern Samar,30 to 34,7696,6930,766,3460,3147,313,3695,3203,492,2630,2584,46
Eastern Samar,35 to 39,8223,7306,917,4226,3826,400,3657,3087,570,2796,2717,79
Eastern Samar,40 to 44,7731,6746,985,4316,3872,444,3110,2508,602,2613,2525,88
Eastern Samar,45 to 49,7781,6684,1097,4648,4125,523,2940,2291,649,2429,2339,90
Eastern Samar,50 to 54,6528,5529,999,4118,3597,521,2283,1726,557,1928,1860,68
Eastern Samar,55 to 59,5346,4445,901,3507,3005,502,1802,1341,461,1409,1329,80
Eastern Samar,60 to 64,4265,3567,698,2964,2556,408,1294,951,343,1047,994,53
Eastern Samar,65 to 69,3386,2776,610,2468,2102,366,1014,732,282,665,622,43
Eastern Samar,70 to 74,2022,1627,395,1561,1286,275,543,378,165,328,314,14
Eastern Samar,75 to 79,1196,939,257,922,733,189,310,227,83,172,157,15
Eastern Samar,80 to 84,371,269,102,291,218,73,110,71,39,37,32,5
Eastern Samar,85 years old and over,108,83,25,84,63,21,37,26,11,7,7,0
Eastern Samar,Don't know,86,74,12,42,37,5,51,43,8,10,10,0
Eastern Samar,Not reported,5,4,1,2,2,0,4,3,1,0,0,0
