province,age_group,total_registered_farmers_farm_laborers_and_fishermen_total,total_registered_farmers_farm_laborers_and_fishermen_male,total_registered_farmers_farm_laborers_and_fishermen_female,number_of_registered_farmers_total,number_of_registered_farmers_male,number_of_registered_farmers_female,number_of_registered_farm_laborers_total,number_of_registered_farm_laborers_male,number_of_registered_farm_laborers_female,number_of_registered_fishermen_total,number_of_registered_fishermen_male,number_of_registered_fishermen_female
Sultan Kudarat,50 to 54,12071,9578,2493,7715,6803,912,7090,5207,1883,1270,1120,150
Sultan Kudarat,55 to 59,8740,6822,1918,5849,5020,829,4841,3494,1347,797,698,99
Sultan Kudarat,60 to 64,6202,4683,1519,4225,3476,749,3269,2271,998,548,466,82
Sultan Kudarat,65 to 69,3744,2764,980,2676,2135,541,1837,1251,586,296,241,55
Sultan Kudarat,70 to 74,2331,1638,693,1678,1272,406,1086,703,383,191,135,56
Sultan Kudarat,75 to 79,1146,812,334,851,632,219,497,333,164,72,53,19
Sultan Kudarat,80 to 84,412,294,118,319,237,82,143,98,45,28,18,10
Sultan Kudarat,85 years old and over,154,114,40,113,84,29,65,49,16,10,7,3
Sultan Kudarat,Don't know,68,52,16,25,21,4,44,33,11,14,12,2
Sultan Kudarat,Not reported,68,57,11,26,20,6,26,21,5,27,27,0
Surigao del Norte,Total,63500,53912,9588,36130,28981,7149,27132,23669,3463,17330,16928,402
Surigao del Norte,5 to 9,3,2,1,0,0,0,2,1,1,1,1,0
Surigao del Norte,10 to 14,291,234,57,53,36,17,217,175,42,51,50,1
Surigao del Norte,15 to 19,2384,2240,144,394,331,63,1747,1652,95,659,651,8
Surigao del Norte,20 to 24,4366,4060,306,1087,941,146,2779,2599,180,1469,1452,17
Surigao del Norte,25 to 29,5817,5355,462,2029,1750,279,3413,3192,221,2014,1994,20
Surigao del Norte,30 to 34,6776,6115,661,2953,2531,422,3528,3224,304,2318,2283,35
Surigao del Norte,35 to 39,7067,6237,830,3628,3043,585,3266,2908,358,2366,2321,45
Surigao del Norte,40 to 44,7126,6125,1001,4081,3399,682,2985,2549,436,2214,2154,60
Surigao del Norte,45 to 49,7228,6117,1111,4682,3888,794,2817,2366,451,2015,1956,59
Surigao del Norte,50 to 54,6214,5134,1080,4317,3505,812,2211,1823,388,1512,1459,53
Surigao del Norte,55 to 59,5097,4148,949,3764,2977,787,1572,1285,287,1133,1108,25
Surigao del Norte,60 to 64,3934,3018,916,3071,2310,761,1027,782,245,712,678,34
Surigao del Norte,65 to 69,3039,2252,787,2518,1835,683,705,532,173,432,416,16
Surigao del Norte,70 to 74,2272,1622,650,1936,1381,555,500,342,158,275,258,17
Surigao del Norte,75 to 79,1169,787,382,1003,670,333,220,141,79,103,95,8
Surigao del Norte,80 to 84,489,307,182,440,272,168,78,47,31,34,30,4
Surigao del Norte,85 years old and over,169,110,59,144,90,54,39,28,11,6,6,0
Surigao del Norte,Don't know,14,11,3,6,4,2,8,7,1,3,3,0
Surigao del Norte,Not reported,45,38,7,24,18,6,18,16,2,13,13,0
Surigao del Sur,Total,104044,84876,19168,53320,46439,6881,53967,40914,13053,22202,20585,1617
Surigao del Sur,5 to 9,230,143,87,1,1,0,202,119,83,34,28,6
Surigao del Sur,10 to 14,2102,1501,601,23,21,2,1838,1266,572,406,338,68
Surigao del Sur,15 to 19,5916,5125,791,290,262,28,5032,4284,748,1211,1151,60
Surigao del Sur,20 to 24,8326,7454,872,1796,1685,111,6105,5347,758,1858,1801,57
Surigao del Sur,25 to 29,9813,8669,1144,3439,3208,231,6199,5270,929,2377,2288,89
Surigao del Sur,30 to 34,10487,9023,1464,4759,4429,330,5979,4812,1167,2650,2509,141
Surigao del Sur,35 to 39,11322,9443,1879,5838,5362,476,5842,4410,1432,2768,2577,191
Surigao del Sur,40 to 44,11378,9259,2119,6387,5768,619,5563,4009,1554,2772,2547,225
Surigao del Sur,45 to 49,11547,9207,2340,7090,6276,814,5290,3633,1657,2549,2348,201
Surigao del Sur,50 to 54,9856,7717,2139,6438,5580,858,4186,2773,1413,2070,1886,184
Surigao del Sur,55 to 59,8126,6215,1911,5674,4743,931,3160,2048,1112,1493,1342,151
Surigao del Sur,60 to 64,5996,4591,1405,4406,3623,783,2113,1383,730,998,897,101
Surigao del Sur,65 to 69,3908,2893,1015,3026,2383,643,1169,726,443,543,472,71
Surigao del Sur,70 to 74,2656,1925,731,2169,1624,545,733,477,256,278,240,38
Surigao del Sur,75 to 79,1534,1120,414,1301,984,317,337,219,118,133,107,26
Surigao del Sur,80 to 84,553,391,162,480,345,135,104,63,41,29,24,5
Surigao del Sur,85 years old and over,176,112,64,153,103,50,37,19,18,11,9,2
Surigao del Sur,Don't know,87,66,21,34,29,5,61,45,16,15,14,1
Surigao del Sur,Not reported,31,22,9,16,13,3,17,11,6,7,7,0
Zamboanga del Norte,Total,185847,140255,45592,128981,97381,31600,86007,62515,23492,23654,22642,1012
Zamboanga del Norte,5 to 9,231,139,92,19,12,7,209,122,87,7,7,0
Zamboanga del Norte,10 to 14,2738,1723,1015,712,457,255,2143,1304,839,207,188,19
Zamboanga del Norte,15 to 19,8350,6334,2016,3145,2273,872,5742,4282,1460,1138,1104,34
Zamboanga del Norte,20 to 24,13623,10870,2753,7202,5592,1610,8083,6399,1684,2020,1957,63
Zamboanga del Norte,25 to 29,17915,14507,3408,10834,8616,2218,9577,7603,1974,2813,2732,81
Zamboanga del Norte,30 to 34,20081,15902,4179,13202,10398,2804,10037,7764,2273,2933,2825,108
Zamboanga del Norte,35 to 39,21960,16874,5086,15198,11755,3443,10496,7728,2768,3088,2945,143
Zamboanga del Norte,40 to 44,21769,16572,5197,15790,12171,3619,9810,6986,2824,3049,2926,123
Zamboanga del Norte,45 to 49,21389,16013,5376,15935,12137,3798,9401,6628,2773,2752,2635,117
Zamboanga del Norte,50 to 54,17438,12901,4537,13549,10168,3381,6980,4842,2138,2091,1985,106
Zamboanga del Norte,55 to 59,14180,10353,3827,11266,8336,2930,5368,3631,1737,1620,1517,103
Zamboanga del Norte,60 to 64,9931,6991,2940,8100,5746,2354,3514,2326,1188,963,921,42
Zamboanga del Norte,65 to 69,7332,5096,2236,6236,4403,1833,2254,1441,813,556,514,42
Zamboanga del Norte,70 to 74,4707,3206,1501,4114,2859,1255,1284,786,498,253,235,18
Zamboanga del Norte,75 to 79,2662,1781,881,2332,1581,751,684,423,261,105,98,7
Zamboanga del Norte,80 to 84,1063,696,367,937,623,314,267,162,105,41,37,4
Zamboanga del Norte,85 years old and over,391,260,131,342,228,114,101,67,34,13,12,1
Zamboanga del Norte,Don't know,22,15,7,14,11,3,14,9,5,0,0,0
Zamboanga del Norte,Not reported,65,22,43,54,15,39,43,12,31,5,4,1
Sarangani,Total,89727,78922,10805,55739,49120,6619,36847,30869,5978,19028,18573,455
Sarangani,5 to 9,111,82,29,18,14,4,84,60,24,16,14,2
Sarangani,10 to 14,902,717,185,104,92,12,741,566,175,156,148,8
Sarangani,15 to 19,4446,4043,403,1195,1089,106,2525,2199,326,1418,1391,27
Sarangani,20 to 24,9062,8417,645,4427,4098,329,4072,3662,410,2634,2580,54
Sarangani,25 to 29,11243,10403,840,6256,5785,471,4702,4195,507,3004,2942,62
Sarangani,30 to 34,11743,10582,1161,6975,6334,641,4888,4205,683,2856,2786,70
Sarangani,35 to 39,11895,10672,1223,7600,6891,709,4763,4065,698,2655,2592,63
Sarangani,40 to 44,10436,9138,1298,6980,6185,795,4213,3459,754,2072,2021,51
Sarangani,45 to 49,9073,7785,1288,6352,5516,836,3383,2688,695,1624,1592,32
Sarangani,50 to 54,6999,5928,1071,4992,4283,709,2749,2172,577,1128,1106,22
Sarangani,55 to 59,5303,4431,872,3945,3350,595,1938,1508,430,737,707,30
Sarangani,60 to 64,3581,2895,686,2792,2275,517,1273,979,294,402,385,17
Sarangani,65 to 69,2370,1858,512,1950,1536,414,754,556,198,187,180,7
Sarangani,70 to 74,1436,1140,296,1215,968,247,413,307,106,95,89,6
Sarangani,75 to 79,686,514,172,573,436,137,201,144,57,28,27,1
Sarangani,80 to 84,279,204,75,238,175,63,72,50,22,9,7,2
Sarangani,85 years old and over,107,76,31,90,66,24,42,33,9,1,1,0
Sarangani,Don't know,12,9,3,8,5,3,7,6,1,2,2,0
Sarangani,Not reported,43,28,15,29,22,7,27,15,12,4,3,1
Apayao,Total,34825,23512,11313,17912,15611,2301,26263,16033,10230,5878,5485,393
Apayao,5 to 9,6,4,2,0,0,0,6,4,2,2,2,0
Apayao,10 to 14,230,172,58,8,7,1,223,165,58,45,45,0
Apayao,15 to 19,1775,1336,439,129,109,20,1725,1290,435,314,287,27
Apayao,20 to 24,2845,2062,783,661,596,65,2603,1840,763,497,465,32
Apayao,25 to 29,3757,2615,1142,1502,1362,140,3156,2070,1086,717,685,32
Apayao,30 to 34,4218,2948,1270,2162,1986,176,3281,2084,1197,819,778,41
Apayao,35 to 39,4497,3039,1458,2485,2262,223,3408,2048,1360,822,780,42
Apayao,40 to 44,4039,2665,1374,2376,2119,257,2922,1649,1273,723,680,43
Apayao,45 to 49,3798,2476,1322,2307,1990,317,2681,1484,1197,631,580,51
Apayao,50 to 54,3206,2028,1178,1999,1691,308,2201,1166,1035,484,447,37
Apayao,55 to 59,2400,1531,869,1545,1300,245,1615,857,758,366,330,36
Apayao,60 to 64,1600,1018,582,1064,861,203,1005,545,460,205,187,18
Apayao,65 to 69,976,640,336,673,535,138,583,328,255,100,86,14
Apayao,70 to 74,667,440,227,473,381,92,369,206,163,55,50,5
Apayao,75 to 79,356,244,112,264,210,54,181,110,71,29,24,5
Apayao,80 to 84,134,91,43,107,78,29,55,38,17,17,15,2
Apayao,85 years old and over,46,29,17,32,22,10,24,14,10,0,0,0
Apayao,Don't know,275,174,101,125,102,23,225,135,90,52,44,8
Apayao,Not reported,0,0,0,0,0,0,0,0,0,0,0,0
