province,kind_of_work_as_farm_laborer,total_registered_farm_laborers_total,total_registered_farm_laborers_male,total_registered_farm_laborers_female,number_of_registered_farm_laborers_only_total,number_of_registered_farm_laborers_only_male,number_of_registered_farm_laborers_only_female,number_of_registered_farm_laborers_who_are_also_farmers_and_or_fishermen_total,number_of_registered_farm_laborers_who_are_also_farmers_and_or_fishermen_male,number_of_registered_farm_laborers_who_are_also_farmers_and_or_fishermen_female
All 20 Provinces,Land preparation,589875,485786,104089,279352,208636,70716,310523,277150,33373
All 20 Provinces,Planting/Transplanting,801215,580257,220958,458388,286657,171731,342827,293600,49227
All 20 Provinces,"Cultivation/Application of fertilizers, etc.",377136,301515,75621,198576,142106,56470,178560,159409,19151
All 20 Provinces,Harvesting,912223,681072,231151,531918,351458,180460,380305,329614,50691
All 20 Provinces,Processing/Packaging,77863,67062,10801,41860,33989,7871,36003,33073,2930
All 20 Provinces,Marketing,44004,31966,12038,20082,11382,8700,23922,20584,3338
All 20 Provinces,Livestock/Poultry raising,107360,72757,34603,50229,25831,24398,57131,46926,10205
All 20 Provinces,Other type of farm laborer,17522,15158,2364,10986,9114,1872,6536,6044,492
Abra,Land preparation,19926,16426,3500,7847,5160,2687,12079,11266,813
Abra,Planting/Transplanting,35135,21885,13250,20118,8828,11290,15017,13057,1960
Abra,"Cultivation/Application of fertilizers, etc.",15637,11351,4286,6998,3623,3375,8639,7728,911
Abra,Harvesting,40085,24872,15213,23433,10346,13087,16652,14526,2126
Abra,Processing/Packaging,1361,822,539,670,259,411,691,563,128
Abra,Marketing,744,390,354,353,36,317,391,354,37
Abra,Livestock/Poultry raising,6915,3889,3026,3952,1337,2615,2963,2552,411
Abra,Other type of farm laborer,86,26,60,63,11,52,23,15,8
Agusan del Sur,Land preparation,40374,33554,6820,19489,14201,5288,20885,19353,1532
Agusan del Sur,Planting/Transplanting,48027,37032,10995,26813,17861,8952,21214,19171,2043
Agusan del Sur,"Cultivation/Application of fertilizers, etc.",21364,18127,3237,10499,8052,2447,10865,10075,790
Agusan del Sur,Harvesting,49382,38465,10917,28837,19886,8951,20545,18579,1966
Agusan del Sur,Processing/Packaging,2715,2188,527,1625,1235,390,1090,953,137
Agusan del Sur,Marketing,2503,1660,843,1334,632,702,1169,1028,141
Agusan del Sur,Livestock/Poultry raising,3704,2306,1398,2009,911,1098,1695,1395,300
Agusan del Sur,Other type of farm laborer,1004,885,119,591,494,97,413,391,22
Camarines Sur,Land preparation,88771,80280,8491,48009,41901,6108,40762,38379,2383
Camarines Sur,Planting/Transplanting,111910,86758,25152,69515,48761,20754,42395,37997,4398
Camarines Sur,"Cultivation/Application of fertilizers, etc.",64103,58288,5815,36049,31484,4565,28054,26804,1250
Camarines Sur,Harvesting,128239,102535,25704,82253,60763,21490,45986,41772,4214
Camarines Sur,Processing/Packaging,15757,14293,1464,8728,7571,1157,7029,6722,307
