province,kind_of_work_as_farm_laborer,total_registered_farm_laborers_total,total_registered_farm_laborers_male,total_registered_farm_laborers_female,number_of_registered_farm_laborers_only_total,number_of_registered_farm_laborers_only_male,number_of_registered_farm_laborers_only_female,number_of_registered_farm_laborers_who_are_also_farmers_and_or_fishermen_total,number_of_registered_farm_laborers_who_are_also_farmers_and_or_fishermen_male,number_of_registered_farm_laborers_who_are_also_farmers_and_or_fishermen_female
Camarines Sur,Marketing,7968,6240,1728,3646,2400,1246,4322,3840,482
Camarines Sur,Livestock/Poultry raising,17800,13640,4160,9245,6134,3111,8555,7506,1049
Camarines Sur,Other type of farm laborer,1309,1068,241,732,559,173,577,509,68
Davao Oriental,Land preparation,32864,28995,3869,20452,17460,2992,12412,11535,877
Davao Oriental,Planting/Transplanting,32094,27350,4744,19976,16482,3494,12118,10868,1250
Davao Oriental,"Cultivation/Application of fertilizers, etc.",13977,12532,1445,8546,7532,1014,5431,5000,431
Davao Oriental,Harvesting,44437,38824,5613,28841,24641,4200,15596,14183,1413
Davao Oriental,Processing/Packaging,5921,5281,640,3726,3330,396,2195,1951,244
Davao Oriental,Marketing,2714,2370,344,1226,1049,177,1488,1321,167
Davao Oriental,Livestock/Poultry raising,2811,2449,362,1226,999,227,1585,1450,135
Davao Oriental,Other type of farm laborer,2264,2154,110,1276,1191,85,988,963,25
Eastern Samar,Land preparation,10933,9289,1644,5429,4230,1199,5504,5059,445
Eastern Samar,Planting/Transplanting,22047,17863,4184,12758,9440,3318,9289,8423,866
Eastern Samar,"Cultivation/Application of fertilizers, etc.",3600,3070,530,1926,1515,411,1674,1555,119
Eastern Samar,Harvesting,22250,18507,3743,12742,9792,2950,9508,8715,793
Eastern Samar,Processing/Packaging,5706,5278,428,2978,2676,302,2728,2602,126
Eastern Samar,Marketing,1203,1043,160,591,483,108,612,560,52
Eastern Samar,Livestock/Poultry raising,804,670,134,334,252,82,470,418,52
Eastern Samar,Other type of farm laborer,941,911,30,624,608,16,317,303,14
Ifugao,Land preparation,27679,17916,9763,8719,4924,3795,18960,12992,5968
Ifugao,Planting/Transplanting,30461,17233,13228,11964,5683,6281,18497,11550,6947
Ifugao,"Cultivation/Application of fertilizers, etc.",17519,11628,5891,7070,3795,3275,10449,7833,2616
Ifugao,Harvesting,31084,17919,13165,11750,5629,6121,19334,12290,7044
Ifugao,Processing/Packaging,2522,1999,523,540,431,109,1982,1568,414
Ifugao,Marketing,1879,1286,593,582,316,266,1297,970,327
Ifugao,Livestock/Poultry raising,6156,3523,2633,974,439,535,5182,3084,2098
Ifugao,Other type of farm laborer,292,164,128,180,86,94,112,78,34
Kalinga,Land preparation,18973,13964,5009,10642,6442,4200,8331,7522,809
Kalinga,Planting/Transplanting,28536,16002,12534,19544,8556,10988,8992,7446,1546
Kalinga,"Cultivation/Application of fertilizers, etc.",12740,9227,3513,7596,4612,2984,5144,4615,529
Kalinga,Harvesting,30694,17903,12791,20857,9651,11206,9837,8252,1585
Kalinga,Processing/Packaging,1240,1039,201,698,552,146,542,487,55
Kalinga,Marketing,415,127,288,293,53,240,122,74,48
Kalinga,Livestock/Poultry raising,4664,2670,1994,2638,1005,1633,2026,1665,361
Kalinga,Other type of farm laborer,57,31,26,47,22,25,10,9,1
Masbate,Land preparation,36566,30207,6359,14068,9451,4617,22498,20756,1742
Masbate,Planting/Transplanting,41465,29236,12229,21030,11138,9892,20435,18098,2337
Masbate,"Cultivation/Application of fertilizers, etc.",14275,11127,3148,6564,4053,2511,7711,7074,637
Masbate,Harvesting,42000,31137,10863,20544,11812,8732,21456,19325,2131
Masbate,Processing/Packaging,2509,2185,324,1008,751,257,1501,1434,67
Masbate,Marketing,1538,994,544,670,288,382,868,706,162
Masbate,Livestock/Poultry raising,7301,4808,2493,3084,1204,1880,4217,3604,613
Masbate,Other type of farm laborer,477,387,90,252,190,62,225,197,28
Mountain Province,Land preparation,19180,11730,7450,9964,4865,5099,9216,6865,2351
Mountain Province,Planting/Transplanting,23347,12269,11078,13445,5179,8266,9902,7090,2812
Mountain Province,"Cultivation/Application of fertilizers, etc.",14469,8591,5878,8039,3621,4418,6430,4970,1460
Mountain Province,Harvesting,24157,13480,10677,13760,5707,8053,10397,7773,2624
Mountain Province,Processing/Packaging,250,189,61,95,59,36,155,130,25
Mountain Province,Marketing,857,465,392,378,137,241,479,328,151
Mountain Province,Livestock/Poultry raising,1266,479,787,877,231,646,389,248,141
Mountain Province,Other type of farm laborer,141,114,27,75,66,9,66,48,18
North Cotabato,Land preparation,70657,60331,10326,34676,27250,7426,35981,33081,2900
North Cotabato,Planting/Transplanting,105996,76867,29129,64645,40864,23781,41351,36003,5348
North Cotabato,"Cultivation/Application of fertilizers, etc.",77909,60922,16987,45306,31740,13566,32603,29182,3421
North Cotabato,Harvesting,129775,96315,33460,81162,54041,27121,48613,42274,6339
North Cotabato,Processing/Packaging,9834,7975,1859,5913,4403,1510,3921,3572,349
North Cotabato,Marketing,6809,4148,2661,3319,1160,2159,3490,2988,502
North Cotabato,Livestock/Poultry raising,20490,12872,7618,11749,5740,6009,8741,7132,1609
North Cotabato,Other type of farm laborer,6074,5161,913,4393,3615,778,1681,1546,135
Northern Samar,Land preparation,16304,14607,1697,6997,5913,1084,9307,8694,613
Northern Samar,Planting/Transplanting,37354,31049,6305,19978,15357,4621,17376,15692,1684
Northern Samar,"Cultivation/Application of fertilizers, etc.",2825,2594,231,1257,1094,163,1568,1500,68
Northern Samar,Harvesting,42917,36910,6007,22715,18254,4461,20202,18656,1546
Northern Samar,Processing/Packaging,6419,5995,424,3516,3207,309,2903,2788,115
Northern Samar,Marketing,2685,2404,281,1194,1045,149,1491,1359,132
Northern Samar,Livestock/Poultry raising,3753,3364,389,1192,1006,186,2561,2358,203
Northern Samar,Other type of farm laborer,1010,960,50,599,558,41,411,402,9
Romblon,Land preparation,9934,7841,2093,3945,2792,1153,5989,5049,940
Romblon,Planting/Transplanting,17537,11408,6129,8434,4376,4058,9103,7032,2071
Romblon,"Cultivation/Application of fertilizers, etc.",3670,2756,914,1551,949,602,2119,1807,312
Romblon,Harvesting,17594,11810,5784,8615,4729,3886,8979,7081,1898
Romblon,Processing/Packaging,704,570,134,189,148,41,515,422,93
Romblon,Marketing,827,485,342,442,181,261,385,304,81
Romblon,Livestock/Poultry raising,3446,2444,1002,1318,739,579,2128,1705,423
Romblon,Other type of farm laborer,74,70,4,45,42,3,29,28,1
Western Samar,Land preparation,31869,23277,8592,19083,11462,7621,12786,11815,971
Western Samar,Planting/Transplanting,47981,32972,15009,32590,18783,13807,15391,14189,1202
Western Samar,"Cultivation/Application of fertilizers, etc.",9673,7384,2289,5671,3572,2099,4002,3812,190
Western Samar,Harvesting,46733,33724,13009,30564,18539,12025,16169,15185,984
Western Samar,Processing/Packaging,4717,4075,642,2469,1882,587,2248,2193,55
Western Samar,Marketing,2206,1602,604,1186,653,533,1020,949,71
Western Samar,Livestock/Poultry raising,1989,1297,692,1239,602,637,750,695,55
Western Samar,Other type of farm laborer,432,387,45,189,149,40,243,238,5
Siquijor,Land preparation,4059,2779,1280,1187,456,731,2872,2323,549
Siquijor,Planting/Transplanting,4712,2548,2164,2088,666,1422,2624,1882,742
Siquijor,"Cultivation/Application of fertilizers, etc.",3093,1700,1393,1384,460,924,1709,1240,469
Siquijor,Harvesting,4747,2678,2069,2051,692,1359,2696,1986,710
Siquijor,Processing/Packaging,66,44,22,35,16,19,31,28,3
Siquijor,Marketing,73,39,34,33,14,19,40,25,15
Siquijor,Livestock/Poultry raising,1370,620,750,728,179,549,642,441,201
Siquijor,Other type of farm laborer,52,41,11,4,4,0,48,37,11
Sultan Kudarat,Land preparation,41005,36586,4419,16286,13839,2447,24719,22747,1972
Sultan Kudarat,Planting/Transplanting,63215,48624,14591,36076,24177,11899,27139,24447,2692
Sultan Kudarat,"Cultivation/Application of fertilizers, etc.",40891,34592,6299,20621,15666,4955,20270,18926,1344
Sultan Kudarat,Harvesting,87260,66311,20949,53582,36272,17310,33678,30039,3639
Sultan Kudarat,Processing/Packaging,3101,2421,680,1749,1204,545,1352,1217,135
Sultan Kudarat,Marketing,2890,2142,748,1069,507,562,1821,1635,186
Sultan Kudarat,Livestock/Poultry raising,4582,3597,985,1672,1004,668,2910,2593,317
Sultan Kudarat,Other type of farm laborer,548,412,136,380,272,108,168,140,28
Surigao del Norte,Land preparation,10402,9424,978,4945,4402,543,5457,5022,435
Surigao del Norte,Planting/Transplanting,17268,14899,2369,9596,8045,1551,7672,6854,818
Surigao del Norte,"Cultivation/Application of fertilizers, etc.",5059,4538,521,2670,2393,277,2389,2145,244
Surigao del Norte,Harvesting,20109,17877,2232,11240,9813,1427,8869,8064,805
Surigao del Norte,Processing/Packaging,2327,2092,235,1144,1037,107,1183,1055,128
Surigao del Norte,Marketing,777,644,133,328,263,65,449,381,68
Surigao del Norte,Livestock/Poultry raising,1195,958,237,413,274,139,782,684,98
Surigao del Norte,Other type of farm laborer,898,869,29,524,508,16,374,361,13
Surigao del Sur,Land preparation,30065,24852,5213,16938,12552,4386,13127,12300,827
Surigao del Sur,Planting/Transplanting,38731,28043,10688,24428,15474,8954,14303,12569,1734
Surigao del Sur,"Cultivation/Application of fertilizers, etc.",12042,9967,2075,6795,5041,1754,5247,4926,321
Surigao del Sur,Harvesting,40537,31323,9214,24823,17182,7641,15714,14141,1573
Surigao del Sur,Processing/Packaging,6955,5971,984,3992,3179,813,2963,2792,171
Surigao del Sur,Marketing,2944,2191,753,1688,1049,639,1256,1142,114
Surigao del Sur,Livestock/Poultry raising,3300,2344,956,1588,828,760,1712,1516,196
Surigao del Sur,Other type of farm laborer,717,652,65,375,325,50,342,327,15
Zamboanga del Norte,Land preparation,49141,37636,11505,18175,12397,5778,30966,25239,5727
Zamboanga del Norte,Planting/Transplanting,51476,36519,14957,23714,15104,8610,27762,21415,6347
Zamboanga del Norte,"Cultivation/Application of fertilizers, etc.",25206,18034,7172,10971,6947,4024,14235,11087,3148
Zamboanga del Norte,Harvesting,57197,41644,15553,26619,17520,9099,30578,24124,6454
Zamboanga del Norte,Processing/Packaging,3319,2584,735,1841,1374,467,1478,1210,268
Zamboanga del Norte,Marketing,2825,1923,902,1274,826,448,1551,1097,454
Zamboanga del Norte,Livestock/Poultry raising,9347,6048,3299,4015,1987,2028,5332,4061,1271
Zamboanga del Norte,Other type of farm laborer,734,612,122,417,323,94,317,289,28
Sarangani,Land preparation,18523,16337,2186,7242,5937,1305,11281,10400,881
Sarangani,Planting/Transplanting,20933,17651,3282,8272,6183,2089,12661,11468,1193
Sarangani,"Cultivation/Application of fertilizers, etc.",9941,8231,1710,4629,3491,1138,5312,4740,572
Sarangani,Harvesting,29414,24423,4991,13827,10485,3342,15587,13938,1649
Sarangani,Processing/Packaging,1363,1161,202,570,429,141,793,732,61
Sarangani,Marketing,1460,1292,168,288,214,74,1172,1078,94
Sarangani,Livestock/Poultry raising,4010,3315,695,869,623,246,3141,2692,449
Sarangani,Other type of farm laborer,201,177,24,88,73,15,113,104,9
Apayao,Land preparation,12650,9755,2895,5259,3002,2257,7391,6753,638
Apayao,Planting/Transplanting,22990,14049,8941,13404,5700,7704,9586,8349,1237
Apayao,"Cultivation/Application of fertilizers, etc.",9143,6856,2287,4434,2466,1968,4709,4390,319
Apayao,Harvesting,23612,14415,9197,13703,5704,7999,9909,8711,1198
Apayao,Processing/Packaging,1077,900,177,374,246,128,703,654,49
Apayao,Marketing,687,521,166,188,76,112,499,445,54
Apayao,Livestock/Poultry raising,2457,1464,993,1107,337,770,1350,1127,223
Apayao,Other type of farm laborer,211,77,134,132,18,114,79,59,20
