particulars_1,particulars_2,amount
Calamity Fund (CY 2014),Calamity Fund (CY 2014),51564897.75
Special Trust Fund,Special Trust Fund,7347902.94
Amount to be transferred to STF (2013 Balance),Amount to be transferred to STF (2013 Balance),17306137.92
Continuing Appropriations,Continuing Appropriations,33316866.46
Less-Disbursement,Pre-Disaster Preparedness Programs,-
Less-Disbursement,Maintenance and Other Operating Expenses,-
Less-Disbursement,Capital Outlay,-
Total,Balance,109535805.1
