particulars_1,particulars_2,particulars_3,amount
Calamity Fund,Calamity Fund,Calamity Fund,65419159.45
Special Trust Fund,Special Trust Fund,Special Trust Fund,22302859.74
Less-Disbursement,Less-Disbursement,Less-Disbursement,87722019.19
Less-Disbursement,Pre-Disaster Preparedness Programs,Pre-Disaster Preparedness Programs,-
Less-Disbursement,Maintenance and Other Operating Expenses,Food Supplies,3722750
Less-Disbursement,Maintenance and Other Operating Expenses,Office and Computer Supplies,643856
Less-Disbursement,Maintenance and Other Operating Expenses,Relief Goods,50400
Less-Disbursement,Maintenance and Other Operating Expenses,Trainings and Seminar,37331
Less-Disbursement,Maintenance and Other Operating Expenses,Financial Assistance ,1906000
Less-Disbursement,Maintenance and Other Operating Expenses,Other MOOE,70793.08
Less-Disbursement,Capital Outlays,Transfer to Other LGUs,400000
Less-Disbursement,Capital Outlays,Construction of Pre-Disaster Facilities,10000000
Balance,Balance,Balance,70890889.11
