particulars_1,particulars_2,amount
Current Appropriation (MOOE),Current Appropriation (MOOE),16918268
Current Appropriation (CO),Current Appropriation (CO),23014034
Continuing Appropriation (CO),Continuing Appropriation (CO),24920028.56
Appropriation_Total,Appropriation_Total,64852330.56
Less-Disbursement,Maintenance and Other Operating Expenses,522406.3
Less-Disbursement,Capital Outlay,55500
Balance,Balance,64274424.26
