region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
ARMM,Sanga-Sanga,G. Aviation,1,13,1,-,-,1,-,-,5,-,-,-,21
ARMM,Sanga-Sanga,Military,-,-,-,-,-,-,-,2,-,4,-,-,6
IX (Zamboanga Peninsula),Siocon,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
IX (Zamboanga Peninsula),Zamboanga,PAL,63,56,60,60,60,60,62,62,60,62,60,61,726
IX (Zamboanga Peninsula),Zamboanga,Cebu Pacific,63,56,60,60,66,69,71,70,69,76,68,87,815
IX (Zamboanga Peninsula),Zamboanga,Air Philippines,31,28,30,30,30,30,30,29,28,31,33,39,369
IX (Zamboanga Peninsula),Zamboanga,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,-,0
IX (Zamboanga Peninsula),Zamboanga,Seair,103,101,83,86,81,72,86,100,78,73,78,71,1012
IX (Zamboanga Peninsula),Zamboanga,South Phoenix,59,52,-,-,-,-,-,-,-,-,-,-,111
IX (Zamboanga Peninsula),Zamboanga,Astro Air,-,-,31,32,28,31,34,-,-,-,-,-,156
IX (Zamboanga Peninsula),Zamboanga,G. Aviation,50,22,-,-,-,20,-,-,-,-,-,-,92
XIII (Caraga),Butuan,PAL,29,28,29,30,31,30,31,31,30,31,30,30,360
XIII (Caraga),Butuan,Cebu Pacific,36,27,28,30,31,30,29,30,27,30,29,30,357
XIII (Caraga),Butuan,G. Aviation,6,17,22,5,21,7,5,33,19,10,10,4,159
XIII (Caraga),Butuan,Military,1,1,13,2,4,8,2,2,5,5,2,10,55
X (Northern Mindanao),Cagayan de Oro,PAL,123,98,91,-,114,97,93,93,90,95,90,102,1086
X (Northern Mindanao),Cagayan de Oro,Cebu Pacific,72,56,60,-,64,62,64,64,62,64,60,70,698
X (Northern Mindanao),Cagayan de Oro,Air Philippines,31,28,30,-,28,29,28,31,28,30,30,30,323
X (Northern Mindanao),Cagayan de Oro,Asian Spirit,32,28,30,-,30,30,26,22,20,23,19,25,285
X (Northern Mindanao),Cagayan de Oro,Seair,24,8,-,-,-,-,-,-,-,-,-,-,32
X (Northern Mindanao),Cagayan de Oro,Aboitiz,2,-,3,-,1,-,-,-,-,-,-,-,6
X (Northern Mindanao),Cagayan de Oro,G. Aviation,18,8,10,-,17,16,-,-,-,-,-,-,69
X (Northern Mindanao),Cagayan de Oro,Military,6,4,7,-,2,-,-,-,-,-,-,-,19
X (Northern Mindanao),Camiguin,Seair,13,-,13,-,13,16,-,14,14,13,13,-,109
X (Northern Mindanao),Camiguin,G. Aviation,5,-,13,-,10,6,-,8,6,21,21,-,90
X (Northern Mindanao),Camiguin,Military,-,-,-,-,5,-,-,-,-,-,-,-,5
X (Northern Mindanao),Ozamis,G. Aviation,4,5,7,6,5,3,3,9,3,4,1,-,50
XIII (Caraga),Siargao,Seair,8,8,12,-,11,6,-,-,-,-,-,6,51
XIII (Caraga),Siargao,G. Aviation,1,3,-,-,-,2,-,-,-,-,-,2,8
XIII (Caraga),Surigao,Asian Spirit,37,30,37,-,42,12,-,-,-,-,-,-,158
XIII (Caraga),Surigao,Seair,-,3,-,-,-,-,-,-,-,-,-,-,-
XIII (Caraga),Surigao,G. Aviation,5,-,10,-,10,23,-,-,-,-,-,-,48
XIII (Caraga),Surigao,Military,-,-,-,-,-,-,-,-,-,-,-,-,-
XII (SOCCSKSARGEN),Allah Valley,G. Aviation,-,3,-,7,3,3,1,6,2,10,2,1,38
XIII (Caraga),Barobo,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
XIII (Caraga),Bislig,G. Aviation,1,-,-,-,-,-,-,-,-,-,-,-,-
XII (SOCCSKSARGEN),General Santos Tambler (International),International,-,-,-,-,-,-,-,-,-,-,-,-,-
XII (SOCCSKSARGEN),General Santos Tambler (International),Merpati Air,-,-,-,-,-,-,-,-,-,-,-,-,0
XII (SOCCSKSARGEN),General Santos Tambler (Domestic),Domestic,-,-,-,-,-,-,-,-,-,-,-,-,-
XII (SOCCSKSARGEN),General Santos Tambler (Domestic),PAL,31,28,31,30,31,30,31,31,30,31,30,-,334
XII (SOCCSKSARGEN),General Santos Tambler (Domestic),Air Philippines,31,28,30,30,31,30,31,31,30,31,30,-,333
XII (SOCCSKSARGEN),General Santos Tambler (Domestic),G. Aviation,8,20,5,5,17,6,9,10,5,4,6,-,95
XII (SOCCSKSARGEN),General Santos Tambler (Domestic),Military,8,16,3,8,6,3,1,-,-,8,7,-,60
XII (SOCCSKSARGEN),General Santos Buauyan,Military,-,-,-,-,-,-,-,-,-,-,-,-,-
XI (Davao Region),Davao (International) ,Silk Air,17,16,9,30,31,30,21,31,30,31,30,31,307
XI (Davao Region),Davao (International) ,Bouraq,-,-,-,-,-,-,-,-,-,-,-,-,0
XI (Davao Region),Davao (International) ,Merpati Air,4,3,5,4,5,4,4,5,4,5,4,5,52
XI (Davao Region),Davao (Domestic),PAL,101,84,97,91,101,92,93,93,90,93,93,105,1133
XI (Davao Region),Davao (Domestic),Cebu Pacific,209,205,221,201,201,197,202,203,197,208,177,209,2430
XI (Davao Region),Davao (Domestic),Air Philippines,62,56,60,60,59,60,62,62,60,62,60,62,725
XI (Davao Region),Davao (Domestic),Seair,9,2,-,-,-,-,-,-,-,-,-,-,11
XI (Davao Region),Davao (Domestic),South Phoenix,-,-,-,-,-,-,-,-,-,-,-,-,0
XI (Davao Region),Davao (Domestic),G. Aviation,96,124,156,144,159,167,180,165,162,139,104,89,1685
XI (Davao Region),Davao (Domestic),Military,-,-,-,-,-,-,-,-,-,-,-,-,0
XI (Davao Region),Mati,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Tandag,Asian Spirit,18,-,11,13,13,13,13,26,22,22,22,20,193
XIII (Caraga),Tandag,Seair,8,-,-,-,-,-,-,-,-,-,-,-,8
XIII (Caraga),Tandag,G. Aviation,5,-,2,2,2,1,4,6,4,8,12,2,48
XIII (Caraga),Tandag,Military,-,-,-,-,-,-,1,-,-,-,2,-,3
ARMM,Cotabato,PAL,31,28,30,30,30,30,31,30,15,29,30,31,345
ARMM,Cotabato,Cebu Pacific,-,-,-,-,-,23,29,7,-,-,-,21,80
ARMM,Cotabato,Seair,16,16,15,18,17,17,18,18,10,18,17,18,198
ARMM,Cotabato,G. Aviation,6,12,9,16,3,7,12,10,-,4,4,-,83
ARMM,Cotabato,Military,6,6,3,10,5,8,12,6,7,45,13,11,132
X (Northern Mindanao),Iligan,G. Aviation,-,-,-,6,4,2,4,10,4,4,-,4,-
ARMM,Malabang,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
-,Total,Total,7736,7085,7804,7872,8431,7112,6669,6991,4253,4928,4999,5110,78990
