region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,19,15,19,17,14,11,9,-,-,-,-,-,104
CAR,Baguio,G. Aviation,87,46,46,46,31,23,26,18,16,35,45,58,477
CAR,Baguio,Military,4,15,41,4,9,10,9,3,2,10,10,67,184
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,-,-,30,31,-,-,-,-,-,-,-,61
I (Ilocos Norte),Laoag (International),Far East Trans,13,15,9,9,4,-,9,9,-,-,-,-,68
I (Ilocos Norte),Laoag (International),China S. Air,4,-,-,-,-,-,-,-,1,1,-,-,6
I (Ilocos Norte),Laoag (International),TransGlobal Airways,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (International),Asian Spirit,8,10,1,-,-,-,2,5,-,-,-,-,26
I (Ilocos Norte),Laoag (International),C.R. Airways,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (International),Mandarin Air,-,-,-,-,-,4,9,9,8,10,8,9,57
I (Ilocos Norte),Laoag (International),Asiana Air,-,-,-,-,-,-,-,5,-,-,-,-,5
I (Ilocos Norte),Laoag (Domestic),PAL,31,29,31,30,31,31,30,31,29,31,30,31,365
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,13,14,31,30,31,30,23,26,24,30,30,24,306
I (Ilocos Norte),Laoag (Domestic),Paco,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (Domestic),G. Aviation,48,51,93,98,39,34,5,57,30,61,79,30,625
I (Ilocos Norte),Laoag (Domestic),Military,-,-,-,16,2,10,24,9,-,2,-,3,66
I (Ilocos Norte),Lingayen,G. Aviation,337,454,446,499,288,378,525,31,-,-,-,471,3429
I (Ilocos Norte),San Fernando,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Vigan,Asian Spirit,-,-,-,-,-,-,-,7,-,-,-,-,7
I (Ilocos Norte),Vigan,Lion Air,-,-,-,-,-,-,-,-,-,8,5,6,19
I (Ilocos Norte),Vigan,G. Aviation,752,287,1622,1097,1023,365,806,1244,955,1709,1732,1003,12595
I (Ilocos Norte),Vigan,Military,-,-,-,-,-,-,-,-,-,1,-,-,1
II (Cagayan Valley),Bagabag,G. Aviation,28,29,45,34,6,12,-,34,49,95,22,1,355
II (Cagayan Valley),Bagabag,Military,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Basco,Asian Spirit,13,11,15,14,14,20,13,12,10,8,-,-,130
II (Cagayan Valley),Basco,Zest Air,-,-,-,-,-,-,-,-,-,-,7,-,7
II (Cagayan Valley),Basco,Chemtrad,10,9,19,33,22,13,8,5,11,25,24,-,179
II (Cagayan Valley),Basco,Batanes Air,-,-,-,-,-,13,41,38,29,48,17,-,186
II (Cagayan Valley),Basco,Seair,-,-,-,7,13,8,2,-,5,10,11,-,56
II (Cagayan Valley),Basco,G. Aviation,1,-,2,-,-,-,-,-,-,-,-,-,3
II (Cagayan Valley),Basco,Military,6,-,-,-,-,-,-,-,-,-,2,-,8
II (Cagayan Valley),Cauayan,G. Aviation,72,45,82,109,100,96,87,54,102,307,170,477,1701
II (Cagayan Valley),Itbayat,Batanes Air,-,-,-,-,-,8,28,-,-,-,-,-,36
II (Cagayan Valley),Itbayat,Chemtrad,-,-,-,9,-,-,2,-,-,-,-,-,11
II (Cagayan Valley),Palanan,Cyclone,36,-,46,50,47,51,46,-,40,-,24,22,362
II (Cagayan Valley),Palanan,G. Aviation,-,-,19,46,10,-,-,-,4,-,3,2,84
II (Cagayan Valley),Palanan,Military,-,-,8,9,2,-,4,-,-,-,-,6,29
II (Cagayan Valley),Tuguegarao,Cebu Pacific,-,-,-,-,-,13,27,24,27,31,30,30,182
II (Cagayan Valley),Tuguegarao,Air Philippines,13,12,12,13,14,13,11,6,13,22,22,13,164
II (Cagayan Valley),Tuguegarao,PAL,-,-,-,-,-,-,-,15,25,26,26,26,118
II (Cagayan Valley),Tuguegarao,Asian Spirit,18,14,18,12,16,15,16,6,-,-,-,-,115
