region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,60,56,62,58,44,30,30,16,28,32,54,68,538
CAR,Baguio,G. Aviation,108,104,144,184,78,64,64,44,34,94,160,142,1220
CAR,Baguio,Military,24,58,80,48,2,12,18,50,12,10,30,14,358
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,-,-,-,-,14,24,16,-,-,-,-,54
I (Ilocos Norte),Laoag (International),Far East Trans,46,44,46,34,8,6,26,28,26,34,26,26,350
I (Ilocos Norte),Laoag (International),China S. Air,28,24,26,26,20,22,22,26,24,32,26,26,302
I (Ilocos Norte),Laoag (International),Asiana,-,-,-,-,-,-,-,16,-,-,-,-,16
I (Ilocos Norte),Laoag (International),C.R. Airways,-,-,-,-,-,-,-,28,36,46,42,50,202
I (Ilocos Norte),Laoag (International),Astro Air,-,-,-,-,-,-,-,-,-,-,84,92,176
I (Ilocos Norte),Laoag (International),Air Philippines,56,46,56,48,-,16,32,16,-,-,-,-,270
I (Ilocos Norte),Laoag (International),Mandarin,-,-,-,-,-,-,12,-,-,-,-,-,12
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,-,-,-,-,-,-,12,-,-,-,-,-,12
I (Ilocos Norte),Laoag (Domestic),Asian Spirit,-,-,22,44,44,44,38,24,26,18,-,-,260
I (Ilocos Norte),Laoag (Domestic),Air Philippines,56,48,62,60,30,36,8,46,26,26,28,26,452
I (Ilocos Norte),Laoag (Domestic),Paco,-,32,68,140,130,70,94,86,70,86,96,28,900
I (Ilocos Norte),Laoag (Domestic),Chemtrad,76,52,74,100,102,-,62,54,76,76,74,74,820
I (Ilocos Norte),Laoag (Domestic),G. Aviation,90,74,48,56,54,72,106,-,32,62,52,30,676
I (Ilocos Norte),Laoag (Domestic),Military,58,14,62,26,40,8,14,4,4,20,2,6,258
I (Ilocos Norte),Lingayen,G. Aviation,28,58,40,24,28,18,16,20,8,26,22,20,308
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),San Fernando,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Vigan,G. Aviation,44,24,42,34,32,48,50,22,12,-,20,42,370
II (Cagayan Valley),Bagabag,Seair,-,76,116,102,-,-,-,-,-,158,-,-,452
II (Cagayan Valley),Bagabag,Chemtrad,-,-,-,42,112,-,-,-,-,-,-,-,154
II (Cagayan Valley),Bagabag,G. Aviation,-,-,64,112,-,98,144,80,90,-,92,78,758
II (Cagayan Valley),Bagabag,Military,-,8,-,-,-,-,-,-,-,-,-,2,10
II (Cagayan Valley),Basco,Asian Spirit,-,30,26,56,38,34,32,16,30,26,22,32,342
II (Cagayan Valley),Basco,Seair,-,-,-,16,-,-,-,-,-,-,-,-,16
II (Cagayan Valley),Basco,Chemtrad,-,96,106,126,136,104,68,124,122,106,90,120,1198
II (Cagayan Valley),Basco,Paco,-,60,150,186,222,168,124,110,142,146,136,180,1624
II (Cagayan Valley),Basco,G. Aviation,-,-,6,8,16,-,2,2,4,-,2,-,40
II (Cagayan Valley),Basco,Military,-,32,-,16,-,10,-,-,-,20,24,-,102
II (Cagayan Valley),Cauayan,Cyclone,228,248,-,406,360,352,328,292,256,272,238,274,3254
II (Cagayan Valley),Cauayan,G. Aviation,12,-,284,24,48,8,22,16,10,16,10,18,468
II (Cagayan Valley),Itbayat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Palanan,Chemtrad,20,16,14,40,20,30,14,18,8,16,16,26,238
II (Cagayan Valley),Palanan,Cyclone,162,160,244,290,232,224,204,174,152,166,134,156,2298
II (Cagayan Valley),Palanan,G. Aviation,2,-,2,6,-,4,8,4,-,-,2,10,38
II (Cagayan Valley),Tuguegarao,Air Philippines,24,24,26,24,48,24,28,-,-,-,-,44,242
II (Cagayan Valley),Tuguegarao,Chemtrad,120,112,138,154,-,130,90,-,-,-,-,306,1050
II (Cagayan Valley),Tuguegarao,G. Aviation,12,12,22,20,-,20,44,-,-,-,-,20,150
