year,region,type,dimensions_ft,thickness_in,thickness_mm,php_per_panel
2013,I (Ilocos Region),marine plywood,4'x8',0.75,19.05,1096.51
2013,I (Ilocos Region),plyboard,4'x8',0.75,19.05,1032.61
2013,II (Cagayan Valley),ordinary plywood,4'x8',0.125,3.175,231.85
2013,II (Cagayan Valley),ordinary plywood,4'x8',0.1875,4.7625,307.76
2013,II (Cagayan Valley),ordinary plywood,4'x8',0.25,6.35,326.15
2013,II (Cagayan Valley),ordinary plywood,4'x8',0.5,12.7,573.04
2013,II (Cagayan Valley),ordinary plywood,4'x8',0.75,19.05,959.18
2013,II (Cagayan Valley),marine plywood,4'x8',0.125,3.175,-
2013,II (Cagayan Valley),marine plywood,4'x8',0.1875,4.7625,-
2013,II (Cagayan Valley),marine plywood,4'x8',0.25,6.35,360.14
2013,II (Cagayan Valley),marine plywood,4'x8',0.5,12.7,664.82
2013,II (Cagayan Valley),marine plywood,4'x8',0.75,19.05,1060.63
2013,II (Cagayan Valley),plyboard,4'x8',0.75,19.05,857.69
2013,III (Central Luzon),ordinary plywood,4'x8',0.125,3.175,239.98
2013,III (Central Luzon),ordinary plywood,4'x8',0.1875,4.7625,289.04
2013,III (Central Luzon),ordinary plywood,4'x8',0.25,6.35,342.99
2013,III (Central Luzon),ordinary plywood,4'x8',0.5,12.7,566.65
2013,III (Central Luzon),ordinary plywood,4'x8',0.75,19.05,922.7
2013,III (Central Luzon),marine plywood,4'x8',0.125,3.175,467.65
2013,III (Central Luzon),marine plywood,4'x8',0.1875,4.7625,312.48
2013,III (Central Luzon),marine plywood,4'x8',0.25,6.35,341.52
2013,III (Central Luzon),marine plywood,4'x8',0.5,12.7,639.19
2013,III (Central Luzon),marine plywood,4'x8',0.75,19.05,1010.91
2013,III (Central Luzon),plyboard,4'x8',0.75,19.05,808.53
2013,IV-A (CALABARZON),ordinary plywood,4'x8',0.125,3.175,223.57
2013,IV-A (CALABARZON),ordinary plywood,4'x8',0.1875,4.7625,300
2013,IV-A (CALABARZON),ordinary plywood,4'x8',0.25,6.35,342.07
2013,IV-A (CALABARZON),ordinary plywood,4'x8',0.5,12.7,592.47
2013,IV-A (CALABARZON),ordinary plywood,4'x8',0.75,19.05,873.27
2013,IV-A (CALABARZON),marine plywood,4'x8',0.125,3.175,-
2013,IV-A (CALABARZON),marine plywood,4'x8',0.1875,4.7625,360
2013,IV-A (CALABARZON),marine plywood,4'x8',0.25,6.35,379.55
2013,IV-A (CALABARZON),marine plywood,4'x8',0.5,12.7,713.58
2013,IV-A (CALABARZON),marine plywood,4'x8',0.75,19.05,1142.89
2013,IV-A (CALABARZON),plyboard,4'x8',0.75,19.05,839.58
2013,IV-B (MIMAROPA),ordinary plywood,4'x8',0.125,3.175,221.07
2013,IV-B (MIMAROPA),ordinary plywood,4'x8',0.1875,4.7625,294.39
2013,IV-B (MIMAROPA),ordinary plywood,4'x8',0.25,6.35,368.66
2013,IV-B (MIMAROPA),ordinary plywood,4'x8',0.5,12.7,565.12
2013,IV-B (MIMAROPA),ordinary plywood,4'x8',0.75,19.05,945.43
2013,IV-B (MIMAROPA),marine plywood,4'x8',0.125,3.175,-
2013,IV-B (MIMAROPA),marine plywood,4'x8',0.1875,4.7625,337.78
2013,IV-B (MIMAROPA),marine plywood,4'x8',0.25,6.35,378.15
2013,IV-B (MIMAROPA),marine plywood,4'x8',0.5,12.7,700.58
2013,IV-B (MIMAROPA),marine plywood,4'x8',0.75,19.05,1136
2013,IV-B (MIMAROPA),plyboard,4'x8',0.75,19.05,932.38
2013,V (Bicol Region),ordinary plywood,4'x8',0.125,3.175,258.1
2013,V (Bicol Region),ordinary plywood,4'x8',0.1875,4.7625,321.33
2013,V (Bicol Region),ordinary plywood,4'x8',0.25,6.35,341.48
2013,V (Bicol Region),ordinary plywood,4'x8',0.5,12.7,641.94
2013,V (Bicol Region),ordinary plywood,4'x8',0.75,19.05,1025.55
2013,V (Bicol Region),marine plywood,4'x8',0.125,3.175,-
2013,V (Bicol Region),marine plywood,4'x8',0.1875,4.7625,-
2013,V (Bicol Region),marine plywood,4'x8',0.25,6.35,361.45
2013,V (Bicol Region),marine plywood,4'x8',0.5,12.7,745
2013,V (Bicol Region),marine plywood,4'x8',0.75,19.05,1129.11
2013,V (Bicol Region),plyboard,4'x8',0.75,19.05,948.67
2013,VI (Western Visayas),ordinary plywood,4'x8',0.125,3.175,227.81
2013,VI (Western Visayas),ordinary plywood,4'x8',0.1875,4.7625,297.14
2013,VI (Western Visayas),ordinary plywood,4'x8',0.25,6.35,317.83
2013,VI (Western Visayas),ordinary plywood,4'x8',0.5,12.7,551.73
2013,VI (Western Visayas),ordinary plywood,4'x8',0.75,19.05,938.04
2013,VI (Western Visayas),marine plywood,4'x8',0.125,3.175,575
2013,VI (Western Visayas),marine plywood,4'x8',0.1875,4.7625,328.85
2013,VI (Western Visayas),marine plywood,4'x8',0.25,6.35,345.1
2013,VI (Western Visayas),marine plywood,4'x8',0.5,12.7,632.51
2013,VI (Western Visayas),marine plywood,4'x8',0.75,19.05,981.89
2013,VI (Western Visayas),plyboard,4'x8',0.75,19.05,823.17
2013,VII (Central Visayas),ordinary plywood,4'x8',0.125,3.175,220
2013,VII (Central Visayas),ordinary plywood,4'x8',0.1875,4.7625,295.25
2013,VII (Central Visayas),ordinary plywood,4'x8',0.25,6.35,296
2013,VII (Central Visayas),ordinary plywood,4'x8',0.5,12.7,550
2013,VII (Central Visayas),ordinary plywood,4'x8',0.75,19.05,880
2013,VII (Central Visayas),marine plywood,4'x8',0.125,3.175,-
2013,VII (Central Visayas),marine plywood,4'x8',0.1875,4.7625,316.25
2013,VII (Central Visayas),marine plywood,4'x8',0.25,6.35,335
2013,VII (Central Visayas),marine plywood,4'x8',0.5,12.7,629
2013,VII (Central Visayas),marine plywood,4'x8',0.75,19.05,975
2013,VII (Central Visayas),plyboard,4'x8',0.75,19.05,777
2013,VIII (Eastern Visayas),ordinary plywood,4'x8',0.125,3.175,238
2013,VIII (Eastern Visayas),ordinary plywood,4'x8',0.1875,4.7625,350
2013,VIII (Eastern Visayas),ordinary plywood,4'x8',0.25,6.35,330
2013,VIII (Eastern Visayas),ordinary plywood,4'x8',0.5,12.7,576
2013,VIII (Eastern Visayas),ordinary plywood,4'x8',0.75,19.05,920.83
2013,VIII (Eastern Visayas),marine plywood,4'x8',0.125,3.175,-
2013,VIII (Eastern Visayas),marine plywood,4'x8',0.1875,4.7625,348.33
2013,VIII (Eastern Visayas),marine plywood,4'x8',0.25,6.35,370
2013,VIII (Eastern Visayas),marine plywood,4'x8',0.5,12.7,716.67
2013,VIII (Eastern Visayas),marine plywood,4'x8',0.75,19.05,1051.67
2013,VIII (Eastern Visayas),plyboard,4'x8',0.75,19.05,867.67
2013,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.125,3.175,229.45
2013,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.1875,4.7625,324.44
2013,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.25,6.35,372.78
2013,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.5,12.7,671.22
2013,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.75,19.05,1021.11
2013,IX (Zamboanga Peninsula),marine plywood,4'x8',0.125,3.175,-
2013,IX (Zamboanga Peninsula),marine plywood,4'x8',0.1875,4.7625,-
2013,IX (Zamboanga Peninsula),marine plywood,4'x8',0.25,6.35,401
2013,IX (Zamboanga Peninsula),marine plywood,4'x8',0.5,12.7,788.11
2013,IX (Zamboanga Peninsula),marine plywood,4'x8',0.75,19.05,1287.34
2013,IX (Zamboanga Peninsula),plyboard,4'x8',0.75,19.05,951.11
2013,X (Northern Mindanao),ordinary plywood,4'x8',0.125,3.175,234.45
2013,X (Northern Mindanao),ordinary plywood,4'x8',0.1875,4.7625,287.61
2013,X (Northern Mindanao),ordinary plywood,4'x8',0.25,6.35,275.39
