year,region,type,dimensions_ft,thickness_in,thickness_mm,php_per_panel
2011,II (Cagayan Valley),marine plywood,4'x8',0.5,12.7,637.22
2011,II (Cagayan Valley),marine plywood,4'x8',0.75,19.05,1018.64
2011,II (Cagayan Valley),plyboard,4'x8',0.75,19.05,882.44
2011,III (Central Luzon),ordinary plywood,4'x8',0.125,3.175,238.37
2011,III (Central Luzon),ordinary plywood,4'x8',0.1875,4.7625,386.02
2011,III (Central Luzon),ordinary plywood,4'x8',0.25,6.35,322.45
2011,III (Central Luzon),ordinary plywood,4'x8',0.5,12.7,532.82
2011,III (Central Luzon),ordinary plywood,4'x8',0.75,19.05,894.47
2011,III (Central Luzon),marine plywood,4'x8',0.25,6.35,351.36
2011,III (Central Luzon),marine plywood,4'x8',0.5,12.7,634.04
2011,III (Central Luzon),marine plywood,4'x8',0.75,19.05,1170.85
2011,III (Central Luzon),plyboard,4'x8',0.75,19.05,793.65
2011,IV-A (CALABARZON),ordinary plywood,4'x8',0.125,3.175,224.23
2011,IV-A (CALABARZON),ordinary plywood,4'x8',0.1875,4.7625,292.59
2011,IV-A (CALABARZON),ordinary plywood,4'x8',0.25,6.35,323.9
2011,IV-A (CALABARZON),ordinary plywood,4'x8',0.5,12.7,578.49
2011,IV-A (CALABARZON),ordinary plywood,4'x8',0.75,19.05,897.49
2011,IV-A (CALABARZON),marine plywood,4'x8',0.25,6.35,378.43
2011,IV-A (CALABARZON),marine plywood,4'x8',0.5,12.7,723.95
2011,IV-A (CALABARZON),marine plywood,4'x8',0.75,19.05,1080.34
2011,IV-A (CALABARZON),plyboard,4'x8',0.75,19.05,909.08
2011,IV-B (MIMAROPA),ordinary plywood,4'x8',0.125,3.175,238.69
2011,IV-B (MIMAROPA),ordinary plywood,4'x8',0.1875,4.7625,312.59
2011,IV-B (MIMAROPA),ordinary plywood,4'x8',0.25,6.35,322
2011,IV-B (MIMAROPA),ordinary plywood,4'x8',0.5,12.7,567.5
2011,IV-B (MIMAROPA),ordinary plywood,4'x8',0.75,19.05,1002.51
2011,IV-B (MIMAROPA),marine plywood,4'x8',0.25,6.35,353.17
2011,IV-B (MIMAROPA),marine plywood,4'x8',0.5,12.7,651.67
2011,IV-B (MIMAROPA),marine plywood,4'x8',0.75,19.05,1007.5
2011,IV-B (MIMAROPA),plyboard,4'x8',0.75,19.05,798.33
2011,V (Bicol Region),ordinary plywood,4'x8',0.125,3.175,216.67
2011,V (Bicol Region),ordinary plywood,4'x8',0.1875,4.7625,300
2011,V (Bicol Region),ordinary plywood,4'x8',0.25,6.35,313.33
2011,V (Bicol Region),ordinary plywood,4'x8',0.5,12.7,540
2011,V (Bicol Region),ordinary plywood,4'x8',0.75,19.05,878.33
2011,V (Bicol Region),marine plywood,4'x8',0.25,6.35,345
2011,V (Bicol Region),marine plywood,4'x8',0.5,12.7,748.33
2011,V (Bicol Region),marine plywood,4'x8',0.75,19.05,966.67
2011,V (Bicol Region),plyboard,4'x8',0.75,19.05,975.34
2011,VI (Western Visayas),ordinary plywood,4'x8',0.125,3.175,263.76
2011,VI (Western Visayas),ordinary plywood,4'x8',0.1875,4.7625,302.82
2011,VI (Western Visayas),ordinary plywood,4'x8',0.25,6.35,321.77
2011,VI (Western Visayas),ordinary plywood,4'x8',0.5,12.7,552.98
2011,VI (Western Visayas),ordinary plywood,4'x8',0.75,19.05,898.01
2011,VI (Western Visayas),marine plywood,4'x8',0.25,6.35,387.65
2011,VI (Western Visayas),marine plywood,4'x8',0.5,12.7,659.45
2011,VI (Western Visayas),marine plywood,4'x8',0.75,19.05,1009.55
2011,VI (Western Visayas),plyboard,4'x8',0.75,19.05,-
2011,VII (Central Visayas),ordinary plywood,4'x8',0.125,3.175,209.61
2011,VII (Central Visayas),ordinary plywood,4'x8',0.1875,4.7625,264.58
2011,VII (Central Visayas),ordinary plywood,4'x8',0.25,6.35,296
2011,VII (Central Visayas),ordinary plywood,4'x8',0.5,12.7,506.33
2011,VII (Central Visayas),ordinary plywood,4'x8',0.75,19.05,793.3
2011,VII (Central Visayas),marine plywood,4'x8',0.25,6.35,316.52
2011,VII (Central Visayas),marine plywood,4'x8',0.5,12.7,653.58
2011,VII (Central Visayas),marine plywood,4'x8',0.75,19.05,959.4
2011,VII (Central Visayas),plyboard,4'x8',0.75,19.05,686.37
2011,VIII (Eastern Visayas),ordinary plywood,4'x8',0.125,3.175,254.79
2011,VIII (Eastern Visayas),ordinary plywood,4'x8',0.1875,4.7625,333.96
2011,VIII (Eastern Visayas),ordinary plywood,4'x8',0.25,6.35,333.33
2011,VIII (Eastern Visayas),ordinary plywood,4'x8',0.5,12.7,519.13
2011,VIII (Eastern Visayas),ordinary plywood,4'x8',0.75,19.05,875.21
2011,VIII (Eastern Visayas),marine plywood,4'x8',0.25,6.35,368.75
2011,VIII (Eastern Visayas),marine plywood,4'x8',0.5,12.7,697.08
2011,VIII (Eastern Visayas),marine plywood,4'x8',0.75,19.05,1046.36
2011,VIII (Eastern Visayas),plyboard,4'x8',0.75,19.05,-
2011,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.125,3.175,198.53
2011,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.1875,4.7625,288.33
2011,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.25,6.35,316.83
2011,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.5,12.7,590.25
2011,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.75,19.05,884.62
2011,IX (Zamboanga Peninsula),marine plywood,4'x8',0.25,6.35,354.83
2011,IX (Zamboanga Peninsula),marine plywood,4'x8',0.5,12.7,691.47
2011,IX (Zamboanga Peninsula),marine plywood,4'x8',0.75,19.05,1133.39
2011,IX (Zamboanga Peninsula),plyboard,4'x8',0.75,19.05,946.67
2011,X (Northern Mindanao),ordinary plywood,4'x8',0.125,3.175,178
2011,X (Northern Mindanao),ordinary plywood,4'x8',0.1875,4.7625,214.5
2011,X (Northern Mindanao),ordinary plywood,4'x8',0.25,6.35,235
2011,X (Northern Mindanao),ordinary plywood,4'x8',0.5,12.7,-
2011,X (Northern Mindanao),ordinary plywood,4'x8',0.75,19.05,-
2011,X (Northern Mindanao),marine plywood,4'x8',0.25,6.35,296
2011,X (Northern Mindanao),marine plywood,4'x8',0.5,12.7,562
2011,X (Northern Mindanao),marine plywood,4'x8',0.75,19.05,-
2011,X (Northern Mindanao),plyboard,4'x8',0.75,19.05,627
2011,XI (Davao Region),ordinary plywood,4'x8',0.125,3.175,242.15
2011,XI (Davao Region),ordinary plywood,4'x8',0.1875,4.7625,298.19
2011,XI (Davao Region),ordinary plywood,4'x8',0.25,6.35,327.42
2011,XI (Davao Region),ordinary plywood,4'x8',0.5,12.7,562.81
2011,XI (Davao Region),ordinary plywood,4'x8',0.75,19.05,950
2011,XI (Davao Region),marine plywood,4'x8',0.25,6.35,427.87
2011,XI (Davao Region),marine plywood,4'x8',0.5,12.7,594.37
2011,XI (Davao Region),marine plywood,4'x8',0.75,19.05,933.21
2011,XI (Davao Region),plyboard,4'x8',0.75,19.05,837.46
2011,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.125,3.175,213.25
2011,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.1875,4.7625,300.33
2011,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.25,6.35,-
2011,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.5,12.7,442.5
2011,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.75,19.05,745
2011,XII (SOCCSKSARGEN),marine plywood,4'x8',0.25,6.35,402.5
2011,XII (SOCCSKSARGEN),marine plywood,4'x8',0.5,12.7,638.33
2011,XII (SOCCSKSARGEN),marine plywood,4'x8',0.75,19.05,1157.42
2011,XII (SOCCSKSARGEN),plyboard,4'x8',0.75,19.05,851.25
2011,XIII (Caraga),ordinary plywood,4'x8',0.125,3.175,-
2011,XIII (Caraga),ordinary plywood,4'x8',0.1875,4.7625,294
2011,XIII (Caraga),ordinary plywood,4'x8',0.25,6.35,-
2011,XIII (Caraga),ordinary plywood,4'x8',0.5,12.7,415
2011,XIII (Caraga),ordinary plywood,4'x8',0.75,19.05,730.5
2011,XIII (Caraga),marine plywood,4'x8',0.25,6.35,342.08
2011,XIII (Caraga),marine plywood,4'x8',0.5,12.7,683.28
2011,XIII (Caraga),marine plywood,4'x8',0.75,19.05,869.82
2011,XIII (Caraga),plyboard,4'x8',0.75,19.05,817.4
2010,National,ordinary plywood,4'x8',0.125,3.175,251.45
2010,National,ordinary plywood,4'x8',0.1875,4.7625,316.08
2010,National,ordinary plywood,4'x8',0.25,6.35,390.35
2010,National,ordinary plywood,4'x8',0.5,12.7,593.45
2010,National,ordinary plywood,4'x8',0.75,19.05,880.14
2010,National,marine plywood,4'x8',0.25,6.35,426.73
2010,National,marine plywood,4'x8',0.5,12.7,705.59
2010,National,marine plywood,4'x8',0.75,19.05,1120.97
2010,National,plyboard,4'x8',0.75,19.05,837.68
2010,NCR,ordinary plywood,4'x8',0.125,3.175,420
2010,NCR,ordinary plywood,4'x8',0.1875,4.7625,339.69
2010,NCR,ordinary plywood,4'x8',0.25,6.35,602.14
2010,NCR,ordinary plywood,4'x8',0.5,12.7,-
2010,NCR,ordinary plywood,4'x8',0.75,19.05,891.67
2010,NCR,marine plywood,4'x8',0.25,6.35,658.78
2010,NCR,marine plywood,4'x8',0.5,12.7,-
2010,NCR,marine plywood,4'x8',0.75,19.05,994.33
2010,NCR,plyboard,4'x8',0.75,19.05,870.06
2010,CAR,ordinary plywood,4'x8',0.125,3.175,235.4
2010,CAR,ordinary plywood,4'x8',0.1875,4.7625,296.26
2010,CAR,ordinary plywood,4'x8',0.25,6.35,334.2
2010,CAR,ordinary plywood,4'x8',0.5,12.7,576
2010,CAR,ordinary plywood,4'x8',0.75,19.05,967.4
2010,CAR,marine plywood,4'x8',0.25,6.35,363.9
2010,CAR,marine plywood,4'x8',0.5,12.7,665
2010,CAR,marine plywood,4'x8',0.75,19.05,1094.9
2010,CAR,plyboard,4'x8',0.75,19.05,928.6
2010,I (Ilocos Region),ordinary plywood,4'x8',0.125,3.175,220.5
2010,I (Ilocos Region),ordinary plywood,4'x8',0.1875,4.7625,318.71
2010,I (Ilocos Region),ordinary plywood,4'x8',0.25,6.35,335.97
2010,I (Ilocos Region),ordinary plywood,4'x8',0.5,12.7,607.5
2010,I (Ilocos Region),ordinary plywood,4'x8',0.75,19.05,972.07
2010,I (Ilocos Region),marine plywood,4'x8',0.25,6.35,429.81
2010,I (Ilocos Region),marine plywood,4'x8',0.5,12.7,684.47
2010,I (Ilocos Region),marine plywood,4'x8',0.75,19.05,1094.9
2010,I (Ilocos Region),plyboard,4'x8',0.75,19.05,803.88
2010,II (Cagayan Valley),ordinary plywood,4'x8',0.125,3.175,326.19
2010,II (Cagayan Valley),ordinary plywood,4'x8',0.1875,4.7625,370.55
2010,II (Cagayan Valley),ordinary plywood,4'x8',0.25,6.35,388.56
2010,II (Cagayan Valley),ordinary plywood,4'x8',0.5,12.7,770.85
2010,II (Cagayan Valley),ordinary plywood,4'x8',0.75,19.05,1105.36
2010,II (Cagayan Valley),marine plywood,4'x8',0.25,6.35,434.81
2010,II (Cagayan Valley),marine plywood,4'x8',0.5,12.7,773.15
2010,II (Cagayan Valley),marine plywood,4'x8',0.75,19.05,1228.32
2010,II (Cagayan Valley),plyboard,4'x8',0.75,19.05,882.44
2010,III (Central Luzon),ordinary plywood,4'x8',0.125,3.175,215.61
2010,III (Central Luzon),ordinary plywood,4'x8',0.1875,4.7625,403.96
2010,III (Central Luzon),ordinary plywood,4'x8',0.25,6.35,306.25
2010,III (Central Luzon),ordinary plywood,4'x8',0.5,12.7,595.04
2010,III (Central Luzon),ordinary plywood,4'x8',0.75,19.05,889.36
2010,III (Central Luzon),marine plywood,4'x8',0.25,6.35,353.53
2010,III (Central Luzon),marine plywood,4'x8',0.5,12.7,634.67
2010,III (Central Luzon),marine plywood,4'x8',0.75,19.05,946.07
2010,III (Central Luzon),plyboard,4'x8',0.75,19.05,793.65
2010,IV-A (CALABARZON),ordinary plywood,4'x8',0.125,3.175,227.71
2010,IV-A (CALABARZON),ordinary plywood,4'x8',0.1875,4.7625,307.96
2010,IV-A (CALABARZON),ordinary plywood,4'x8',0.25,6.35,360
2010,IV-A (CALABARZON),ordinary plywood,4'x8',0.5,12.7,511
2010,IV-A (CALABARZON),ordinary plywood,4'x8',0.75,19.05,797.22
2010,IV-A (CALABARZON),marine plywood,4'x8',0.25,6.35,409.71
2010,IV-A (CALABARZON),marine plywood,4'x8',0.5,12.7,738.49
2010,IV-A (CALABARZON),marine plywood,4'x8',0.75,19.05,1196.76
2010,IV-A (CALABARZON),plyboard,4'x8',0.75,19.05,909.08
2010,IV-B (MIMAROPA),ordinary plywood,4'x8',0.125,3.175,231.29
2010,IV-B (MIMAROPA),ordinary plywood,4'x8',0.1875,4.7625,307.96
2010,IV-B (MIMAROPA),ordinary plywood,4'x8',0.25,6.35,360
2010,IV-B (MIMAROPA),ordinary plywood,4'x8',0.5,12.7,511
2010,IV-B (MIMAROPA),ordinary plywood,4'x8',0.75,19.05,797.22
2010,IV-B (MIMAROPA),marine plywood,4'x8',0.25,6.35,325.4
2010,IV-B (MIMAROPA),marine plywood,4'x8',0.5,12.7,622.08
2010,IV-B (MIMAROPA),marine plywood,4'x8',0.75,19.05,997.78
2010,IV-B (MIMAROPA),plyboard,4'x8',0.75,19.05,798.33
2010,V (Bicol Region),ordinary plywood,4'x8',0.125,3.175,250
2010,V (Bicol Region),ordinary plywood,4'x8',0.1875,4.7625,306.67
2010,V (Bicol Region),ordinary plywood,4'x8',0.25,6.35,482.23
2010,V (Bicol Region),ordinary plywood,4'x8',0.5,12.7,695
2010,V (Bicol Region),ordinary plywood,4'x8',0.75,19.05,1160
2010,V (Bicol Region),marine plywood,4'x8',0.25,6.35,390.83
2010,V (Bicol Region),marine plywood,4'x8',0.5,12.7,836.61
2010,V (Bicol Region),marine plywood,4'x8',0.75,19.05,-
2010,V (Bicol Region),plyboard,4'x8',0.75,19.05,975.34
2010,VI (Western Visayas),ordinary plywood,4'x8',0.125,3.175,216.43
2010,VI (Western Visayas),ordinary plywood,4'x8',0.1875,4.7625,302.25
2010,VI (Western Visayas),ordinary plywood,4'x8',0.25,6.35,329.11
2010,VI (Western Visayas),ordinary plywood,4'x8',0.5,12.7,557.86
2010,VI (Western Visayas),ordinary plywood,4'x8',0.75,19.05,882.13
2010,VI (Western Visayas),marine plywood,4'x8',0.25,6.35,347.46
2010,VI (Western Visayas),marine plywood,4'x8',0.5,12.7,674.31
2010,VI (Western Visayas),marine plywood,4'x8',0.75,19.05,957.48
2010,VI (Western Visayas),plyboard,4'x8',0.75,19.05,-
2010,VII (Central Visayas),ordinary plywood,4'x8',0.125,3.175,209.61
2010,VII (Central Visayas),ordinary plywood,4'x8',0.1875,4.7625,264.58
2010,VII (Central Visayas),ordinary plywood,4'x8',0.25,6.35,296
2010,VII (Central Visayas),ordinary plywood,4'x8',0.5,12.7,506.33
2010,VII (Central Visayas),ordinary plywood,4'x8',0.75,19.05,793.3
2010,VII (Central Visayas),marine plywood,4'x8',0.25,6.35,316.52
2010,VII (Central Visayas),marine plywood,4'x8',0.5,12.7,653.58
2010,VII (Central Visayas),marine plywood,4'x8',0.75,19.05,959.4
2010,VII (Central Visayas),plyboard,4'x8',0.75,19.05,686.37
2010,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.125,3.175,229.34
2010,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.1875,4.7625,321.67
2010,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.25,6.35,423.07
2010,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.5,12.7,614.33
2010,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.75,19.05,1024.47
2010,IX (Zamboanga Peninsula),marine plywood,4'x8',0.25,6.35,385
2010,IX (Zamboanga Peninsula),marine plywood,4'x8',0.5,12.7,720.74
2010,IX (Zamboanga Peninsula),marine plywood,4'x8',0.75,19.05,1188.34
2010,IX (Zamboanga Peninsula),plyboard,4'x8',0.75,19.05,946.67
2010,X (Northern Mindanao),ordinary plywood,4'x8',0.125,3.175,178
2010,X (Northern Mindanao),ordinary plywood,4'x8',0.1875,4.7625,300.3
2010,X (Northern Mindanao),ordinary plywood,4'x8',0.25,6.35,235
2010,X (Northern Mindanao),ordinary plywood,4'x8',0.5,12.7,-
2010,X (Northern Mindanao),ordinary plywood,4'x8',0.75,19.05,-
2010,X (Northern Mindanao),marine plywood,4'x8',0.25,6.35,296
2010,X (Northern Mindanao),marine plywood,4'x8',0.5,12.7,562
2010,X (Northern Mindanao),marine plywood,4'x8',0.75,19.05,-
2010,X (Northern Mindanao),plyboard,4'x8',0.75,19.05,627
2010,XI (Davao Region),ordinary plywood,4'x8',0.125,3.175,252.14
2010,XI (Davao Region),ordinary plywood,4'x8',0.1875,4.7625,268.5
2010,XI (Davao Region),ordinary plywood,4'x8',0.25,6.35,565.98
2010,XI (Davao Region),ordinary plywood,4'x8',0.5,12.7,612.78
2010,XI (Davao Region),ordinary plywood,4'x8',0.75,19.05,594.17
2010,XI (Davao Region),marine plywood,4'x8',0.25,6.35,515.82
2010,XI (Davao Region),marine plywood,4'x8',0.5,12.7,635.6
2010,XI (Davao Region),marine plywood,4'x8',0.75,19.05,1123.04
2010,XI (Davao Region),plyboard,4'x8',0.75,19.05,837.46
2010,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.125,3.175,322.57
2010,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.1875,4.7625,345.71
2010,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.25,6.35,546.67
2010,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.5,12.7,716.67
2010,XII (SOCCSKSARGEN),ordinary plywood,4'x8',0.75,19.05,-
2010,XII (SOCCSKSARGEN),marine plywood,4'x8',0.25,6.35,687.36
2010,XII (SOCCSKSARGEN),marine plywood,4'x8',0.5,12.7,1091.29
2010,XII (SOCCSKSARGEN),marine plywood,4'x8',0.75,19.05,1889.71
2010,XII (SOCCSKSARGEN),plyboard,4'x8',0.75,19.05,851.25
2010,XIII (Caraga),ordinary plywood,4'x8',0.125,3.175,237
2010,XIII (Caraga),ordinary plywood,4'x8',0.1875,4.7625,286.5
2010,XIII (Caraga),ordinary plywood,4'x8',0.25,6.35,290
2010,XIII (Caraga),ordinary plywood,4'x8',0.5,12.7,440.5
2010,XIII (Caraga),ordinary plywood,4'x8',0.75,19.05,567.5
2010,XIII (Caraga),marine plywood,4'x8',0.25,6.35,486
2010,XIII (Caraga),marine plywood,4'x8',0.5,12.7,586.25
2010,XIII (Caraga),marine plywood,4'x8',0.75,19.05,901.6
2010,XIII (Caraga),plyboard,4'x8',0.75,19.05,817.4
2009,National,ordinary plywood,4'x8',0.125,3.175,212.58
2009,National,ordinary plywood,4'x8',0.1875,4.7625,266.14
2009,National,ordinary plywood,4'x8',0.25,6.35,304
2009,National,ordinary plywood,4'x8',0.5,12.7,501.06
2009,National,ordinary plywood,4'x8',0.75,19.05,784.33
2009,National,marine plywood,4'x8',0.25,6.35,339.37
2009,National,marine plywood,4'x8',0.5,12.7,631.13
2009,National,marine plywood,4'x8',0.75,19.05,992.55
2009,National,plyboard,4'x8',0.75,19.05,740.19
2009,CAR,ordinary plywood,4'x8',0.125,3.175,220.35
2009,CAR,ordinary plywood,4'x8',0.1875,4.7625,267.88
2009,CAR,ordinary plywood,4'x8',0.25,6.35,303.25
2009,CAR,ordinary plywood,4'x8',0.5,12.7,525.03
2009,CAR,ordinary plywood,4'x8',0.75,19.05,817.77
2009,CAR,marine plywood,4'x8',0.25,6.35,337.32
2009,CAR,marine plywood,4'x8',0.5,12.7,618.74
2009,CAR,marine plywood,4'x8',0.75,19.05,964.08
2009,CAR,plyboard,4'x8',0.75,19.05,823.76
2009,I (Ilocos Region),ordinary plywood,4'x8',0.125,3.175,199.33
2009,I (Ilocos Region),ordinary plywood,4'x8',0.1875,4.7625,262.42
2009,I (Ilocos Region),ordinary plywood,4'x8',0.25,6.35,302.69
2009,I (Ilocos Region),ordinary plywood,4'x8',0.5,12.7,526.2
2009,I (Ilocos Region),ordinary plywood,4'x8',0.75,19.05,829.49
2009,I (Ilocos Region),marine plywood,4'x8',0.25,6.35,317.98
2009,I (Ilocos Region),marine plywood,4'x8',0.5,12.7,610.49
2009,I (Ilocos Region),marine plywood,4'x8',0.75,19.05,961.98
2009,I (Ilocos Region),plyboard,4'x8',0.75,19.05,865.51
2009,II (Cagayan Valley),ordinary plywood,4'x8',0.125,3.175,212.57
2009,II (Cagayan Valley),ordinary plywood,4'x8',0.1875,4.7625,269.4
2009,II (Cagayan Valley),ordinary plywood,4'x8',0.25,6.35,296.86
2009,II (Cagayan Valley),ordinary plywood,4'x8',0.5,12.7,520.28
2009,II (Cagayan Valley),ordinary plywood,4'x8',0.75,19.05,831.49
2009,II (Cagayan Valley),marine plywood,4'x8',0.25,6.35,350.78
2009,II (Cagayan Valley),marine plywood,4'x8',0.5,12.7,654.49
2009,II (Cagayan Valley),marine plywood,4'x8',0.75,19.05,977.84
2009,II (Cagayan Valley),plyboard,4'x8',0.75,19.05,747.52
2009,III (Central Luzon),ordinary plywood,4'x8',0.125,3.175,269.74
2009,III (Central Luzon),ordinary plywood,4'x8',0.1875,4.7625,339.12
2009,III (Central Luzon),ordinary plywood,4'x8',0.25,6.35,346.51
2009,III (Central Luzon),ordinary plywood,4'x8',0.5,12.7,495.96
2009,III (Central Luzon),ordinary plywood,4'x8',0.75,19.05,774.54
2009,III (Central Luzon),marine plywood,4'x8',0.25,6.35,402.42
2009,III (Central Luzon),marine plywood,4'x8',0.5,12.7,596.41
2009,III (Central Luzon),marine plywood,4'x8',0.75,19.05,1160.26
2009,III (Central Luzon),plyboard,4'x8',0.75,19.05,743.1
2009,IV-A (CALABARZON),ordinary plywood,4'x8',0.125,3.175,205.6
2009,IV-A (CALABARZON),ordinary plywood,4'x8',0.1875,4.7625,258.86
2009,IV-A (CALABARZON),ordinary plywood,4'x8',0.25,6.35,331.22
2009,IV-A (CALABARZON),ordinary plywood,4'x8',0.5,12.7,498.16
2009,IV-A (CALABARZON),ordinary plywood,4'x8',0.75,19.05,765.83
2009,IV-A (CALABARZON),marine plywood,4'x8',0.25,6.35,357.55
2009,IV-A (CALABARZON),marine plywood,4'x8',0.5,12.7,599.64
2009,IV-A (CALABARZON),marine plywood,4'x8',0.75,19.05,938.06
2009,IV-A (CALABARZON),plyboard,4'x8',0.75,19.05,743.62
2009,IV-B (MIMAROPA),ordinary plywood,4'x8',0.125,3.175,229.19
2009,IV-B (MIMAROPA),ordinary plywood,4'x8',0.1875,4.7625,282.29
2009,IV-B (MIMAROPA),ordinary plywood,4'x8',0.25,6.35,365
2009,IV-B (MIMAROPA),ordinary plywood,4'x8',0.5,12.7,508.17
2009,IV-B (MIMAROPA),ordinary plywood,4'x8',0.75,19.05,865.83
2009,IV-B (MIMAROPA),marine plywood,4'x8',0.25,6.35,362.58
2009,IV-B (MIMAROPA),marine plywood,4'x8',0.5,12.7,607.98
2009,IV-B (MIMAROPA),marine plywood,4'x8',0.75,19.05,969.79
2009,IV-B (MIMAROPA),plyboard,4'x8',0.75,19.05,774.83
2009,V (Bicol Region),ordinary plywood,4'x8',0.125,3.175,-
2009,V (Bicol Region),ordinary plywood,4'x8',0.1875,4.7625,-
2009,V (Bicol Region),ordinary plywood,4'x8',0.25,6.35,-
2009,V (Bicol Region),ordinary plywood,4'x8',0.5,12.7,-
2009,V (Bicol Region),ordinary plywood,4'x8',0.75,19.05,-
2009,V (Bicol Region),marine plywood,4'x8',0.25,6.35,345.42
2009,V (Bicol Region),marine plywood,4'x8',0.5,12.7,720.28
2009,V (Bicol Region),marine plywood,4'x8',0.75,19.05,1083.2
2009,V (Bicol Region),plyboard,4'x8',0.75,19.05,779.17
2009,VI (Western Visayas),ordinary plywood,4'x8',0.125,3.175,204.14
2009,VI (Western Visayas),ordinary plywood,4'x8',0.1875,4.7625,272.89
2009,VI (Western Visayas),ordinary plywood,4'x8',0.25,6.35,297.77
2009,VI (Western Visayas),ordinary plywood,4'x8',0.5,12.7,521.48
2009,VI (Western Visayas),ordinary plywood,4'x8',0.75,19.05,774.58
2009,VI (Western Visayas),marine plywood,4'x8',0.25,6.35,329.7
2009,VI (Western Visayas),marine plywood,4'x8',0.5,12.7,635.62
2009,VI (Western Visayas),marine plywood,4'x8',0.75,19.05,921.22
2009,VI (Western Visayas),plyboard,4'x8',0.75,19.05,703.04
2009,VII (Central Visayas),ordinary plywood,4'x8',0.125,3.175,209.61
2009,VII (Central Visayas),ordinary plywood,4'x8',0.1875,4.7625,264.58
2009,VII (Central Visayas),ordinary plywood,4'x8',0.25,6.35,296
2009,VII (Central Visayas),ordinary plywood,4'x8',0.5,12.7,506.33
2009,VII (Central Visayas),ordinary plywood,4'x8',0.75,19.05,793.3
2009,VII (Central Visayas),marine plywood,4'x8',0.25,6.35,316.52
2009,VII (Central Visayas),marine plywood,4'x8',0.5,12.7,653.58
2009,VII (Central Visayas),marine plywood,4'x8',0.75,19.05,959.4
2009,VII (Central Visayas),plyboard,4'x8',0.75,19.05,686.37
2009,VIII (Eastern Visayas),ordinary plywood,4'x8',0.125,3.175,250
2009,VIII (Eastern Visayas),ordinary plywood,4'x8',0.1875,4.7625,270
2009,VIII (Eastern Visayas),ordinary plywood,4'x8',0.25,6.35,310
2009,VIII (Eastern Visayas),ordinary plywood,4'x8',0.5,12.7,545
2009,VIII (Eastern Visayas),ordinary plywood,4'x8',0.75,19.05,887
2009,VIII (Eastern Visayas),marine plywood,4'x8',0.25,6.35,340
2009,VIII (Eastern Visayas),marine plywood,4'x8',0.5,12.7,610
2009,VIII (Eastern Visayas),marine plywood,4'x8',0.75,19.05,995
2009,VIII (Eastern Visayas),plyboard,4'x8',0.75,19.05,845
2009,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.125,3.175,208.2
2009,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.1875,4.7625,268.5
2009,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.25,6.35,296.7
2009,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.5,12.7,534.83
2009,IX (Zamboanga Peninsula),ordinary plywood,4'x8',0.75,19.05,816.25
2009,IX (Zamboanga Peninsula),marine plywood,4'x8',0.25,6.35,351.11
2009,IX (Zamboanga Peninsula),marine plywood,4'x8',0.5,12.7,640.08
2009,IX (Zamboanga Peninsula),marine plywood,4'x8',0.75,19.05,1032.5
2009,IX (Zamboanga Peninsula),plyboard,4'x8',0.75,19.05,748.08
2009,X (Northern Mindanao),ordinary plywood,4'x8',0.125,3.175,169.25
2009,X (Northern Mindanao),ordinary plywood,4'x8',0.1875,4.7625,211.79
2009,X (Northern Mindanao),ordinary plywood,4'x8',0.25,6.35,242.9
2009,X (Northern Mindanao),ordinary plywood,4'x8',0.5,12.7,470
2009,X (Northern Mindanao),ordinary plywood,4'x8',0.75,19.05,740
2009,X (Northern Mindanao),marine plywood,4'x8',0.25,6.35,295.5
2009,X (Northern Mindanao),marine plywood,4'x8',0.5,12.7,562
2009,X (Northern Mindanao),marine plywood,4'x8',0.75,19.05,-
2009,X (Northern Mindanao),plyboard,4'x8',0.75,19.05,642.83
2009,XI (Davao Region),ordinary plywood,4'x8',0.125,3.175,202.62
2009,XI (Davao Region),ordinary plywood,4'x8',0.1875,4.7625,255.57
2009,XI (Davao Region),ordinary plywood,4'x8',0.25,6.35,259.1
2009,XI (Davao Region),ordinary plywood,4'x8',0.5,12.7,445.83
