region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
IV-A (CALABARZON)),Alabat,G. Aviation,0,0,0,0,0,0,0,0,0,0,2,0,2
III (Central Luzon),Baler,Seair,0,0,0,0,0,0,0,6,0,0,0,0,6
IV-B (MIMAROPA),Baler,G. Aviation,0,20,2,0,4,0,6,0,0,0,0,0,32
IV-B (MIMAROPA),Busuanga,Asian Spirit,0,76,80,92,102,68,40,30,22,56,56,62,684
IV-B (MIMAROPA),Busuanga,Seair,0,188,200,198,214,154,116,130,120,188,192,204,1904
IV-B (MIMAROPA),Busuanga,G. Aviation,0,130,172,160,172,96,220,194,144,258,188,174,1908
IV-B (MIMAROPA),Busuanga,Military,0,0,0,10,18,0,0,0,0,0,0,2,30
IV-B (MIMAROPA),Calapan,Seair,2,0,0,0,0,0,0,0,0,0,0,0,2
IV-B (MIMAROPA),Calapan,G. Aviation,36,0,38,0,0,0,0,0,0,0,0,0,74
IV-B (MIMAROPA),Calapan,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Cuyo,Seair,0,0,10,0,8,14,10,8,0,0,10,14,74
IV-B (MIMAROPA),Cuyo,Paco,-,-,-,-,-,-,-,-,-,-,-,-,0
IV-B (MIMAROPA),Cuyo,Chemtrad,0,0,0,0,0,0,4,0,0,0,0,0,4
IV-B (MIMAROPA),Cuyo,G. Aviation,0,0,30,70,30,56,110,0,0,0,78,72,446
IV-B (MIMAROPA),Cuyo,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-A (CALABARZON)),Jomalig,G. Aviation,0,42,0,14,0,8,0,8,0,0,14,0,86
IV-B (MIMAROPA),Lubang,Seair,0,0,0,0,0,0,0,6,0,0,0,0,6
IV-B (MIMAROPA),Lubang,G. Aviation,78,64,58,52,82,90,100,214,102,0,130,38,1008
IV-B (MIMAROPA),Mamburao,G. Aviation,26,30,10,14,6,4,14,0,28,6,4,0,142
IV-B (MIMAROPA),Mamburao,Military,0,0,0,0,0,0,0,32,0,0,0,0,32
IV-B (MIMAROPA),Marinduque,Asian Spirit,0,0,0,0,0,28,24,0,0,0,0,0,52
IV-B (MIMAROPA),Marinduque,G. Aviation,0,0,0,0,0,0,22,0,0,0,0,0,22
IV-B (MIMAROPA),Puerto Princesa (International),Layang-Layang,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Puerto Princesa (Domestic),PAL,64,56,62,60,64,60,62,62,60,62,60,62,734
IV-B (MIMAROPA),Puerto Princesa (Domestic),Air Philippines,62,56,60,60,62,56,56,62,60,62,78,98,772
IV-B (MIMAROPA),Puerto Princesa (Domestic),Cebu Pacific,92,86,92,94,98,78,80,24,0,0,0,44,688
IV-B (MIMAROPA),Puerto Princesa (Domestic),Asian Spirit,-,52,44,44,42,32,28,26,22,24,28,32,374
IV-B (MIMAROPA),Puerto Princesa (Domestic),Seair,42,38,44,44,42,32,28,26,22,24,28,32,402
IV-B (MIMAROPA),Puerto Princesa (Domestic),G. Aviation,86,58,92,110,110,30,84,40,82,82,88,84,946
IV-B (MIMAROPA),Romblon,Seair,0,0,0,2,0,0,0,0,0,0,0,0,2
IV-B (MIMAROPA),Romblon,InterIsland,0,0,0,26,36,0,0,0,0,0,0,0,62
IV-B (MIMAROPA),Romblon,G. Aviation,2,10,6,0,0,12,6,0,0,2,2,0,40
IV-B (MIMAROPA),Romblon,Military,0,0,0,6,0,0,0,0,0,0,0,2,8
IV-B (MIMAROPA),San Jose,Asian Spirit,60,56,60,60,0,60,62,62,60,62,60,60,662
IV-B (MIMAROPA),San Jose,Air Philippines,2,0,0,0,0,0,0,0,0,0,0,0,2
IV-B (MIMAROPA),San Jose,Seair,0,6,60,60,0,60,62,66,60,62,60,62,558
IV-B (MIMAROPA),San Jose,G. Aviation,74,70,84,90,0,18,24,20,32,32,32,56,532
IV-B (MIMAROPA),San Jose,Military,34,80,12,24,0,2,8,100,42,26,12,30,370
IV-B (MIMAROPA),Pinamalayan,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Pinamalayan,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Wasig,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
V (Bicol Region),Bulan,G. Aviation,0,0,0,0,0,4,0,0,0,0,0,0,4
V (Bicol Region),Daet,G. Aviation,12,0,0,0,0,0,0,6,6,0,0,0,24
V (Bicol Region),Legaspi,PAL,64,56,62,60,60,60,60,62,58,62,60,56,720
V (Bicol Region),Legaspi,G. Aviation,20,24,20,30,40,24,8,26,24,14,20,20,270
V (Bicol Region),Legaspi,Military,4,10,2,110,6,128,10,46,0,0,2,0,318
V (Bicol Region),Masbate,Asian Spirit,60,56,58,60,66,62,60,62,58,60,62,52,716
V (Bicol Region),Masbate,G. Aviation,46,2,12,6,16,16,6,0,6,0,6,12,128
V (Bicol Region),Masbate,Military,0,2,12,2,4,6,12,0,4,0,4,0,46
V (Bicol Region),Naga,PAL,36,32,0,36,34,34,38,36,36,0,40,44,366
V (Bicol Region),Naga,G. Aviation,0,16,0,32,46,0,0,0,0,0,8,6,108
V (Bicol Region),Naga,Military,0,0,0,48,16,0,0,0,0,0,0,0,64
V (Bicol Region),Sorsogon,G. Aviation,0,0,0,0,0,4,0,6,0,0,0,0,10
V (Bicol Region),Virac,Asian Spirit,58,50,48,58,62,52,46,44,40,42,30,32,562
V (Bicol Region),Virac,G. Aviation,0,8,4,2,0,0,0,2,4,58,4,0,82
V (Bicol Region),Virac,Military,0,0,0,0,4,0,0,0,0,0,0,0,4
VI (Western Visayas),Antique,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
VI (Western Visayas),Bacolod,PAL,214,168,184,202,202,202,202,186,182,186,182,190,2300
VI (Western Visayas),Bacolod,Cebu Pacific,260,224,240,186,186,186,186,186,170,182,176,182,2364
VI (Western Visayas),Bacolod,Air Philippines,128,112,120,120,120,120,120,124,120,124,120,122,1450
VI (Western Visayas),Bacolod,G. Aviation,0,80,138,198,210,94,92,0,0,0,0,68,880
VI (Western Visayas),Bacolod,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
VI (Western Visayas),Caticlan,Asian Spirit,732,730,768,948,970,662,684,788,562,854,832,808,9338
VI (Western Visayas),Caticlan,Seair,684,510,772,824,782,412,374,520,396,836,876,902,7888
VI (Western Visayas),Caticlan,InterIsland,0,50,52,80,96,72,80,54,2,62,68,72,688
VI (Western Visayas),Caticlan,Corp. Air,82,76,80,192,106,94,126,104,56,118,110,114,1258
VI (Western Visayas),Caticlan,G. Aviation,134,92,144,202,62,74,50,72,34,46,86,98,1094
VI (Western Visayas),Iloilo,PAL,246,192,186,240,244,210,186,184,180,188,182,214,2452
VI (Western Visayas),Iloilo,Cebu Pacific,316,224,240,240,250,228,236,244,236,246,234,244,2938
VI (Western Visayas),Iloilo,Air Philippines,242,224,238,232,246,230,234,240,226,240,238,244,2834
VI (Western Visayas),Iloilo,Aboitiz,0,0,0,0,0,0,0,0,0,0,0,0,0
VI (Western Visayas),Iloilo,G. Aviation,82,76,94,72,72,50,48,36,54,42,20,34,680
VI (Western Visayas),Iloilo,Military,6,14,16,14,6,18,2,4,2,4,4,4,94
VI (Western Visayas),Kalibo,PAL,186,116,132,180,176,140,108,96,84,106,92,112,1528
VI (Western Visayas),Kalibo,Cebu Pacific,126,130,134,142,120,58,58,62,30,38,34,82,1014
VI (Western Visayas),Kalibo,Seair,0,0,0,0,0,0,0,4,2,4,4,0,14
VI (Western Visayas),Kalibo,G. Aviation,34,20,40,18,26,26,26,22,4,12,10,28,266
VI (Western Visayas),Kalibo,InterIsland,-,-,-,-,-,-,-,-,-,-,-,-,0
VI (Western Visayas),Kalibo,Military,48,52,0,68,30,20,14,16,4,12,16,46,326
VI (Western Visayas),Roxas,PAL,62,56,58,0,60,54,44,44,42,52,46,56,574
VI (Western Visayas),Roxas,Cebu Pacific,62,56,56,0,62,46,38,34,34,32,34,56,510
VI (Western Visayas),Roxas,G. Aviation,38,22,26,0,20,16,20,24,8,10,6,4,194
VI (Western Visayas),Roxas,Military,0,2,2,0,0,0,0,0,0,2,0,8,14
VII (Central Visayas),Dumaguete,Cebu Pacific,98,82,72,60,64,60,62,62,60,62,60,60,802
VII (Central Visayas),Dumaguete,Air Philippines,90,82,90,100,106,102,90,88,86,94,94,98,1120
VII (Central Visayas),Dumaguete,G. Aviation,68,78,150,116,106,72,98,94,134,146,246,162,1470
VII (Central Visayas),Dumaguete,Military,6,2,34,8,0,0,2,16,10,14,4,2,98
VII (Central Visayas),Mactan,International,356,350,360,346,358,346,380,422,-,-,-,-,2918
VII (Central Visayas),Mactan,Domestic,1944,1814,1969,1966,1958,1828,1887,1854,-,-,-,-,15220
VII (Central Visayas),Mactan,G. Aviation,1658,1376,1698,1462,2106,1464,1143,1533,-,-,-,-,12440
VII (Central Visayas),Mactan,Military,622,572,324,350,774,748,604,574,-,-,-,-,4568
VII (Central Visayas),Siquijor,G. Aviation,10,0,0,14,0,0,0,0,0,0,0,0,24
VII (Central Visayas),Tagbilaran,PAL,108,90,90,90,80,86,90,84,78,84,82,90,1052
VII (Central Visayas),Tagbilaran,Cebu Pacific,60,56,94,118,124,98,82,64,60,62,78,116,1012
VII (Central Visayas),Tagbilaran,Asian Spirit,0,0,198,0,0,0,0,0,0,0,0,0,198
VII (Central Visayas),Tagbilaran,G. Aviation,104,140,22,108,128,72,62,84,108,126,126,62,1142
VII (Central Visayas),Tagbilaran,Military,14,18,0,8,12,2,12,4,2,0,4,0,76
VII (Central Visayas),Ubay,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
VIII (Eastern Visayas),Biliran,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
VIII (Eastern Visayas),Borongan,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
