region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,56,56,-,60,58,52,14,10,34,34,36,100,510
CAR,Baguio,Corp. Air,0,0,0,0,0,0,0,0,0,0,0,0,0
CAR,Baguio,G. Aviation,96,58,76,78,46,36,16,18,42,58,44,102,670
CAR,Baguio,Military,106,78,110,50,14,16,24,4,10,28,10,66,516
I (Ilocos Norte),Laoag (International),Far East Trans,30,26,26,26,26,26,26,26,26,32,24,28,322
I (Ilocos Norte),Laoag (International),China S. Air,18,18,14,12,18,18,18,16,18,16,16,22,204
I (Ilocos Norte),Laoag (International),TransGlobal Airways,0,0,0,34,0,0,0,0,0,68,88,92,282
I (Ilocos Norte),Laoag (International),C.R. Airways,68,46,54,50,46,44,40,16,0,4,0,0,368
I (Ilocos Norte),Laoag (International),PEAC,70,56,86,84,64,68,22,2,0,0,0,0,452
I (Ilocos Norte),Laoag (International),Mandarin Air,0,0,0,0,0,0,0,0,0,8,16,20,44
I (Ilocos Norte),Laoag (International),HongKong Express,0,0,0,8,0,0,26,30,22,22,18,16,142
I (Ilocos Norte),Laoag (Domestic),PAL,38,14,0,0,0,0,26,36,32,36,34,36,252
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,0,2,0,0,0,20,24,28,24,26,26,24,174
I (Ilocos Norte),Laoag (Domestic),Asian Spirit,0,10,36,34,36,36,12,0,0,0,0,0,164
I (Ilocos Norte),Laoag (Domestic),Paco,16,14,14,52,26,10,26,12,6,14,0,18,208
I (Ilocos Norte),Laoag (Domestic),Chemtrad,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Norte),Laoag (Domestic),G. Aviation,12,18,18,116,62,16,18,28,18,68,28,40,442
I (Ilocos Norte),Laoag (Domestic),Military,6,14,20,22,12,8,10,6,2,0,0,4,104
I (Ilocos Norte),Lingayen,G. Aviation,40,30,38,32,60,86,34,38,0,38,76,128,600
I (Ilocos Norte),Rosales,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Norte),San Fernando,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Norte),Vigan,Asian Spirit,0,0,0,0,0,38,18,0,0,0,0,0,56
I (Ilocos Norte),Vigan,Chemtrad,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Norte),Vigan,G. Aviation,46,44,40,60,0,36,22,26,34,48,44,80,480
I (Ilocos Norte),Vigan,Military,0,52,0,0,0,0,0,0,18,0,0,0,70
