region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,60,60,-,60,52,38,26,16,18,18,28,32,408
CAR,Baguio,G. Aviation,48,114,92,136,36,48,30,32,26,54,68,108,792
CAR,Baguio,Military,12,52,62,48,16,6,4,4,18,18,8,36,284
I (Ilocos Norte),Laoag (International),Cebu Pacific,0,0,0,0,26,0,0,0,0,0,0,0,26
I (Ilocos Norte),Laoag (International),Far East Trans,26,26,18,16,18,18,18,18,16,18,22,26,240
I (Ilocos Norte),Laoag (International),China S. Air,16,18,18,14,16,18,26,28,14,18,18,18,222
I (Ilocos Norte),Laoag (International),TransGlobal Airways,36,0,0,0,0,0,0,0,0,0,0,0,36
I (Ilocos Norte),Laoag (International),C.R. Airways,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Norte),Laoag (International),Mandarin Air,12,0,0,0,0,0,0,0,0,0,0,0,12
I (Ilocos Norte),Laoag (International),HongKong Express,6,0,0,0,0,0,0,0,0,0,0,0,6
I (Ilocos Norte),Laoag (Domestic),PAL,34,32,38,48,50,52,52,54,60,62,62,62,606
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,26,24,26,26,0,26,26,24,26,28,20,26,278
I (Ilocos Norte),Laoag (Domestic),Paco,36,18,32,68,42,8,16,0,0,0,0,0,220
I (Ilocos Norte),Laoag (Domestic),G. Aviation,36,40,152,60,50,56,30,26,42,38,76,72,678
I (Ilocos Norte),Laoag (Domestic),Military,2,28,8,2,4,12,0,2,0,0,4,0,62
I (Ilocos Norte),Lingayen,G. Aviation,114,90,280,222,270,398,246,112,224,340,242,516,3054
I (Ilocos Norte),Rosales,G. Aviation,0,0,0,8,0,0,0,0,0,0,0,0,8
I (Ilocos Norte),San Fernando,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
I (Ilocos Norte),Vigan,Asian Spirit,0,0,114,0,22,0,22,0,12,4,22,0,196
I (Ilocos Norte),Vigan,G. Aviation,90,56,22,0,196,232,104,66,132,542,1198,2084,4722
I (Ilocos Norte),Vigan,Military,0,0,2,0,0,0,0,0,0,0,0,0,2
II (Cagayan Valley),Bagabag,G. Aviation,80,76,62,100,114,48,26,40,60,28,26,0,660
