particulars_1,particulars_2,particulars_3,balance,general_fund
"Add: Cash Balance Beginning January 1, 2013","Add: Cash Balance Beginning January 1, 2014","Add: Cash Balance Beginning January 1, 2015",-,46185772.1
"Cash Balance Endig June 30, 2013","Cash Balance Endig June 30, 2014","Cash Balance Endig June 30, 2015",-,46306887.14
Cash Flow from Operating Activities,Cash Inflows,Cash Adjustment,2031610.46,-
Cash Flow from Operating Activities,Cash Inflows,Collections,8182971.79,-
Cash Flow from Operating Activities,Cash Inflows,Total Cash Inflows,-,10214582.25
Cash Flow from Operating Activities,Cash Outflows,Cash Adjustments,2001750,-
Cash Flow from Operating Activities,Cash Outflows,Disbursement,5433852.13,-
Cash Flow from Operating Activities,Cash Outflows,Liquidation of Cash Advance,4127794,-
Cash Flow from Operating Activities,Cash Outflows,Total Cash Outflows,-,11563396.13
Cash Provided by Operating Activities,Cash Provided by Operating Activities,Cash Provided by Operating Activities,-,1348813.88
Cash Provuded by Investment Activities,Cash Provuded by Investment Activities,Cash Provuded by Investment Activities,-,0
Cash Provided by Financing Activities,Cash Provided by Financing Activities,Cash Provided by Financing Activities,-,0
"Total Cash Provided by Operating, Investment, fianncing Activities","Total Cash Provided by Operating, Investment, fianncing Activities","Total Cash Provided by Operating, Investment, fianncing Activities",-,1348813.88
"Add: Cash Balance Beginning January 1, 2013","Add: Cash Balance Beginning January 1, 2014","Add: Cash Balance Beginning January 1, 2015",-,3899491.23
"Cash Balance Ending June 30, 2013","Cash Balance Ending June 30, 2014","Cash Balance Ending June 30, 2015",-,2550677.35
Cash Flow from Operating Activities,Cash Inflows,Cash Adjustments,58881957.96,-
Cash Flow from Operating Activities,Cash Inflows,Collections,148254142.7,-
Cash Flow from Operating Activities,Cash Inflows,Total Cash Inflows,-,207136100.6
Cash Flow from Operating Activities,Cash Outflows,Cash Adjustment,10617287.54,-
Cash Flow from Operating Activities,Cash Outflows,Disbursement,66287270.88,-
Cash Flow from Operating Activities,Cash Outflows,Liquidation of Cash Advance,2033768.48,-
Cash Flow from Operating Activities,Cash Outflows,Other Non-Cash Adjustment,13860,-
Cash Flow from Operating Activities,Cash Outflows,Total Cash Outflows,-,78952186.9
Cash Provided by Operating Activities,Cash Provided by Operating Activities,Cash Provided by Operating Activities,-,128183913.7
Cash Flow from Investing Activities,Cash Outflows,Disbursement,240261.27,-
Cash Flow from Investing Activities,Cash Outflows,Total Cash Outflows,-,240261.27
Cash Provided by Investing Activities,Cash Provided by Investing Activities,Cash Provided by Investing Activities,-,240261.27
Cash Provided by Financing Activities,Cash Provided by Financing Activities,Cash Provided by Financing Activities,-,0
"Total Cash Provided by Operating, Investing, Financing Activities","Total Cash Provided by Operating, Investing, Financing Activities","Total Cash Provided by Operating, Investing, Financing Activities",-,127943652.5
"Add: Cash Balance Beginning January 1, 2013","Add: Cash Balance Beginning January 1, 2014","Add: Cash Balance Beginning January 1, 2015",-,188135880.6
"Cash Balance ending June 30, 2013","Cash Balance ending June 30, 2014","Cash Balance ending June 30, 2015",-,316079533.1
