particulars_1,particulars_2,particulars_3,code,appropriations,allotment,appropriation_balance,obligations,allotment_balance
"Education, Culture, Sports and Manpower Development 20% Development Fund",Regular Budget- Barangay Development Program,-,3911-208,-,-,-,-,-
"Education, Culture, Sports and Manpower Development 20% Development Fund",Regular Budget- Barangay Development Program,Repairs and Maintenance- L.I.- Cogon,802-1,300000,300000,-,267400,32600
"Education, Culture, Sports and Manpower Development 20% Development Fund",Regular Budget- Barangay Development Program,Repairs and Maintenance- L.I.- Colorado,802-2,200000,200000,-,188318.88,11681.12
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O. - Women and Children Welfare,-,3911-304,-,-,-,-,-
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,-,3911-308,-,-,-,-,-
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Unprogrammed,-,3979000,3979000,-,-,3979000
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Land 0- San Roque,201-1,450000,450000,-,450000,-
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction Of Pathway- Binaton,202-14,306000,306000,-,221929.6,84070.4
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Riprap Canal- Cogon,202-19,250000,250000,-,246328,3672
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Concreting of Road- Balabag,202-5,600000,600000,-,546954,53046
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Improvement of Roads- Dawis,202-50,1392769.04,1392769.04,-,1283045.01,109724.03
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Farm to Market Road- Dulangan,202-52,525000,525000,-,478638.32,46361.68
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Concreting of Road- Lungag,202-53,1000000,1000000,-,999549.52,450.48
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Concreting of Road- Matti,202-54,640000,640000,-,373033.4,266966.6
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Farm to Market Road- Ruparan,202-55,530000,530000,-,519982.34,10017.66
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction Of Riprap Canal- San Jose,202-56,390000,390000,-,386919.9,3080.1
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction Of Road- San Miguel,202-57,1400000,1400000,-,991847.82,408152.18
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction Of Road- Sinaliwan,202-58,700000,700000,-,521450.17,178549.83
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction Of Road- Soong,202-59,700000,700000,-,500075.84,199924.16
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Opening of Road- Tiguman,202-60,350000,350000,-,337250,12750
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction Of Road- Tres de Mayo,202-61,1400000,1400000,-,1344405.23,55594.77
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction Of Road- Zone II,202-62,1100000,1100000,-,1014694.03,85305.97
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction Of Road- Zone III,202-63,1000000,1000000,-,982863.19,17136.81
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Land Improvements- Mahayahay,202-79,350000,350000,-,322760,27240
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Land Improvements- Kiagot,202-80,450000,450000,-,357881.8,92118.2
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Land Improvements- Igpit,202-81,200000,200000,-,182400,17600
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Land Improvement- San Roque,202-83,250000,250000,-,240280,9720
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,L.I.- Construction Of Drainage Canal- Balaba,202-9,100000,100000,-,-,100000
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,"Electrification, Power and Energy Structure- Matti",205-1,60000,60000,-,-,60000
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,"Electrification, Power and Energy Structure- Igpit",205-2,50000,50000,-,50000,-
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Hospitals and Health Centers- Igpit,213-1,100000,100000,-,99364.43,635.57
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Other Structures- Colorado,215-13,500000,500000,-,354244,145756
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Other Structures- Goma,215-14,700000,700000,-,679066.16,20933.84
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Other Structures- Ruparan,215-15,170000,170000,-,166856,3144
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Other Structures- San Jose,215-25,100000,100000,-,-,100000
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Other Structures- (Footbridge) Igpit,215-26,100000,100000,-,99135,865
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,Other Structures- (MP Hall) Igpit,215-27,250000,250000,-,149889.4,100110.6
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,"Artesian Wells, Reservoir- Binaton",254-6,250000,250000,-,-,250000
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,"Artesian Wells, Reservoir- Cogon",254-7,100000,100000,-,91421.88,8578.12
"Education, Culture, Sports and Manpower Development 20% Development Fund",C.O.- Barangay Development Projects,"Artesian Wells, Reservoir- Tiguman",254-8,350000,350000,-,300279.89,49720.11
Total,-,-,-,21292769.04,21292769.04,-,14748263.81,6544505.23
Health Services 20% Development Fund,Regular Budget- MOOE- Health Promotion Program,-,4918-200,-,-,-,-,-
Health Services 20% Development Fund,C.O.- Health Promotion Program,-,4918-300,-,-,-,-,-
Health Services 20% Development Fund,C.O.- Health Promotion Program,Unprogrammed,-,1050000,1050000,-,-,1050000
Health Services 20% Development Fund,C.O.- Health Promotion Program,Other Structures,215,950000,950000,-,890452,59548
Health Services 20% Development Fund,C.O.- Rehabilitation Facility of Drug Depe,-,4918-301,-,-,-,-,-
Total,-,-,-,2000000,2000000,-,890452,1109548
Housing and Community Development 20% Development Fund,Regular Budget- C.O.- Barangay Multi- Purpose Center,-,6911-301,-,-,-,-,-
Housing and Community Development 20% Development Fund,Regular Budget- C.O.- Housing Development and Lot Center,-,6911-302,-,-,-,-,-
Housing and Community Development 20% Development Fund,Regular Budget- C.O.- Housing Development and Lot Center,Land,201,2000000,2000000,-,1532957.13,467042.87
Total,-,-,-,2000000,2000000,-,1532957.13,467042.87
20% Development Fund,Regular Budget- C.O.- Maintenance Of Parks and Plazas,-,6919-303,-,-,-,-,-
Economic Services 20% Development Fund,Regular Budget- C.O.- Procurement of Farm Machiner,-,8911-300,-,-,-,-,-
Economic Services 20% Development Fund,Regular Budget- C.O.- Procurement of Farm Machiner,Machineries,226,2000000,2000000,-,1350000,650000
Economic Services 20% Development Fund,Regular Budget- C.O.- Const. Or Rehabilitation Of Irrigation,-,8911-301,-,-,-,-,-
Economic Services 20% Development Fund,Regular Budget- C.O.- Const. Or Rehabilitation Of Irrigation,"Irrigation, Canals and Laterals",255,5063090,5063090,-,1357370.6,3705719.4
Economic Services 20% Development Fund,Regular Budget- C.O.- Const. Of Sanitation Landfill,-,8911-302,-,-,-,-,-
Economic Services 20% Development Fund,Regular Budget- C.O.- Const. Of Sanitation Landfill,"Electrification, Power and Energy Structure",205,850987.9,850987.9,-,850987.9,-
Economic Services 20% Development Fund,Regular Budget- C.O.- Const. Of Sanitation Landfill,Construction and Heavy Equipment,230,1009000,1009000,-,1009000,-
Total,-,-,-,8923077.9,8923077.9,-,4567358.5,4355719.4
20% Development Fund,Regular Budget- C.O.- Tourism or Sports or Cultural,-,8912-300,545620.53,-,-,-,-
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,-,8918-300,1860362.9,1860362.9,-,-,-
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,L.I.- Concreting of Road- Colorado,202-65,1000000,1000000,-,982266.72,17733.28
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,L.I.- Concreting of Road- San Roque,202-66,1000000,1000000,-,965387.96,34612.04
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,L.I.- Concreting of Road- Sinawilan,202-67,1000000,1000000,-,1000000,-
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,L.I.- Concreting of Road- Kiagot,202-68,1500000,1500000,-,1289723.57,210276.43
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,L.I.- Concreting of Road- Goma,202-71,1000000,1000000,-,924551.33,75448.67
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,L.I.- Asphalting of Magsasysay Roxas-Lun,202-72,3500000,3500000,-,3483729.22,16270.78
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,L.I.- Concreting of Road- Ruparan,202-73,1000000,1000000,-,988311.01,11688.99
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,L.I.- Concreting of Road- Dulangan,202-74,1000000,1000000,-,995383.8,4616.2
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,L.I.- Concreting of Road- Mahayahay,202-75,1000000,1000000,-,982959.14,17040.86
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,L.I.- Concreting of Road- Balabag,202-76,500000,500000,-,490207.96,9792.04
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,L.I.- Concreting of Road- Binaton,202-77,1000000,1000000,-,978375.41,21624.59
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,L.I.- Construction Of Sidewalk Stall- Public,202-78,1200000,1200000,-,809138,390862
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,Other Structures- San Jose,215-16,600000,600000,-,598098.95,1901.05
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,Other Structures- Matti,215-17,500000,500000,-,387477,112523
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,Other Structures- Kapatagan,215-18,1500000,1500000,-,1104951,395049
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,Other Structures- Goma,215-19,150000,150000,-,-,150000
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,Other Structures- Zone I,215-20,150000,150000,-,-,150000
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,Other Structures- Balabag,215-21,1000000,1000000,-,917690.86,82309.14
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,Other Structures- Aplaya,215-22,1500000,1500000,-,1490891.5,9108.5
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,Other Structures- Igpit,215-23,500000,500000,-,486352.75,13647.25
20% Development Fund,Regular Budget- C.O.- Other Infrastructure Projects,Other Structures- Cogon,215-24,500000,500000,-,270533,229467
Total,-,-,-,21100000,21100000,-,19146029.18,1953970.82
20% Development Fund,Regular Budget- Spring Development And Waterworks,-,8919-201,-,-,-,-,-
20% Development Fund,Regular Budget- Spring Development And Waterworks,Repairs and Maintenance- Artesian Wells,854,1000000,1000000,-,498520,501480
20% Development Fund,Regular Budget- Waterworks Program,-,8919-205,-,-,-,-,-
20% Development Fund,Regular Budget- Waterworks Program,Repairs and Maintenance- Artesian Wells,854,500000,500000,-,-,500000
20% Development Fund,Regular Budget- MOOE- Environmental Protection,-,8919-208,-,-,-,-,-
20% Development Fund,Regular Budget- MOOE- Environmental Protection,Agricultural Supplies Expenses,762,1500000,1500000,-,1267500,232500
20% Development Fund,Regular Budget- MOOE- Aqua Culture and Seaweeds Cult,-,8919-209,-,-,-,-,-
20% Development Fund,Regular Budget- MOOE- Aqua Culture and Seaweeds Cult,Other Maintenance and Operating Expansion,969,500000,500000,-,-,500000
20% Development Fund,Regular Budget- MOOE- Mangrove Reforestation,-,8919-210,-,-,-,-,-
20% Development Fund,Regular Budget- MOOE- Mangrove Reforestation,Other Maintenance and Operating Expansion,969,500000,500000,-,-,500000
20% Development Fund,Regular Budget- Capital Outlay- CRBI,-,8919-300,-,-,-,-,-
20% Development Fund,Regular Budget- Capital Outlay- CRBI,L.I.- Construction and Rehabilitation of Drainage- Roxas,202-43,730000,730000,-,497991.7,232008.3
20% Development Fund,Regular Budget- Capital Outlay- CRBI,L.I.- Farm to Market Road,202-45,1220000,1220000,-,1220000,-
20% Development Fund,Regular Budget- Capital Outlay- CRBI,L.I.- Concreting of Road-Diego- Del pilar,202-87,945995.53,945995.53,-,-,945995.53
20% Development Fund,Regular Budget- C.O.-Spring Development And Waterworks,-,8919-301,-,-,-,-,-
20% Development Fund,Regular Budget- C.O.-Spring Development And Waterworks,"Artesian Wells, Reservoirs, Pumping Station",254,500000,500000,-,466443,33557
20% Development Fund,Regular Budget- Streetlight Program,-,8919-304,-,-,-,-,-
20% Development Fund,Regular Budget- C.O.- Waterworks Treatment Facilit,-,8919-305,-,-,-,-,-
20% Development Fund,Regular Budget- C.O.- Waterworks Treatment Facilit,"Artesian Wells, Reservoirs, Pumping Station",254,500000,500000,-,319200,180800
20% Development Fund,Regular Budget- C.O.- Flood Control Program,-,8919-306,-,-,-,-,-
20% Development Fund,Regular Budget- C.O.- Flood Control Program,Unprogrammed,-,1547000,1547000,-,-,1547000
20% Development Fund,Regular Budget- C.O.- Flood Control Program,L.I.- Open Canal Drainage System- Phase 1,202-44,700000,700000,-,644991.34,55008.66
20% Development Fund,Regular Budget- C.O.- Flood Control Program,L.I.- Construction and Rehabilitation of Drainage- Ramon Magsaysay,202-47,730000,730000,-,-,730000
