functions_programs_projects_activities_1 ,functions_programs_projects_activities_2,appropriations,allotments,obligations,unobligated_balances
Other Maintenance and Other Operating Expenses,Development of River Cruise Activity at Banahaw River,"300,000.00","300,000.00",0,"300,000.00"
Other Maintenance and Other Operating Expenses,Traffic Management Enhancement Program,"156,770.00","156,770.00","156,770.00",0
Other Maintenance and Other Operating Expenses ,"Installation Of Streetlights At Purok 1, Brgy. Mat-I","80,000.00","80,000.00","74,610.00","5,390.00"
Other Maintenance and Other Operating Expenses ,LGU-Equity for the Operation Of City MRDP Project,"2,500,000.00","2,500,000.00","1,000,000.00","1,500,000.00"
Other Maintenance and Other Operating Expenses ,Impementation of Land Administration and Management Project,"700,000.00","700,000.00","285,670.90","399,329.10"
Other Maintenance and Other Operating Expenses ,Family Based Actions For Children and their Environs in the Slum (Faces) Project,"50,000.00","50,000.00",0,"50,000.00"
Other Maintenance and Other Operating Expenses ,LGU-Equity to DAR Sport Project,"200,000.00","200,000.00","199,800.00",200
Other Maintenance And Other Operating Expenses,Animal Health Promotion and Disease Control,"1,200,000.00","1,200,000.00","721,257.93","458,742.07"
Other Maintenance And Other Operating Expenses,Development Projects Under Payapa and Masaganang Pamayanan,"50,000.00","50,000.00","38,769.72","11,230.28"
Other Maintenance And Other Operating Expenses,Meat Processing Project,"250,000.00","250,000.00","153,529.33","91,470.67"
Other Maintenance And Other Operating Expenses,Maintenance of Barangay Roads and Bridges,"2,200,000.00","2,200,000.00","2,066,734.15","88,265.85"
Other Maintenance And Other Operating Expenses,Community Based Monitoring System,"700,000.00","700,000.00","325,883.75","349,116.25"
Agricultural Supplies Expenses ,Lobster Culture,"1,000,000.00","1,000,000.00","824,310.00","155,690.00"
Agricultural Supplies Expenses ,Pocot Fishing Gear Paraphernalia,"300,000.00","300,000.00","295,074.76","4,925.24"
Agricultural Supplies Expenses ,Lapu-Lapu Fish Cage Culture,,"150,000.00","128,906.00","21,094.00"
"Ports, Lighthouses and Harbors ",Seawall And Causeway,"250,000.00","250,000.00","193,284.40","56,715.60"
Other Financial Charges ,Term Loan with LBP Construction of Existing 3rd Floor Commercial Building,"1,600,692.32","1,600,692.32","977,450.09",0
Other Financial Charges ,Term Loan Amortization with LBP Construction of Sanitary Landfill,"7,109,601.97","7,109,601.97","4,223,540.27","36,955.91"
Other Financial Charges ,Loan Amortization- Construction of Surigao City Waste Facility (Phase II) and Aquisition of Equipment,"5,166,169.88","5,166,169.88","2,727,757.30",0
Other Financial Charges ,Loan Amortization with DBP-Aquisition of Heavy Equiptment,"5,475,827.92","5,475,827.92","2,824,691.00","105,215.71"
Breeding Stocks,Breeding Stocks,"204,000.00","204,000.00","204,000.00",0
"Roads, Highways and Bridges",Construction of Road at Interior P. Reyes Extension Phase III,"2,000,000.00","2,000,000.00",0,"2,000,000.00"
"Roads, Highways and Bridges",Rehabilitation of City Roads,"400,000.00","400,000.00",0,"400,000.00"
"Roads, Highways and Bridges",Repair of Bonifacio-Silop Road Barangay Silop Phase II,"44,412.00","44,412.00","42,452.00","1,960.00"
"Roads, Highways and Bridges","Repair and Improvement of Timber Wharf, Barangay Buenavista","105,588.00","105,588.00","103,783.28","1,804.72"
"Roads, Highways and Bridges",Re-Blocking of Barangay Silop Road (Near BJMP),"100,000.00","100,000.00",0,"100,000.00"
"Roads, Highways and Bridges",Concreting of Pathways of Different Barangays,"240,000.00","240,000.00","240,000.00",0
"Roads, Highways and Bridges","Construction of Slope Protection For 5 Units Classroom, Barangay Canlanipa","220,000.00","220,000.00",0,"220,000.00"
"Roads, Highways and Bridges",Regravelling of Road Toward Barangay Site at Barangay Orok,"390,000.00","390,000.00",0,"390,000.00"
"Roads, Highways and Bridges",Gravelling of Interior P. Reyes Extension Road,"800,000.00","800,000.00",0,"800,000.00"
"Roads, Highways and Bridges","Re-Gravelling Of Barangay Sabang Road, at Purok 1","10,000.00","10,000.00",0,"10,000.00"
"Roads, Highways and Bridges",Filling of 1 Unit School Building at Capalayan National High School,"90,000.00","90,000.00",0,"90,000.00"
"Roads, Highways and Bridges","Riprapping of Slope Protection at R. Ouano Mces Sito Cayutan, Barangay Cagniog","100,000.00","100,000.00",0,"100,000.00"
"Roads, Highways and Bridges","Construction of Timber Bridge, Purok Zenia, Barangay Taft","21,000.00","21,000.00",0,"21,000.00"
"Roads, Highways and Bridges",Repair of Sitio Perico Anomar Footbridge,"100,000.00","100,000.00",0,"100,000.00"
"Roads, Highways and Bridges",Re-Graving of Togbongon Barangay Road (Shoulder) Junction to Barangay San Roque,"300,000.00","300,000.00",0,"300,000.00"
"Roads, Highways and Bridges",Repair of Barangay San Roque Road,"80,000.00","80,000.00",0,"80,000.00"
"Roads, Highways and Bridges",Construction of Line Canal at Purok 1-A Blk 3 Barangay San Juan,"40,000.00","40,000.00",0,"40,000.00"
"Roads, Highways and Bridges",Lot Aquisition for the Development Resettlement into a Site,"2,880,000.00","2,880,000.00",0,"2,880,000.00"
Other Structures,Construction of Golden Educators Building at City Hall Compound,"231,550.21","231,550.21","203,078.00","28,472.21"
Other Structures,Construction of Health Center,"300,000.00","300,000.00","281,008.90","8,991.10"
Other Structures,Construction or Repair of Day Care Center,"300,000.00","300,000.00","132,834.00","117,166.00"
Other Structures,"Construction, Completion, Repair and Improvement of Government and Other Public Buildings","1,000,000.00","1,000,000.00","849,168.71","95,831.29"
Other Structures,Completion of GSP Building,"100,000.00","100,000.00","86,880.00","13,120.00"
Other Structures,Construction of Barangay Lipata  Market (Talipapa),"150,000.00","150,000.00","146,890.00","3,110.00"
Other Structures,"Construction of MRF Building Phase 1, Barangay Washington","150,000.00","150,000.00","131,322.00","18,678.00"
