region,total_cubic_m,jan_cubic_m,feb_cubic_m,mar_cubic_m,apr_cubic_m,may_cubic_m,jun_cubic_m
NCR,5601,1503,1159,674,1272,84,909
IV-A (CALABARZON),1253,119, -   ,276,249,217,392
IX (Zamboanga Peninsula),5134, -   ,1167, -   ,1943,968,1056
X (Northern Mindanao),22175,3257,5463,5667,4621,3167, -   
XI (Davao Region),6382,893,1482,978,984,656,1389
XIII (Caraga),66085,9104,11838,11038,11408,12908,9789
