region,total_in_cubic_meters,jan_in_cubic_meters,feb_in_cubic_meters,mar_in_cubic_meters,apr_in_cubic_meters,may_in_cubic_meters,jun_in_cubic_meters,jul_in_cubic_meters,aug_in_cubic_meters,sep_in_cubic_meters,oct_in_cubic_meters,nov_in_cubic_meters,dec_in_cubic_meters
NCR,21885,1533,2130,2264,2280,2031,1737,1901,1366,1869,1705,1632,1437
IV-A (CALABARZON),2759,401,6,117,267,283,203,238,249,253,275,232,235
IX (Zamboanga Peninsula),27608,2518,2416,2617,3811,3412,3414,3483,3569,2368, - , - , - 
X (Northern Mindanao),64206,5130,7796,6821,3709,3709,3709,5999,5619,4299,8526,6024,2865
XI (Davao Region),14377,1014,2521,615,1225,2091,2312,1590,1760,1249, - , - , - 
XIII (Caraga),166647,9511,18842,14746,12628,11929,19225,13065,13207,13827,17761,12364,9542
