city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Alaminos,Mayor,"Magampon, Eladio Masa",Adio,Liberal Party,12380
Alaminos,Vice-Mayor,"Alvarez, Ruben Donato",Ruben,United Nationalist Alliance,10335
Alaminos,Councilor,"Pampolina, Lorelei Masa",Jinky,Liberal Party,9407
Alaminos,Councilor,"Abu, Jeyson Carpena",Jey,Liberal Party,8526
Alaminos,Councilor,"Castillo, Nikki Dionido",Nikki,Liberal Party,7776
Alaminos,Councilor,"Zu, Lino Baldemor",Lino,Independent,7691
Alaminos,Councilor,"Monzones, Noel Lontok",Davok,Liberal Party,7033
Alaminos,Councilor,"Avenido, Benito Dionglay",Betoy,United Nationalist Alliance,6872
Alaminos,Councilor,"Calabia, Candelaria Villanueva",Cannie,United Nationalist Alliance,6163
Alaminos,Councilor,"Tolentino, Darwin Cuenca",Darwin,Liberal Party,6091
Bay,Mayor,"Ramos, Bruno Tolentino",Bunoy,Independent,18926
Bay,Vice-Mayor,"Escueta, Soriano Gapan",Soring,Independent,16991
Bay,Councilor,"Padrid, Jose Ortiz",Joe,Independent,16400
Bay,Councilor,"Comia, Cesar Dimasuay",Comia Cesar,Independent,13854
Bay,Councilor,"Ilagan, Emerson Malabanan",Emer,Independent,9039
Bay,Councilor,"Malagno, Leonardo Carpio",Narding,Independent,8468
Bay,Councilor,"Jimenea, Jaime Barril",Jj,Independent,7880
Bay,Councilor,"Tolentino, Isidro Mendoza",Ed,Independent,7866
Bay,Councilor,"Martinez, Reynaldo Punzalan",Aldo,Independent,7799
Bay,Councilor,"Ilagan, Mario Malabanan",Mario,Independent,7589
Biñan,City Mayor,"Alonte, Marlyn Belizario",Len-Len,Liberal Party,68554
Biñan,City Vice-Mayor,"Dimaguila, Walfredo Jr. Reyes",Arman,Liberal Party,52200
Biñan,Councilor,"Alonte, Angelo Belizario",Gel,Liberal Party,57879
Biñan,Councilor,"Bejasa, Wilfredo Jr. Ilagan",Bong Bejasa,Liberal Party,51786
Biñan,Councilor,"Carait, Magtangol Jose Iii Calayag",Jm,Liberal Party,50994
Biñan,Councilor,"Yatco, Jose Francisco Ruben Ponce",Cookie,United Nationalist Alliance,49738
Biñan,Councilor,"Micor, Marielle Therese Bautista",Marielle,Liberal Party,49298
Biñan,Councilor,"Salandanan, Jaime Molina",Me,Liberal Party,49221
Biñan,Councilor,"Tan Gana, Vicente Jr. Jaojoco",Jun,Liberal Party,47793
Biñan,Councilor,"Carde, Liza Lopez",Liza,United Nationalist Alliance,45864
Biñan,Councilor,"Romantigue, Geronimo Dejan",Gener,Liberal Party,45339
Biñan,Councilor,"Desuasido, Alexis Hirang",Echit,Liberal Party,39123
Cabuyao,City Mayor,"Hemedes, Isidro Jr. Lebrilla",Jun,Nationalista Party,57167
Cabuyao,City Vice-Mayor,"Gecolea, Rommel Aranzanso",Mel,Nationalista Party,51483
Cabuyao,Councilor,"Batallones, Jaime Onofre Del Rosario",Jun-Jun,Liberal Party,55339
Cabuyao,Councilor,"Hemedes, Ismael Martinez",Cocoy,Nationalista Party,52574
Cabuyao,Councilor,"Opi, Leif Laiglon Abriz",Leif,Liberal Party,52502
Cabuyao,Councilor,"Hain, Richard Cantera",Dondon,Nationalista Party,48694
Cabuyao,Councilor,"Caringal, Tito Fortunato Abat",Tutti,Liberal Party,48072
Cabuyao,Councilor,"Hain, Apolinario Batas",Pol,Nationalista Party,47891
Cabuyao,Councilor,"Del Rosario, Benjamin Cancisio",Benjie,Liberal Party,47207
Cabuyao,Councilor,"Aguillo, Jose Benson Garcia",Sonny,Liberal Party,44969
Cabuyao,Councilor,"Entredicho, Imelda Amoranto",Ate Mel,Nationalista Party,44501
Cabuyao,Councilor,"Alimagno, Amelito Gamba",Ting,Liberal Party,44407
Calamba City,City Mayor,"Chipeco, Justin Marc San Buenaventura",Timmy,Nationalista Party,72770
Calamba City,City Vice-Mayor,"Rizal, Roseller Hammer",Ross,Nationalista Party,73293
Calamba City,Councilor,"Catindig, Edgardo Hombrebueno",Eddie,Nationalista Party,100707
Calamba City,Councilor,"Hernandez, Ruth Mariano",Ruth Mariano,Nationalista Party,95244
Calamba City,Councilor,"Morales, Moises Endozo",Eses,Nationalista Party,86613
Calamba City,Councilor,"Perez, Peewee Platon",Fely Platon,Partido Demokratiko Pilipino,78697
Calamba City,Councilor,"Aldabe, Leeanne Pecho",Lian,Nationalista Party,77246
Calamba City,Councilor,"Lajara, Christian Ni Salva",Ni,Partido Demokratiko Pilipino,73284
Calamba City,Councilor,"Baroro, Luis Vergel Gonzales",Bong,Nationalista Party,67651
Calamba City,Councilor,"Alcasid, Maria Virginia Aquino",Gigi,Partido Demokratiko Pilipino,66617
Calamba City,Councilor,"Manaig, Jose Morel Dela Cruz",Morel,Nationalista Party,61622
Calamba City,Councilor,"Atienza, Santiago Ope",Santy,Nationalista Party,55484
Calauan,Mayor,"Berris, Buenafrido Taningco",George,United Nationalist Alliance,10982
Calauan,Vice-Mayor,"Sanchez, Allan Jun Vito",Dong,United Nationalist Alliance,15950
Calauan,Councilor,"Hernandez, Chesskha Caumban",Chesskha,United Nationalist Alliance,11036
Calauan,Councilor,"Sanchez, Allan Antonio Ii Vito",Allan,United Nationalist Alliance,10502
Calauan,Councilor,"Ramilo, Roberto Arevalo",Bobby,United Nationalist Alliance,9744
Calauan,Councilor,"Escarez, Dante Capol",Dante,Liberal Party,9478
Calauan,Councilor,"Kraft, Kingsly Brion",Kingsly,Liberal Party,9320
Calauan,Councilor,"Manalo, Joselito Maloles",Lito,United Nationalist Alliance,8403
Calauan,Councilor,"Larona, Maria Jesusa Quizon",Susie,United Nationalist Alliance,8262
Calauan,Councilor,"Larona, Joseph Petrasanta",Erap,United Nationalist Alliance,8009
Cavinti,Mayor,"Oliveros, Melbert De Leon",Milbert,Liberal Party,7173
Cavinti,Vice-Mayor,"Arroyo, Danilo Gonzales",Danilo,United Nationalist Alliance,5980
Cavinti,Councilor,"Arroyo, Arrantlee Romulo",Arrant,Liberal Party,6597
Cavinti,Councilor,"Gordula, Oscar Dela Torre",Oscar,Liberal Party,6004
Cavinti,Councilor,"Villegas, Pedro Jr. Oliveros",Bagsak,United Nationalist Alliance,5492
Cavinti,Councilor,"Cabuhat, Romel Miras",Mel,Liberal Party,5417
Cavinti,Councilor,"Conde, Anita Arroyo",Aning,United Nationalist Alliance,5281
Cavinti,Councilor,"Mesina, Roland Perez",Olan,Liberal Party,5096
Cavinti,Councilor,"Sanchez, Crispin Dela Torre",Cris,Liberal Party,4757
Cavinti,Councilor,"Castillo, Michael Eric Liwag",Eric,Liberal Party,4731
Famy,Mayor,"Muramatsu, Renonia Bagolbagol",Nonie,United Nationalist Alliance,3751
Famy,Vice-Mayor,"Pangilinan, Edwin Varcas",Ed,United Nationalist Alliance,4015
Famy,Councilor,"Andaya, Gertrudes Samela",Ellen,United Nationalist Alliance,4344
Famy,Councilor,"Valois, Emmanuel Llames",Emman,United Nationalist Alliance,4322
