company,brand_model
Ansi Information Systems Inc.,Visual QuickFood 2.5 and 2.10 software
Ansi Information Systems Inc.,Visual Quick POS 3.10 Software
Ansi Information Systems Inc.,Bacchus 3.10 software
Ansi Information Systems Inc.,Neptune visual quick POS
Ansi Information Systems Inc.,IBM SureOne 4614-A04
Ansi Information Systems Inc.,IBM SureOne 4614-A05
Ansi Information Systems Inc.,IBM SurePOS 300 4810-32H
Ansi Information Systems Inc.,IBM SurePOS 300 4810-310
Ansi Information Systems Inc.,IBM SurePOS 500 4840-531
Ansi Information Systems Inc.,IBM SurePOS 500 4840-532
Ansi Information Systems Inc.,IBM SurePOS 500 4840-533
Ansi Information Systems Inc.,Mercury 3370
Ansi Information Systems Inc.,Visual Quik POS Version 3.9P
"Anson@Home, Inc.",CIVET POS Solution Version 1
Antonio Jr. Tantoy Trasporto(Aspeed Computer Solutions),Simple Pharma100 Simple Pharma100 Ver. 1
Apollo Technologies Inc.,Apollo POS Version 1.0
Apollo Technologies Inc.,Apollo Retail POS Premium Version 2
Applications For Computer-Based Enterprise Sol Inc,Accpac EPOS Version 5.2
Applied Ideas Inc.,Elite 8000 BPC-200
Applied Ideas Inc.,A1 Infinit POS Application Version 4.0
Applied Ideas Inc.,Elite 8000 POS/Ts Elite 8000 POS/Ts
Applied Ideas Inc.,Wincor Nixdorf Wincor Nixdorf Beetle IPOS
Applied Ideas Inc.,IBM SurePOS 500 532
Applied Ideas Inc.,IBM Sureone 4614-A05
Applied Ideas Inc.,Retail Application Dos Version 1.5Xx
Applied Ideas Inc.,Quick Service POS Application Ver. 5.0
Applied Ideas Inc.,IBM SurePOS 700 4800
Applied Ideas Inc.,IBM 4694 POS Retail Application Dos
Applied Ideas Inc.,IBM POS 4694
Apsoft Inc.,A1-Win Infiniti POS Version 2.0
Apsoft Inc.,AijPOS Application V3.0
Apsoft Inc.,A1-Win Table Service POS Application Version 1.0
Apsoft Inc.,Quick Service POS Application Version 5.0
Apsoft Inc.,Microsoft Dynamics Nav Landsteinar Retail V.3.75
Apsoft Inc.,A1 Infiniti POS Application Version 4.0
Apsoft Inc.,A1-Win Quick Service POS Version 4.0
Archos Business Systems Inc.,IBM SurePOS 300 4810-31H
Archos Business Systems Inc.,IBM Sureone 4614
Archos Business Systems Inc.,Archos Restaurant System Version 1.5
Archos Business Systems Inc.,Archos Retail System Version 1.0 (Stand Alone)
Archos Business Systems Inc.,Archos Retail System Version 1.2 (Basic Features)
Archos Business Systems Inc.,Archos Retail System Version 2.0 (Full Version)
Archos Business Systems Inc.,IBMSurePOS 500 4840-531
Archos Business Systems Inc.,IBM SurePOS 500 4840-532
Archos Business Systems Inc.,IBM Sureone 4614-A05
Archos Business Systems Inc.,IBM Sureone 4614-A04
Archos Business Systems Inc.,IBM SurePOS 500
Archos Business Systems Inc.,IBM SurePOS 300
Archos Business Systems Inc.,IBM SurePOS 300 4810-32H
Argent Business Consultants&Stores Specialists Inc.,PharmaPOS.Net Version 1
Ariel Labrador Tomagan(Nar Information Technology Solutions),ExPOSe Version 6.5
"Ark Systems, Inc.",IBM SurePOS 500 324
"Ark Systems, Inc.",WinPOS Version 3.65
"Ark Systems, Inc.",Enlight Lp 7651
"Ark Systems, Inc.",IBM SurePOS 300 31H
"Ark Systems, Inc.",WinPOS Version 4.10
"Ark Systems, Inc.",WinPOS Version 4.01
Arlina Morales Diu(Zamboanga Safety Enterprises),Safety POS System Version 1
Arni Salcedo Lemana(Crystal Concepts Software Technologies),Ezmanager POS (EzPOS) Version 1.0
Asiarich Trading Corporation,Owtel POS Version 1.30
"Astech Pengson Distributors, Inc.",Sharp Er-A440
Asticom Technology Inc.,IBM Lenovo Thinkcenter
Asticom Technology Inc.,G5 Polaris Version 2.31
Asticom Technology Inc.,QPOS Version 1.24.10
Automatic Appliances Inc.,Casio Ce-6100
Automatic Appliances Inc.,Sharp Er-A440
Avid Sales Corporation,Inventory and Sales Information System (Isis) Version 1
Avon Cosmetics Inc.,Dealer Relationship Management (Drm) Version 1.0
Avon Cosmetics Inc.,Dealer Relationship Management (Drm) Version 1.2
Avon Cosmetics Inc.,Global Branch Store System (Gbss) Ver 2.80
Ayala Land Inc.,IBM Thinkcentre
Ayala Land Inc.,Sureseats Version 3
Ayala Land Inc.,HP Netserver Lc3
Ayala Land Inc.,Hewlett Packards Tc2120
Ayala Land Inc.,Compaq Proliant Ml 150
B Cut Inc.,PC Clone Generic
B Cut Inc.,Simple POS Version 2.16P
"Baker Fresh Foods Philippines, Inc.",Generic Easi POS System
Bci Retail Corporation,EPOS Version 1.0
BCS Systems & Technologies Inc.,My Enterprise V.1.0.0 SBE
BCS Systems & Technologies Inc.,Hansaworld Enterprise Version 6.1
BCS Systems & Technologies Inc.,MYOB Retail Manager Ver. 7
BCS Systems & Technologies Inc.,MYOB Businessbasics Ver.1.1
BCS Systems & Technologies Inc.,POSiflex Jiva 5815
BCS Systems & Technologies Inc.,MYOB Retail Manager Version 6
Benedicto Hernandez Gaela(Just Business Software Development),Princess Version 1.0
Bernardo Daag Tongcos (Lancestreet Civil Engineering & Allied Services),Lancestreet POS And Management System V.1.1
Beroma Inc.,Pokky System (Window Based) 2.61 N / 2.Xx
Beroma Inc.,Dell Gx240
Bienvenido Jr. Flores Orillano (Brothers Management System),POS-Ims 2.0
Bienvenido Jr. Flores Orillano (Brothers Management System),Brothers Management System (BMS POS) Version 1.0
Big Kahuna Inc.,Restaurant Basic Point Of Sales Version 3.2
