region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,1300,1359,1073,1287,1035,182,-,-,-,164,678,1124,8202
CAR,Baguio,G. Aviation,431,449,495,314,250,151,56,113,97,154,263,308,3081
CAR,Baguio,Military,111,1202,610,101,54,280,4,6,14,69,22,488,2961
I (Ilocos Norte),Laoag (International),Cebu Pacific,1994,2002,2374,2181,2367,1479,-,-,-,-,-,-,12397
I (Ilocos Norte),Laoag (International),Far East Trans,5585,8988,8703,10857,10399,8610,4447,3986,3637,2903,2490,2795,73400
I (Ilocos Norte),Laoag (International),Air Philippine,-,-,-,-,-,620,2910,2908,2671,2123,2573,2438,16243
I (Ilocos Norte),Laoag (International),China S. Air,4396,6356,7263,7799,7338,5227,1217,721,920,4015,1062,1641,47955
I (Ilocos Norte),Laoag (International),Mandarin,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Laoag (Domestic),PAL,25,-,-,-,-,-,-,-,-,-,-,-,25
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,1571,1493,2022,2122,1931,1301,-,-,-,-,-,-,10440
I (Ilocos Norte),Laoag (Domestic),Air Philippine,-,-,-,-,-,487,1348,1555,816,2023,1832,2036,10097
I (Ilocos Norte),Laoag (Domestic),LIA,1139,1134,1491,2033,2069,934,835,769,849,-,-,-,11253
I (Ilocos Norte),Laoag (Domestic),Chemtrad,18,-,8,141,39,29,-,-,-,-,340,693,1268
I (Ilocos Norte),Laoag (Domestic),G. Aviation,-,183,125,554,122,92,60,477,66,247,107,99,2132
I (Ilocos Norte),Laoag (Domestic),Military,6,57,190,-,163,20,-,32,14,14,40,15,551
I (Ilocos Norte),Lingayen,G. Aviation,80,137,93,94,69,92,28,74,66,-,52,54,839
I (Ilocos Norte),Rosales,G. Aviation,-,15,-,-,-,-,-,-,-,-,-,-,15
I (Ilocos Norte),Vigan,G. Aviation,104,-,51,64,95,45,25,12,3,-,65,83,547
II (Cagayan Valley),Bagabag,Seair,-,-,-,126,92,-,74,9,94,-,214,123,732
II (Cagayan Valley),Bagabag,G. Aviation,299,294,26,127,92,95,268,156,224,388,256,151,2376
II (Cagayan Valley),Bagabag,Military,-,-,5,-,-,-,-,6,-,-,-,-,11
II (Cagayan Valley),Basco,LIA,1096,903,1376,2171,2297,1522,860,848,948,1023,311,-,13355
II (Cagayan Valley),Basco,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,231,231
II (Cagayan Valley),Basco,Chemtrad,777,538,851,990,891,665,593,528,499,530,882,1330,9074
II (Cagayan Valley),Basco,G. Aviation,6,-,14,20,27,-,-,-,7,-,17,-,91
II (Cagayan Valley),Basco,Military,6,-,-,21,10,-,-,8,-,-,131,57,233
II (Cagayan Valley),Cauayan,Cyclone,680,-,963,1156,1129,1057,900,830,750,-,518,595,8578
II (Cagayan Valley),Cauayan,Chemtrad,76,-,34,-,-,-,11,-,-,-,-,-,121
II (Cagayan Valley),Cauayan,G. Aviation,765,575,1005,1204,1188,1095,869,941,794,858,571,140,10005
II (Cagayan Valley),Cauayan,Military,26,-,18,-,-,-,-,-,-,-,-,-,44
II (Cagayan Valley),Itbayat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Palanan,Cyclone,-,521,856,1066,1119,902,728,793,654,-,456,138,7233
II (Cagayan Valley),Palanan,Chemtrad,-,81,127,132,121,202,91,56,75,-,78,614,1577
II (Cagayan Valley),Palanan,G. Aviation,-,-,-,24,28,-,4,-,5,-,-,5,66
II (Cagayan Valley),Tuguegarao,PAL,2089,1631,2145,1075,2357,2177,-,2139,1748,-,1494,-,16855
II (Cagayan Valley),Tuguegarao,Air Philippine,-,-,-,-,-,-,-,-,-,-,-,1663,1663
II (Cagayan Valley),Tuguegarao,LIA,-,-,-,118,403,213,-,162,231,-,63,-,1190
II (Cagayan Valley),Tuguegarao,Chemtrad,-,537,790,457,933,840,-,582,474,-,639,891,6143
II (Cagayan Valley),Tuguegarao,G. Aviation,28,28,281,43,131,60,-,25,70,-,26,86,778
II (Cagayan Valley),Tuguegarao,Military,-,45,183,-,139,-,-,4,-,-,-,-,371
III (Central Luzon),Iba,G. Aviation,352,-,360,518,580,916,172,188,316,-,62,190,3654
III (Central Luzon),Subic,International,-,-,-,-,-,2921,3458,-,3086,-,-,3763,13228
III (Central Luzon),Subic,Domestic,-,-,-,-,-,1538,1185,-,1261,-,-,1252,5236
III (Central Luzon),Plaridel,G. Aviation,755,870,941,998,1555,1264,622,933,1157,1340,1236,727,12398
III (Central Luzon),Baler,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
NCR,NAIA,International,626833,550378,681277,694193,687904,639544,621244,636119,547286,583248,555634,642719,7466379
NCR,NAIA,DOMESTIC,449316,387390,441948,509402,523336,421722,385471,429124,397852,458445,400199,478146,5282351
NCR,NAIA,G. AVIATION,24148,18204,23950,22665,24195,18192,14221,17098,16630,21810,19343,18794,239250
IV-A (CALABARZON)),Alabat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,4,4
III (Central Luzon),Busuanga,Asian Spirit,316,-,-,489,324,-,89,-,-,-,-,-,1218
IV-B (MIMAROPA),Busuanga,Seair,1494,-,-,1968,1774,1139,1167,-,1216,-,1382,1965,12105
IV-B (MIMAROPA),Busuanga,G. Aviation,1683,-,-,-,124,687,389,-,899,-,559,877,5218
IV-B (MIMAROPA),Busuanga,Military,-,-,-,23,-,-,-,-,-,-,-,-,23
IV-B (MIMAROPA),Busuanga,Chemtrad,-,-,-,-,9,-,-,-,18,-,16,-,43
IV-B (MIMAROPA),Calapan,G. Aviation,19,48,85,30,86,42,43,24,30,-,51,38,496
IV-B (MIMAROPA),Calapan,Military,18,-,10,-,-,-,-,21,-,-,-,68,117
IV-B (MIMAROPA),Cuyo,Seair,205,-,194,210,215,-,107,-,218,-,185,276,1610
IV-B (MIMAROPA),Cuyo,PACO,-,-,72,78,42,-,19,-,46,-,-,5,262
IV-B (MIMAROPA),Cuyo,Chemtrad,-,-,-,-,-,-,-,-,-,-,-,19,19
IV-B (MIMAROPA),Cuyo,G. Aviation,21,-,44,52,47,-,19,-,31,-,15,-,229
IV-A (CALABARZON)),Jomalig,G. Aviation,53,16,4,9,-,45,16,-,42,-,109,102,396
IV-B (MIMAROPA),Lucena,G. Aviation,576,-,-,13,-,-,-,-,8,-,-,-,597
IV-B (MIMAROPA),Lubang,G. Aviation,-,389,385,531,311,344,1119,981,419,-,485,122,5086
IV-B (MIMAROPA),Mamburao,G. Aviation,48,34,25,75,90,22,16,34,40,-,69,91,544
IV-B (MIMAROPA),Marinduque,Asian Spirit,459,-,-,490,480,266,298,292,250,-,-,-,2535
IV-B (MIMAROPA),Marinduque,G. Aviation,12,-,-,18,27,-,19,35,2,-,-,-,113
IV-B (MIMAROPA),Pueurto Princesa ,PAL,6534,5843,8186,10837,9664,7016,5488,6818,6644,6745,7464,9180,90419
IV-B (MIMAROPA),Pueurto Princesa ,Air Philippine,3821,3260,4973,5310,5532,4310,3006,3656,3452,4673,3901,6070,51964
IV-B (MIMAROPA),Pueurto Princesa ,Seair,379,344,472,453,520,346,275,335,305,272,396,520,4617
IV-B (MIMAROPA),Pueurto Princesa ,G. Aviation,-,-,278,173,92,162,46,79,76,-,-,90,996
IV-B (MIMAROPA),Romblon,LIA,-,-,-,-,-,-,-,87,173,-,-,-,260
IV-B (MIMAROPA),Romblon,G. Aviation,111,23,34,57,14,3,24,26,8,-,11,2,313
IV-B (MIMAROPA),San Jose,Asian Spirit,2280,-,2957,2663,2560,2251,2333,2117,2238,-,1822,1891,23112
IV-B (MIMAROPA),San Jose,Air Philippine,1109,-,562,1496,1632,1300,787,1248,1255,-,1321,1924,12634
IV-B (MIMAROPA),San Jose,Military,18,-,81,169,27,12,6,28,27,-,16,-,384
IV-B (MIMAROPA),San Jose,G. Aviation,120,-,306,87,25,60,20,30,134,-,39,-,821
IV-B (MIMAROPA),San Jose,PACO,-,-,-,236,242,280,255,282,260,-,224,275,2054
IV-B (MIMAROPA),Pinamalayan,Seair,100,122,154,189,119,-,-,-,-,-,-,-,684
IV-B (MIMAROPA),Pinamalayan,G. Aviation,-,-,-,25,-,7,-,10,-,123,-,-,165
IV-B (MIMAROPA),Wasig,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
V (Bicol Region),Bulan,G. Aviation,-,-,-,-,-,-,6,-,-,-,-,-,6
V (Bicol Region),Daet,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
V (Bicol Region),Legaspi,PAL,7309,6904,7356,7919,8649,7682,6214,6845,6268,7961,6962,7279,87348
V (Bicol Region),Legaspi,Seair,-,-,-,-,-,-,-,75,220,183,167,150,795
V (Bicol Region),Legaspi,G. Aviation,76,48,43,56,95,43,34,37,48,77,22,34,613
V (Bicol Region),Legaspi,Military,356,40,192,-,3,1,-,8,-,227,-,-,827
V (Bicol Region),Masbate,Asian Spirit,1585,1510,1578,1880,2142,1809,1659,1835,1506,1749,1788,2309,21350
V (Bicol Region),Masbate,LIA,736,515,667,903,790,789,528,608,547,620,261,-,6964
V (Bicol Region),Masbate,G. Aviation,32,-,9,46,41,56,23,2,14,37,36,76,372
V (Bicol Region),Masbate,Military,277,-,-,14,-,27,31,-,-,3,-,-,352
V (Bicol Region),Naga,PAL,3747,3347,4037,5241,4639,4223,3117,3180,3507,3106,2930,3670,44744
V (Bicol Region),Naga,G. Aviation,15,-,20,9,9,23,2,4,14,38,16,4,154
