region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,913,814,1109,904,674,484,443,-,-,-,-,-,5341
CAR,Baguio,G. Aviation,298,165,281,212,117,157,99,128,54,129,182,236,2058
CAR,Baguio,Military,101,142,1031,58,163,173,32,26,22,81,87,490,2406
I (Ilocos Norte),Laoag (International),Far East Trans,2229,2943,1929,2121,745,-,-,-,-,-,-,-,9967
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,-,-,3790,2849,-,-,-,-,-,-,-,6639
I (Ilocos Norte),Laoag (International),China S. Air,759,-,-,-,-,-,-,-,133,131,-,-,1023
I (Ilocos Norte),Laoag (International),Asian Spirit,1886,1884,76,2121,-,-,392,-,-,-,-,-,6359
I (Ilocos Norte),Laoag (International),Mandarin Air,-,-,-,-,-,754,1683,1771,1622,1956,1578,1789,11153
I (Ilocos Norte),Laoag (International),Asiana Air,-,-,-,-,-,-,392,1140,-,-,-,-,1532
I (Ilocos Norte),Laoag (Domestic),PAL,6623,7107,7423,8090,7360,5839,5814,5869,5087,6441,7390,7869,80912
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,2909,3130,3796,3790,2849,2784,2443,2500,2129,3169,3655,2976,36130
I (Ilocos Norte),Laoag (Domestic),G. Aviation,-,51,93,98,39,34,24,57,30,26,79,30,561
I (Ilocos Norte),Laoag (Domestic),Military,-,-,-,16,2,10,5,9,-,-,1,-,43
I (Ilocos Norte),Lingayen,G. Aviation,1231,1671,1544,1591,1056,1331,1714,95,-,-,1153,1831,13217
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Vigan,Asian Spirit,-,-,-,-,-,-,-,-,-,-,-,78,78
I (Ilocos Norte),Vigan,G. Aviation,3427,1506,6385,4186,3544,1718,2840,4092,3336,6187,81,2973,40275
I (Ilocos Norte),Vigan,Lion Air,-,-,260,220,-,-,144,112,-,140,6124,-,7000
I (Ilocos Norte),Vigan,Military,-,-,-,-,-,-,-,187,-,8,-,-,195
II (Cagayan Valley),Bagabag,G. Aviation,114,57,183,112,82,45,-,112,206,202,18,4,1135
II (Cagayan Valley),Basco,Asian Spirit,1257,1470,1920,2096,2027,1796,1324,1057,803,669,-,-,14419
II (Cagayan Valley),Basco,Chemtrad,118,113,236,455,328,164,71,31,113,245,288,127,2289
II (Cagayan Valley),Basco,Seair,-,-,-,356,666,151,50,-,236,475,607,487,3028
II (Cagayan Valley),Basco,Batanes Air,-,-,-,-,-,143,496,894,354,515,205,124,2731
II (Cagayan Valley),Basco,Zest Air,-,-,-,-,-,-,-,-,-,-,484,1026,1510
II (Cagayan Valley),Basco,G. Aviation,20,-,12,-,-,-,-,-,-,-,-,-,32
II (Cagayan Valley),Basco,Military,259,-,-,-,-,-,-,-,-,-,20,-,279
II (Cagayan Valley),Cauayan,G. Aviation,639,322,504,822,807,740,556,670,1320,1817,1081,1695,10973
II (Cagayan Valley),Itbayat,Batanes Air,-,-,-,-,-,94,327,-,-,-,-,-,421
II (Cagayan Valley),Itbayat,Chemtrad,-,-,-,107,-,-,32,-,-,-,-,-,139
II (Cagayan Valley),Palanan,Cyclone,254,-,353,441,375,405,324,-,263,-,217,286,2918
II (Cagayan Valley),Palanan,G. Aviation,-,-,58,188,38,-,-,-,13,-,-,16,313
II (Cagayan Valley),Palanan,Military,-,-,54,11,25,-,22,-,-,-,-,40,152
II (Cagayan Valley),Tuguegarao (Int'l.),Air Philippines,2351,2213,2226,2695,2294,2377,2117,1152,690,1408,945,1357,21825
II (Cagayan Valley),Tuguegarao (Int'l.),PAL,-,-,-,-,-,-,-,1474,2280,2660,2233,2546,11193
II (Cagayan Valley),Tuguegarao (Int'l.),Cebu Pacific,-,-,-,-,-,1465,3211,3087,3135,3772,3116,3912,21698
II (Cagayan Valley),Tuguegarao (Int'l.),Asian Spirit,1127,1295,1171,801,1253,944,893,506,-,-,-,-,7990
II (Cagayan Valley),Tuguegarao (Int'l.),Chemtrad,320,249,400,549,472,220,95,223,93,177,243,436,3477
II (Cagayan Valley),Tuguegarao (Int'l.),Batanes Air,-,-,-,-,-,88,155,41,268,257,155,172,1136
II (Cagayan Valley),Tuguegarao (Int'l.),G. Aviation,113,62,39,132,163,153,64,58,85,45,206,49,1169
