region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,Asian Spirit,1046,926,926,949,598,340,389,164,248,544,855,1332,8317
CAR,Baguio,G. Aviation,344,310,466,559,249,177,199,149,126,328,446,407,3760
CAR,Baguio,Military,168,275,694,428,11,35,97,253,29,35,310,78,2413
I (Ilocos Norte),Laoag (International),Cebu Pacific,-,499,-,-,197,360,615,523,-,-,-,-,2194
I (Ilocos Norte),Laoag (International),Air Philippines,1755,2942,2880,1050,-,457,192,534,-,-,-,-,9810
I (Ilocos Norte),Laoag (International),Far East Trans,2463,3055,2028,1115,251,591,3155,3644,2701,2886,2331,2989,27209
I (Ilocos Norte),Laoag (International),China S. Air,1369,1731,1557,855,1109,956,1725,2325,1713,2246,2024,2130,19740
I (Ilocos Norte),Laoag (International),Asiana,-,-,-,-,-,-,641,906,-,-,-,-,1547
I (Ilocos Norte),Laoag (International),C.R. Airways,-,-,-,-,-,-,651,1004,917,1300,1113,1409,6394
I (Ilocos Norte),Laoag (Domestic),Cebu Pacific,64,-,-,-,46,41,71,-,4,-,-,-,226
I (Ilocos Norte),Laoag (Domestic),Air Philippines,1576,1590,2214,1935,1736,1361,1242,1935,1319,1556,1491,1745,19700
I (Ilocos Norte),Laoag (Domestic),Asian Spirit,-,-,334,791,690,538,513,346,409,310,-,-,3931
I (Ilocos Norte),Laoag (Domestic),Seair,-,-,-,203,-,-,-,-,-,-,-,-,203
I (Ilocos Norte),Laoag (Domestic),Paco,-,59,156,501,488,287,250,245,183,257,274,348,3048
I (Ilocos Norte),Laoag (Domestic),Chemtrad,225,136,225,353,474,219,142,314,239,249,245,396,3217
I (Ilocos Norte),Laoag (Domestic),G. Aviation,146,920,128,123,155,316,220,-,155,38,77,43,2321
I (Ilocos Norte),Laoag (Domestic),Military,-,44,24,30,10,4,-,10,8,-,3,14,147
I (Ilocos Norte),Lingayen,G. Aviation,59,114,90,48,66,36,38,46,22,56,30,60,665
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Vigan,G. Aviation,101,71,133,85,85,97,138,42,38,-,71,91,952
II (Cagayan Valley),Bagabag,Seair,-,128,260,136,-,-,-,-,-,-,-,-,524
II (Cagayan Valley),Bagabag,Chemtrad,-,-,-,154,334,-,-,-,-,-,-,-,488
II (Cagayan Valley),Bagabag,Paco,-,-,-,-,260,-,-,-,-,-,-,151,411
II (Cagayan Valley),Bagabag,G. Aviation,-,-,84,169,-,96,182,120,93,342,197,-,1283
II (Cagayan Valley),Basco,Asian Spirit,-,553,742,-,1123,762,669,333,636,563,516,765,6662
II (Cagayan Valley),Basco,Seair,-,-,-,218,-,-,-,-,-,-,-,-,218
II (Cagayan Valley),Basco,Chemtrad,-,651,722,929,1022,693,485,849,806,718,576,836,8287
II (Cagayan Valley),Basco,Paco,-,304,889,1263,1566,1163,788,751,880,985,910,1200,10699
II (Cagayan Valley),Basco,G. Aviation,-,-,27,47,56,-,6,-,32,-,19,-,187
II (Cagayan Valley),Basco,Military,-,-,-,12,-,-,-,-,-,-,-,-,12
II (Cagayan Valley),Cauayan,Cyclone,635,648,-,978,1073,997,844,777,626,742,642,762,8724
II (Cagayan Valley),Cauayan,G. Aviation,47,42,895,104,173,35,86,47,58,46,46,120,1699
II (Cagayan Valley),Itbayat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Palanan,Chemtrad,83,45,67,209,95,162,42,73,45,59,63,113,1056
II (Cagayan Valley),Palanan,Cyclone,675,580,815,850,922,818,689,616,556,612,546,630,8309
II (Cagayan Valley),Palanan,G. Aviation,10,-,5,6,-,13,11,15,-,-,7,31,98
II (Cagayan Valley),Palanan,-,-,-,-,-,-,-,-,-,-,-,-,-,-
II (Cagayan Valley),Tuguegarao,Air Philippines,1469,1551,1858,1873,-,1540,1936,-,-,-,-,1721,11948
II (Cagayan Valley),Tuguegarao,Chemtrad,758,615,834,-,-,869,563,-,-,-,-,803,4442
II (Cagayan Valley),Tuguegarao,Aboitiz,-,-,-,1002,-,-,-,-,-,-,-,-,1002
II (Cagayan Valley),Tuguegarao,G. Aviation,6,107,94,-,-,48,34,-,-,-,-,22,311
III (Central Luzon),Iba,Military,-,-,-,83,-,-,-,-,-,-,-,-,83
III (Central Luzon),Iba,G. Aviation,-,120,337,130,161,25,9,44,28,32,87,56,1029
III (Central Luzon),Iba,Military,-,-,-,53,-,-,150,-,-,-,-,-,203
III (Central Luzon),Subic,International,4004,5110,-,-,-,-,-,-,-,-,3072,2819,15005
III (Central Luzon),Subic,Domestic,2007,1766,-,-,-,-,-,-,-,-,1544,1423,6740
III (Central Luzon),Clark,International,-,-,-,-,-,-,-,-,-,-,-,-,-
