date,adp,obligation,particulars
5/9/2013,Professional skills development for indigent but deserving college students of Cotabato City,5000,"Antonio R. Pacheco College, Inc., 1 scholar"
5/9/2013,Professional skills development for indigent but deserving college students of Cotabato City,5000,"Headstart College of Cotabato, 1 scholar"
5/9/2013,Professional skills development for indigent but deserving college students of Cotabato City,61800,"Cotabato City State Polytechnic College, 19 scholars"
5/9/2013,Professional skills development for indigent but deserving college students of Cotabato City,421000,"Notre Dame University, 41 scholars"
5/9/2013,Professional skills development for indigent but deserving college students of Cotabato City,10120,"STI College, Cotabato, 2 scholars"
5/10/2013,Professional skills development for indigent but deserving college students of Cotabato City,6970,"Shariff Kabunsuan College, Inc., 1 scholar"
10/1/2013,Professional skills development for indigent but deserving college students of Cotabato City,38872.98,"Notre Dame-RVMCC, 3 scholars for SY2013-2014"
10/1/2013,Professional skills development for indigent but deserving college students of Cotabato City,25115,"STI College, Cotabato, 6 scholars"
10/1/2013,Professional skills development for indigent but deserving college students of Cotabato City,5000,"Notre Dame Hospital and School of Midwifery, 1 scholar"
10/1/2013,Professional skills development for indigent but deserving college students of Cotabato City,586000,"NDU, Scholarship, 54 scholars"
10/1/2013,Professional skills development for indigent but deserving college students of Cotabato City,5000,"Headstart College of Cotabato, 1 scholar"
10/1/2013,Professional skills development for indigent but deserving college students of Cotabato City,7370,"Sharif Kabunsuan College, Inc., 1 scholar"
10/1/2013,Professional skills development for indigent but deserving college students of Cotabato City,140862.02,"Guiamel Marawiya, et al., 21 scholars"
10/1/2013,Professional skills development for indigent but deserving college students of Cotabato City,70780,"Cotabato City State Polythecnic College, 17 scholars"
7/2/2013,Rehabilitation of road leading to the solid waste management facility,1400000,"EAA Sand and Gravel Supply, Earth fill"
5/31/2013,Strenthening the perimeter dike system of the solida waste management facility in Biniruan,2845144,"EAA Sand and Gravel Supply, Filling mats"
5/31/2013,Strenthening the perimeter dike system of the solida waste management facility in Biniruan,396000,"MGC Reen Petron Servic Center, Gas"
7/8/2013,"Upgrading, Rehabilitation of city slaughterhouse, slaughtering equipment, and facilities",140040,"Nords and Ryan Metal Works, Construction mat"
7/8/2013,"Upgrading, Rehabilitation of city slaughterhouse, slaughtering equipment, and facilities",9482,"BRE Construction, Construction mat"
7/8/2013,"Upgrading, Rehabilitation of city slaughterhouse, slaughtering equipment, and facilities",74150,"Tato Lumberyard, Lumber mat"
7/8/2013,"Upgrading, Rehabilitation of city slaughterhouse, slaughtering equipment, and facilities",65359,"Cotabato Metropolitan Hardware Inc., Construction Mat"
7/8/2013,"Upgrading, Rehabilitation of city slaughterhouse, slaughtering equipment, and facilities",52108,"Cotabato Metropolitan Hardware Inc., Construction Mat"
7/8/2013,"Upgrading, Rehabilitation of city slaughterhouse, slaughtering equipment, and facilities",38000,"Nords and Ryan Metal Works, Job order for the repair of equipment"
7/8/2013,"Upgrading, Rehabilitation of city slaughterhouse, slaughtering equipment, and facilities",15360,"Cotabato Metropolitan Hardware Inc., Construction mat"
7/8/2013,"Upgrading, Rehabilitation of city slaughterhouse, slaughtering equipment, and facilities",11570,"Edison Besinio, et al., Services Rendered, September 2013"
7/8/2013,"Upgrading, Rehabilitation of city slaughterhouse, slaughtering equipment, and facilities",13055,"Edison Besinio, et al., Services Rendered, October 2013"
7/2/2013,Establishment of livestock and poultry production distribution center,34282,"Pacifica Agrivet Supplies, Medicines"
