year,total_investigation_handled,investigation_referrals_received,completed_investigation_cases_parole,completed_investigation_cases_commutation_of_sentence,completed_investigation_cases_conditional_pardon,completed_investigation_cases_absolute_pardon,completed_investigation_cases_others,completed_investigation_cases_total,completed_investigation_cases_completion_rate_in_percent
1991,436,436,0,0,0,0,0,0,0
1992,2374,1938,1093,107,285,26,384,1895,79.82
1993,1970,1697,1062,225,351,21,149,1808,91.78
1994,1686,1548,1083,234,138,18,155,1628,96.56
1995,1873,1816,1117,290,191,41,116,1755,93.7
1996,2090,1972,1236,344,196,93,26,1895,90.67
1997,1503,1409,1004,200,129,24,31,1388,92.35
1998,1344,1287,890,209,122,13,48,1282,95.39
1999,1381,1333,795,314,99,8,62,1278,92.54
2000,1099,1004,625,149,85,7,33,899,81.8
2001,868,692,523,59,38,4,71,695,80.07
2002,1657,1496,1040,268,126,5,58,1497,90.34
2003,1817,1678,1072,191,85,4,57,1409,77.54
2004,1679,1362,1154,69,34,3,135,1395,83.08
2005,1398,1135,1022,85,43,0,91,1241,88.77
2006,1393,1254,845,307,33,7,115,1307,93.83
2007,1357,1272,894,346,32,8,42,1322,97.42
2008,1213,1161,796,255,27,6,28,1112,91.67
2009,1140,1073,715,283,23,3,38,1062,93.16
2010,1207,1144,863,258,5,2,16,1144,94.78
2011,4621,4601,1832,1368,95,12,1288,4595,99.44
2012,2115,1766,495,1060,60,5,293,1913,90.45
2013,3979,3204,1340,1912,44,1,318,3615,90.85
Total/ Average ,40200,36278,21496,8533,2241,311,3554,36135,86.35
