stock_number,name_and_description_of_article,unit,quantity,estimated_cost ,abc,catcom_marketing,milco_malcolm_marketing,lowest _alculated_responsive_bid,amount
1,Self-Contained Breathing Apparatus (SCBA) 45 Min 6.8L Carbon Cylinder,units,2,175700,351400,144000,125880,catcom marketing,-
-,Total Approved Budget for the Contract,-,-,-,-,-,-,-,351400
