region,division,gender,enrollment_2012,enrollment_2011,enrollment_2010,enrollment_2009,enrollment_2008,enrollment_2007,enrollment_2006,enrollment_2005
XIII (Caraga),Agusan del Norte,Male,9615,9656,9271,8799,8437,7658,7286,6936
XIII (Caraga),Agusan del Norte,Female,9659,9389,8954,8458,8547,8024,7984,7847
XIII (Caraga),Agusan del Sur,Total,40822,40692,40985,39995,39174,37939,37201,36877
XIII (Caraga),Agusan del Sur,Male,19397,19569,19744,19099,18581,17817,17349,17110
XIII (Caraga),Agusan del Sur,Female,21425,21123,21241,20896,20593,20122,19852,19767
XIII (Caraga),Butuan City,Total,22796,22052,21758,21224,20500,19396,19378,19745
XIII (Caraga),Butuan City,Male,11108,10967,10739,10517,9869,9195,9037,9136
XIII (Caraga),Butuan City,Female,11688,11085,11019,10707,10631,10201,10341,10609
XIII (Caraga),Siargao,Total,8488,8527,8398,8204,8160,8018,7588,7595
XIII (Caraga),Siargao,Male,4188,4216,4085,3997,3998,3934,3613,3649
XIII (Caraga),Siargao,Female,4300,4311,4313,4207,4162,4084,3975,3946
XIII (Caraga),Surigao City,Total,7430,7155,6913,6428,6534,6265,6007,5694
XIII (Caraga),Surigao City,Male,3712,3594,3499,3255,3347,3158,2972,2726
XIII (Caraga),Surigao City,Female,3718,3561,3414,3173,3187,3107,3035,2968
XIII (Caraga),Surigao del Norte,Total,17124,16763,16596,16648,16861,16627,24313,24599
XIII (Caraga),Surigao del Norte,Male,8465,8275,8261,8321,8372,8251,11864,11854
XIII (Caraga),Surigao del Norte,Female,8659,8488,8335,8327,8489,8376,12449,12745
XIII (Caraga),Surigao del Sur,Total,30317,30489,30322,30043,30571,28676,27899,28368
XIII (Caraga),Surigao del Sur,Male,14845,15051,14961,14744,15039,13785,13167,13280
XIII (Caraga),Surigao del Sur,Female,15472,15438,15361,15299,15532,14891,14732,15088
XIII (Caraga),Bislig City,Total,5501,5455,5824,6451,6438,6206,6486,6766
XIII (Caraga),Bislig City,Male,2763,2779,2940,3271,3196,3074,3105,3309
XIII (Caraga),Bislig City,Female,2738,2676,2884,3180,3242,3132,3381,3457
XIII (Caraga),Dinagat Island,Total,7998,8087,8105,7896,8080,7845,0,0
XIII (Caraga),Dinagat Island,Male,4030,4066,4152,4018,4053,3922,0,0
XIII (Caraga),Dinagat Island,Female,3968,4021,3953,3878,4027,3923,0,0
XIII (Caraga),Subtotal,Total,159750,158265,157126,154146,153302,146654,144142,144427
XIII (Caraga),Subtotal,Male,78123,78173,77652,76021,74892,70794,68393,68000
XIII (Caraga),Subtotal,Female,81627,80092,79474,78125,78410,75860,75749,76427
ARMM (Autonomous Region in Muslim Mindanao),Maguindanao II,Total,15294,14773,13907,0,0,0,0,0
ARMM (Autonomous Region in Muslim Mindanao),Maguindanao II,Male,6727,6518,6134,0,0,0,0,0
ARMM (Autonomous Region in Muslim Mindanao),Maguindanao II,Female,8567,8255,7773,0,0,0,0,0
ARMM (Autonomous Region in Muslim Mindanao),Basilan,Total,6237,6167,6016,5678,5713,5295,8201,8204
ARMM (Autonomous Region in Muslim Mindanao),Basilan,Male,2512,2574,2545,2531,2535,2345,3736,3784
ARMM (Autonomous Region in Muslim Mindanao),Basilan,Female,3725,3593,3471,3147,3178,2950,4465,4420
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur - IA,Total,17261,21201,18213,19363,17885,35688,33914,33154
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur - IA,Male,7250,9013,7917,8368,7758,14781,14526,14627
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur - IA,Female,10011,12188,10296,10995,10127,20907,19388,18527
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur - IIA,Total,17943,23294,23813,22622,19871,33297,29867,0
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur - IIA,Male,7008,9216,9545,9227,7930,13838,12304,0
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur - IIA,Female,10935,14078,14268,13395,11941,19459,17563,0
ARMM (Autonomous Region in Muslim Mindanao),Maguindanao I,Total,21129,20401,18605,30953,16911,16287,24968,22515
ARMM (Autonomous Region in Muslim Mindanao),Maguindanao I,Male,9680,9505,9089,14549,8410,8229,12038,10786
ARMM (Autonomous Region in Muslim Mindanao),Maguindanao I,Female,11449,10896,9516,16404,8501,8058,12930,11729
ARMM (Autonomous Region in Muslim Mindanao),Sulu I,Total,15343,14790,14256,13448,13533,13178,12959,9668
ARMM (Autonomous Region in Muslim Mindanao),Sulu I,Male,6483,6233,6114,5887,5959,5915,5814,4274
ARMM (Autonomous Region in Muslim Mindanao),Sulu I,Female,8860,8557,8142,7561,7574,7263,7145,5394
ARMM (Autonomous Region in Muslim Mindanao),Tawi-Tawi,Total,10837,16072,15769,13251,12141,10743,10930,10278
ARMM (Autonomous Region in Muslim Mindanao),Tawi-Tawi,Male,5148,7720,7443,6260,5727,5110,5155,4887
ARMM (Autonomous Region in Muslim Mindanao),Tawi-Tawi,Female,5689,8352,8326,6991,6414,5633,5775,5391
ARMM (Autonomous Region in Muslim Mindanao),Marawi City,Total,5756,5496,9648,8729,7474,8114,9085,9140
ARMM (Autonomous Region in Muslim Mindanao),Marawi City,Male,2395,2252,3948,3982,3272,3758,4201,4071
ARMM (Autonomous Region in Muslim Mindanao),Marawi City,Female,3361,3244,5700,4747,4202,4356,4884,5069
ARMM (Autonomous Region in Muslim Mindanao),Sulu II,Total,5231,5229,4762,5752,5752,5641,5590,4663
ARMM (Autonomous Region in Muslim Mindanao),Sulu II,Male,2144,2205,2072,2514,2514,2531,2563,2158
ARMM (Autonomous Region in Muslim Mindanao),Sulu II,Female,3087,3024,2690,3238,3238,3110,3027,2505
ARMM (Autonomous Region in Muslim Mindanao),Shariff Kabunsuan,Total,0,0,0,0,13025,11889,0,0
ARMM (Autonomous Region in Muslim Mindanao),Shariff Kabunsuan,Male,0,0,0,0,5786,5309,0,0
ARMM (Autonomous Region in Muslim Mindanao),Shariff Kabunsuan,Female,0,0,0,0,7239,6580,0,0
ARMM (Autonomous Region in Muslim Mindanao),Lamitan City,Total,3512,3617,3511,3441,3212,3067,0,0
ARMM (Autonomous Region in Muslim Mindanao),Lamitan City,Male,1560,1638,1622,1622,1537,1451,0,0
ARMM (Autonomous Region in Muslim Mindanao),Lamitan City,Female,1952,1979,1889,1819,1675,1616,0,0
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur - IB,Total,19299,20664,20862,19987,20060,0,0,0
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur - IB,Male,8055,8431,8667,7917,8184,0,0,0
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur - IB,Female,11244,12233,12195,12070,11876,0,0,0
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur - IIB,Total,22259,22778,28053,27106,20277,0,0,0
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur - IIB,Male,8946,9405,12004,11689,8645,0,0,0
ARMM (Autonomous Region in Muslim Mindanao),Lanao del Sur - IIB,Female,13313,13373,16049,15417,11632,0,0,0
ARMM (Autonomous Region in Muslim Mindanao),ARMM,Total,160101,174482,177415,170330,155854,143199,135514,97622
ARMM (Autonomous Region in Muslim Mindanao),ARMM,Male,67908,74710,77100,74546,68257,63267,60337,44587
ARMM (Autonomous Region in Muslim Mindanao),ARMM,Female,92193,99772,100315,95784,87597,79932,75177,53035
CAR (Cordillera Administrative Region),Abra,Total,11329,11054,11087,11217,11701,11321,11321,11481
CAR (Cordillera Administrative Region),Abra,Male,5852,5680,5703,5730,6017,5737,5676,5683
CAR (Cordillera Administrative Region),Abra,Female,5477,5374,5384,5487,5684,5584,5645,5798
CAR (Cordillera Administrative Region),Apayao,Total,7154,6947,6712,6241,6336,5790,5654,5374
CAR (Cordillera Administrative Region),Apayao,Male,3592,3462,3419,3121,3147,2900,2758,2586
CAR (Cordillera Administrative Region),Apayao,Female,3562,3485,3293,3120,3189,2890,2896,2788
CAR (Cordillera Administrative Region),Benguet,Total,18368,17768,18063,18106,18699,18334,18208,18478
CAR (Cordillera Administrative Region),Benguet,Male,8878,8563,8706,8672,9013,8758,8576,8631
CAR (Cordillera Administrative Region),Benguet,Female,9490,9205,9357,9434,9686,9576,9632,9847
CAR (Cordillera Administrative Region),Ifugao,Total,9095,8927,9136,9303,9504,9437,9528,9435
CAR (Cordillera Administrative Region),Ifugao,Male,4018,3935,4088,3999,4085,3973,3991,3897
CAR (Cordillera Administrative Region),Ifugao,Female,5077,4992,5048,5304,5419,5464,5537,5538
CAR (Cordillera Administrative Region),Kalinga,Total,12161,12529,12566,12736,12855,12322,11750,11581
CAR (Cordillera Administrative Region),Kalinga,Male,6052,6157,6141,6118,6083,5820,5407,5268
CAR (Cordillera Administrative Region),Kalinga,Female,6109,6372,6425,6618,6772,6502,6343,6313
CAR (Cordillera Administrative Region),Mt. Province,Total,10088,10017,10203,10073,10719,10641,10829,10978
CAR (Cordillera Administrative Region),Mt. Province,Male,5136,5069,5130,5059,5336,5244,5349,5335
CAR (Cordillera Administrative Region),Mt. Province,Female,4952,4948,5073,5014,5383,5397,5480,5643
CAR (Cordillera Administrative Region),Baguio City,Total,19238,19226,19050,19035,19523,19160,19768,19927
CAR (Cordillera Administrative Region),Baguio City,Male,9379,9510,9408,9328,9618,9394,9574,9488
CAR (Cordillera Administrative Region),Baguio City,Female,9859,9716,9642,9707,9905,9766,10194,10439
CAR (Cordillera Administrative Region),Subtotal,Total,87433,86468,86817,86711,89337,87005,87058,87254
CAR (Cordillera Administrative Region),Subtotal,Male,42907,42376,42595,42027,43299,41826,41331,40888
CAR (Cordillera Administrative Region),Subtotal,Female,44526,44092,44222,44684,46038,45179,45727,46366
NCR (National Capital Region),City of San Juan,Total,3181,3146,3258,3522,0,0,0,0
NCR (National Capital Region),City of San Juan,Male,1641,1585,1649,1815,0,0,0,0
NCR (National Capital Region),City of San Juan,Female,1540,1561,1609,1707,0,0,0,0
NCR (National Capital Region),Navotas,Total,13686,14055,14200,0,0,0,0,0
NCR (National Capital Region),Navotas,Male,6846,7161,7148,0,0,0,0,0
NCR (National Capital Region),Navotas,Female,6840,6894,7052,0,0,0,0,0
NCR (National Capital Region),Manila,Total,91007,91907,93965,93479,96744,91100,93486,92950
NCR (National Capital Region),Manila,Male,44167,44900,46010,45894,47233,44288,45413,44960
NCR (National Capital Region),Manila,Female,46840,47007,47955,47585,49511,46812,48073,47990
NCR (National Capital Region),Quezon City,Total,151856,151698,153568,151354,150515,143175,140489,137368
NCR (National Capital Region),Quezon City,Male,75490,75745,76443,75628,75005,71157,69437,67327
NCR (National Capital Region),Quezon City,Female,76366,75953,77125,75726,75510,72018,71052,70041
NCR (National Capital Region),Pasay City,Total,20251,20796,21192,21284,21805,21393,21707,21233
NCR (National Capital Region),Pasay City,Male,10225,10530,10783,10832,11075,10762,10881,10534
NCR (National Capital Region),Pasay City,Female,10026,10266,10409,10452,10730,10631,10826,10699
NCR (National Capital Region),Caloocan City,Total,90811,89942,88949,87091,85782,81955,81773,79441
NCR (National Capital Region),Caloocan City,Male,45391,45058,44607,43838,43098,40838,40567,39264
NCR (National Capital Region),Caloocan City,Female,45420,44884,44342,43253,42684,41117,41206,40177
NCR (National Capital Region),Mandaluyong City,Total,18625,17857,16835,16270,16148,15050,14745,13792
NCR (National Capital Region),Mandaluyong City,Male,9545,9081,8488,8141,8077,7580,7478,6922
NCR (National Capital Region),Mandaluyong City,Female,9080,8776,8347,8129,8071,7470,7267,6870
NCR (National Capital Region),Marikina City,Total,27296,26817,26617,26276,26737,25069,24021,23122
NCR (National Capital Region),Marikina City,Male,13490,13292,13234,13077,13227,12373,11841,11350
NCR (National Capital Region),Marikina City,Female,13806,13525,13383,13199,13510,12696,12180,11772
NCR (National Capital Region),Makati City,Total,33874,33362,32669,31994,31292,28756,27909,27305
NCR (National Capital Region),Makati City,Male,16891,16647,16118,15719,15316,14061,13885,13632
NCR (National Capital Region),Makati City,Female,16983,16715,16551,16275,15976,14695,14024,13673
NCR (National Capital Region),Pasig City,Total,45702,44169,44183,44295,47860,45516,42990,41231
NCR (National Capital Region),Pasig City,Male,22818,21955,21897,21929,23713,22597,21279,20520
NCR (National Capital Region),Pasig City,Female,22884,22214,22286,22366,24147,22919,21711,20711
NCR (National Capital Region),Paranaque City,Total,31125,29810,29801,28891,29057,26843,26591,25478
NCR (National Capital Region),Paranaque City,Male,15367,14736,14701,14282,14238,12992,12892,12266
NCR (National Capital Region),Paranaque City,Female,15758,15074,15100,14609,14819,13851,13699,13212
NCR (National Capital Region),Las Pinas City,Total,31535,31506,30065,29296,28858,27073,26200,25102
NCR (National Capital Region),Las Pinas City,Male,15449,15665,14760,14448,14152,12844,12746,11991
NCR (National Capital Region),Las Pinas City,Female,16086,15841,15305,14848,14706,14229,13454,13111
NCR (National Capital Region),Valenzuela City,Total,39414,38144,37205,35781,34217,31959,30355,29389
NCR (National Capital Region),Valenzuela City,Male,19992,19266,18643,17930,17246,16013,15101,14451
NCR (National Capital Region),Valenzuela City,Female,19422,18878,18562,17851,16971,15946,15254,14938
NCR (National Capital Region),Malabon City,Total,20883,20994,20498,34589,34353,32754,32436,31329
NCR (National Capital Region),Malabon City,Male,10337,10389,10153,17256,17034,16271,16135,15397
NCR (National Capital Region),Malabon City,Female,10546,10605,10345,17333,17319,16483,16301,15932
NCR (National Capital Region),Taguig,Total,38251,37074,36630,35264,35025,33826,33565,31839
NCR (National Capital Region),Taguig,Male,19345,18762,18638,17753,17581,16987,16995,16006
NCR (National Capital Region),Taguig,Female,18906,18312,17992,17511,17444,16839,16570,15833
NCR (National Capital Region),Muntinlupa City,Total,23159,22960,22827,22567,22626,20924,21211,20554
NCR (National Capital Region),Muntinlupa City,Male,11507,11492,11233,11177,11171,10202,10307,9911
NCR (National Capital Region),Muntinlupa City,Female,11652,11468,11594,11390,11455,10722,10904,10643
NCR (National Capital Region),Subtotal,Total,680656,674237,672462,661953,661019,625393,617478,600133
NCR (National Capital Region),Subtotal,Male,338501,336264,334505,329719,328166,308965,304957,294531
NCR (National Capital Region),Subtotal,Female,342155,337973,337957,332234,332853,316428,312521,305602
National Grand total,National Grand total,Total,5641898,5576268,5527635,5415498,5378756,5126459,5026823,4919346
National Grand total,National Grand total,Male,2789174,2760434,2740362,2677708,2640032,2501525,2433919,2369610
National Grand total,National Grand total,Female,2852724,2815834,2787273,2737790,2738724,2624934,2592904,2549736
,,,,,,,,,,
Department of Education,,,,,,,,,,
Enhanced Basic Education Information System,,,,,,,,,,
Multi-Year Performance Indicators,,,,,,,,,,
Total School Enrollment,,,,,,,,,,
Public Secondary Schools,,,,,,,,,,
Aggregated by: Division,,,,,,,,,,
