program_project_1,program_project_2,program_project_3,appropriation,disbursement,percent_accomplishment,remarks,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall Brgy. Ilaya, Balud, Masbate",-,740000,90%,-,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall Bldg. Annex Brgy. Pating Market Site, Masbate City",-,1976589.99,100%,-,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall Brgy. Tan-awan, Placer, Masbate",-,601673,100%,-,,
Economic Development Program,Infrastructure Development,"Concreting Brgy. Road, Brgy. Jintotolo, Balud, Masbate",-,365718,50%,-,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall Brgy. Libas, Placer, Masbate",-,601673,100%,-,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall Brgy. Luna, Placer, Masbate",-,605630,100%,-,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall Brgy. Nabuktot, Placer, Masbate",-,605941,100%,-,,
Economic Development Program,Infrastructure Development,"Improvement of Masbate Social Center Permiter Fence, Masbate City",-,579050,100%,-,,
Economic Development Program,Infrastructure Development,"PR Const. of Conrete Spillway of Labang Taytay, Esperanza, Masbate",-,1076422,-,-,,
Economic Development Program,Infrastructure Development,"Const. of Sea Wall, San Andres, Balud, Masbate",-,617015,50%,-,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall Brgy. Tabuc, Placer, Masbate",-,601673,100%,-,,
Economic Development Program,Infrastructure Development,"Liga Multi Purpose San Pascual, Masbate",-,1694959,100%,-,,
Economic Development Program,Infrastructure Development,"Improvement of Perimeter Fence & Plaza, Talisay, Balud, Masbate City",-,435900,100%,-,,
Economic Development Program,Infrastructure Development,"Road Opening of Villaganas-Panan-awan, Brgy. Road, Cawayan, Masbate",-,5968997,50%,-,,
Economic Development Program,Infrastructure Development,"Const. of Spillway, Jangan, Balud, Masbate",-,593307,50%,-,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall Brgy. Poblacion, Balud, Masbate",-,1698000,90%,-,,
Economic Development Program,Infrastructure Development,"Multi Purpose Hall Brgy. Villa Inocencio, Balud, Masbate",-,980463,100%,-,,
Economic Development Program,Infrastructure Development,"PR Multi Purpose Hall & Women Center, Poblacion Centro, San Pascual, Masbate",-,770000,-,-,,
Economic Development Program,Infrastructure Development,"Const. of Stage at Brgy. Quibrada, Placer, Masbate",-,198500,100%,-,,
Economic Development Program,Infrastructure Development,"PR Const. of Public Toilet at Centro Poblacion, Don Pedro Dela Rosa, Aroroy, Masbate",-,20000,-,-,,
Economic Development Program,Infrastructure Development,"PR Const. of Public Toilet at Brgy. Plaza, Aroroy, Masbate",-,20000,-,-,,
