projects_1,projects_2,appropriation,obligation,balance
Social Development Program,Construction or Rehabilitation of Water supply system,1000000,-,1000000
Social Development Program,"Construction of New Provincial Hospital Building (Third and Fourth Floor) Phase III, Masbate City",70000000,39949414.49,30050585.51
Social Development Program,"Construction of Masbate Convention Center Phase II, Masbate City",35000000,-,35000000
Economic Development Program,Infrastructure Development,8387651,663439.7,7724211.3
Economic Development Program,Livelihood or Entrepreneurship Development Program,8000000,-,8000000
Economic Development Program,Loan Amortization of Heavy Equipment used for Infra Projects,25500000,18797604.63,6702395.37
Economic Development Program,"Concreting of Lagundi Roadm Batuan, Masbate",25000000,24850005.73,149994.27
Total,Total,172887651,84260464.55,88627186.45
