projects_1,projects_2,appropriation,obligation,balance
Social Development Program,Construction or Rehab of Water supply system,1000000,-,1000000
Social Development Program,"Construction of New Provincial Hospital Building (Third and Fourth Floor) Phase III, Masbate City",70000000,39949414.49,30050585.51
Social Development Program,"Construction of Masbate Convention Center Phase II, Masbate City",35000000,-,35000000
Economic Development Program,Infrastructure Development,8387651,-,8387651
Economic Development Program,Livelihood or Entrepreneurship Dev't Program,8000000,-,8000000
Economic Development Program,Loan Amortization of Heavy Equipment used for Infra Projects,25500000,13038698.14,12461301.86
Economic Development Program,"Concreting of Lagundi Roadm Batuan, Masbate",25000000,24850005.73,1499994.27
Total,Total,172887651,77838118.36,95049532.64
