projects_1,projects_2,appropriation,obligation,balance
Social Development Program,Construction or Rehab of Water supply system,1000000,7540,992460
Social Development Program,"Construction of New Provincial Hospital Building (Third and Fourth Floor) Phase III, Masbate City",70000000,69899393.9,100606.1
Social Development Program,"Construction of Masbate Convention Center Phase II, Masbate City",35000000,19494501.75,15050498.25
Economic Development Program,Infrastructure Development,8387651,1187105.15,7200545.85
Economic Development Program,Livelihood or Entrepreneurship Development Program,8000000,225000,7775000
Economic Development Program,Loan Amortization of Heavy Equipment used for Infra Projects,25500000,25500000,-
Economic Development Program,"Concreting of Lagundi Roadm Batuan, Masbate",25000000,24850005.73,149994.27
Total,Total,172887651,141618546.5,31269104.47
