city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Bagumbayan,Mayor,"Bito-Onon, Bernardita Regla",Mambee,Liberal Party,13548
Bagumbayan,Vice-Mayor,"De Pedro, Jonalette Eson",Neneng,Liberal Party,14976
Bagumbayan,Councilor,"Bito-Onon, Dexter Omega Regla",Nonoy,Liberal Party,10302
Bagumbayan,Councilor,"Asug, Esteban Dela Cruz",Steve,Liberal Party,8984
Bagumbayan,Councilor,"Bobon, Vilma Hallegado",Neneng,Liberal Party,8898
Bagumbayan,Councilor,"Catiwalaan, Justino Agan",Cati,United Nationalist Party,8537
Bagumbayan,Councilor,"Salazar, Richie Urdelas",Patit,Liberal Party,8095
Bagumbayan,Councilor,"Bulawan, Manuel Sr. Cepada",Gold,United Nationalist Party,7732
Bagumbayan,Councilor,"Dorin, Joenel Sorongon",Toto,Nationalista Party,7362
Bagumbayan,Councilor,"Segura, Ernesto Sr. Marmolejo",Buday,United Nationalist Party,7252
Columbio,Mayor,"Musali, Amirh Mangelen",Bing,United Nationalist Party,11019
Columbio,Vice-Mayor,"Bermudez, Edwin Flora",Sir Ed,United Nationalist Party,10737
Columbio,Councilor,"Mangudadatu, Tondatu Mamalinta",Dats,United Nationalist Party,9038
Columbio,Councilor,"Salendab, Sahali Ebus",Dammy,Independentependent,7711
Columbio,Councilor,"Bernardino, Nelia Clarin",Nel,United Nationalist Party,7688
Columbio,Councilor,"Llorito, Mary Ann Ayson",Ayson,United Nationalist Party,7405
Columbio,Councilor,"Rufino, John Jr. Fong",Violet,United Nationalist Party,7150
Columbio,Councilor,"Mangelen, Kentol Macongay",Tol,United Nationalist Party,7082
Columbio,Councilor,"Latip, Misuari Saligan",Uno,United Nationalist Party,6998
Columbio,Councilor,"Balilid, Santos Gialodin",Kalis,Independentependent,6451
Esperanza,Mayor,"Latog, Helen Tabigne",Helen,United Nationalist Party,14518
Esperanza,Vice-Mayor,"Plote, Felix Lirazan",Lex,United Nationalist Party,9487
