particulars,name_1,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,sw1
,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,DEPARTMENTS,337946995,176885527,144287631,0,0,0,19264138,14641353,2239914,318682857,162137829,142013717,0,106345,34000,0,0,0,1
,,,,,,,,,,,,,,,,,,,,
     Congress of the Philippines,     Congress of the Philippines,3311008,3810925,100000,0,0,0,203490,0,0,3107518,3810925,100000,0,0,0,0,0,0,1
          Senate,          Senate,1093719,1076038,0,0,0,0,62537,0,0,1031182,1076038,0,0,0,0,0,0,0,0
               Senate Electoral Tribunal,               Senate Electoral Tribunal,57671,34598,0,0,0,0,4672,0,0,52999,34598,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Commission on Appointments,          Commission on Appointments,117263,188233,0,0,0,0,8932,0,0,108331,188233,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          House of Representatives,          House of Representatives,1978837,2477663,100000,0,0,0,122290,0,0,1856547,2477663,100000,0,0,0,0,0,0,0
               House Electoral Tribunal,               House Electoral Tribunal,63518,34393,0,0,0,0,5059,0,0,58459,34393,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Office of the President,     Office of the President,1687913,2646127,32990,0,0,0,107654,0,0,1580259,2646127,32990,0,0,0,0,0,0,1
          The President's Offices,          The President's Offices,1687913,2646127,32990,0,0,0,107654,0,0,1580259,2646127,32990,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,     Office of the Vice-President,35902,151479,0,0,0,0,2359,0,0,33543,151479,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,     Department of Agrarian Reform,4079607,8910735,6729764,0,0,0,292330,0,0,3787277,8910735,6729764,0,0,0,0,0,0,1
          Office of the Secretary,          Office of the Secretary,4079607,8910735,6729764,0,0,0,292330,0,0,3787277,8910735,6729764,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,     Department of Agriculture,2900229,10487503,24440215,0,0,0,228914,254159,1445764,2671315,10227344,22960451,0,6000,34000,0,0,0,1
          Office of the Secretary,          Office of the Secretary,2069800,8199255,22350641,0,0,0,161542,150000,1350000,1908258,8049255,21000641,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Agricultural Credit Policy Council,          Agricultural Credit Policy Council,14897,7471,0,0,0,0,1123,0,0,13774,7471,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Fisheries and Aquatic Resources,          Bureau of Fisheries and Aquatic Resources,345459,1554576,1405602,0,0,0,28135,0,0,317324,1554576,1405602,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Bureau of Post-Harvest Research and Extension,          Bureau of Post-Harvest Research and Extension,53968,42087,15609,0,0,0,3688,0,0,50280,42087,15609,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Cotton Development Administration,          Cotton Development Administration,38585,7264,0,0,0,0,3202,0,0,35383,7264,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Fertilizer and Pesticide Authority,          Fertilizer and Pesticide Authority,26292,22980,44305,0,0,0,2190,0,0,24102,22980,44305,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Fiber Industry Development Authority,          Fiber Industry Development Authority,136167,68118,7265,0,0,0,11398,0,0,124769,68118,7265,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Livestock Development Council,          Livestock Development Council,7802,9255,0,0,0,0,610,0,0,7192,9255,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
