particular,A110,A112,A115,A120,A125,A130,A140,A200,A310,A315,A320,A325,A330,A335,A340,A345,A500,A800,A850,A855,A900,A910,Total
          National Security Council,"17,862",0,841,0,0,0,0,0,"2,145",0,84,0,180,0,84,0,"3,185","1,826",0,0,"2,057",0,"28,264"
          National Water Resources Board,"20,207",0,164,0,0,0,0,120,"2,427",0,116,0,227,0,116,0,704,"2,161",0,0,"2,902",0,"29,144"
          National Youth Commission,"15,036",0,0,0,0,0,0,0,"1,805",0,84,0,166,0,84,0,"1,697","1,604",0,0,"2,139",0,"22,615"
          Office on Muslim Affairs,"164,990",0,0,0,0,0,0,0,"19,800",0,967,0,"1,853",0,967,0,"10,779","17,768",0,0,"25,416",0,"242,540"
          Optical Media Board,"10,940",0,0,0,0,0,0,0,"1,313",0,68,0,127,0,68,0,"1,220","1,193",0,0,"1,708",0,"16,637"
          Philippine Drug Enforcement Agency,"151,954",0,0,0,0,0,0,0,"18,238",0,"1,135",0,"1,782",0,"1,135",0,"3,894","17,380",0,0,"28,747",0,"224,265"
          Philippine Racing Commission,"13,504",0,0,0,0,0,0,792,"1,622",0,88,0,154,0,88,0,648,"1,492",0,0,"2,224",0,"20,612"
          Philippine Sports Commission,"24,594",0,0,0,0,0,0,0,"2,953",0,164,0,280,0,164,0,"1,390","2,730",0,0,"4,143",0,"36,418"
          Presidential Commission for the Urban Poor,"28,113",0,"1,274",0,0,0,0,0,"3,374",0,163,0,326,0,163,0,"1,169","3,019",0,0,"4,121",0,"41,722"
          Presidential Legislative Liaison Office,"6,727",0,0,0,0,0,0,0,809,0,32,0,63,0,32,0,"1,404",692,0,0,798,0,"10,557"
          Presidential Management Staff,"61,447",0,"2,697",0,0,0,0,0,"7,377",0,341,0,655,0,341,0,"6,216","6,533",0,0,"8,616",0,"94,223"
          Securities and Exchange Commission,"132,554",0,0,0,0,0,0,0,"15,905",0,479,0,450,0,475,0,"5,174","13,034",0,0,"7,164",0,"175,235"
,,,,,,,,,,,,,,,,,,,,,,,
     Autonomous Region in Muslim Mindanao,"4,696,044",0,"116,016","3,316",0,0,0,540,"563,548",0,"33,858",0,"56,201",0,"33,858",0,"52,660","532,349",0,0,"886,039",0,"6,974,429"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Autonomous Regional Government in Muslim Mindanao,"4,696,044",0,"116,016","3,316",0,0,0,540,"563,548",0,"33,858",0,"56,201",0,"33,858",0,"52,660","532,349",0,0,"886,039",0,"6,974,429"
,,,,,,,,,,,,,,,,,,,,,,,
     Joint Legislative-Executive Councils,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Legislative-Executive Development Advisory Council,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
,,,,,,,,,,,,,,,,,,,,,,,
     The Judiciary,"5,588,247",0,"29,552","31,384",0,0,0,0,"674,909",0,"39,608",0,"61,489",0,"39,323",0,"588,247","630,692","496,932",0,"1,294,123",0,"9,474,506"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Supreme Court of the Philippines and the,,,,,,,,,,,,,,,,,,,,,,,
                Lower Courts,"5,097,637",0,"27,083",0,0,0,0,0,"615,765",0,"36,705",0,"56,316",0,"36,450",0,"534,590","577,727","437,914",0,"1,213,721",0,"8,633,908"
               Presidential Electoral Tribunal,"32,463",0,0,0,0,0,0,0,"3,896",0,182,0,356,0,178,0,"2,413","3,461",0,0,"4,612",0,"47,561"
          Sandiganbayan,"72,850",0,0,0,0,0,0,0,"8,788",0,464,0,789,0,460,0,"7,212","7,998","9,789",0,"13,038",0,"121,388"
          Court of Appeals,"337,282",0,"2,469",0,0,0,0,0,"40,677",0,"1,984",0,"3,511",0,"1,964",0,"39,092","36,372","45,300",0,"55,544",0,"564,195"
          Court of Tax Appeals,"48,015",0,0,"31,384",0,0,0,0,"5,783",0,273,0,517,0,271,0,"4,940","5,134","3,929",0,"7,208",0,"107,454"
,,,,,,,,,,,,,,,,,,,,,,,
     Civil Service Commission,"326,179",0,922,0,0,0,0,85,"39,049",0,"1,678",0,"3,559",0,"1,676",0,"41,190","34,088","7,380",0,"42,090",0,"497,896"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Civil Service Commission,"316,507",0,922,0,0,0,0,85,"37,886",0,"1,625",0,"3,450",0,"1,623",0,"39,836","33,065","7,380",0,"40,773",0,"483,152"
               Career Executive Service Board,"9,672",0,0,0,0,0,0,0,"1,163",0,53,0,109,0,53,0,"1,354","1,023",0,0,"1,317",0,"14,744"
,,,,,,,,,,,,,,,,,,,,,,,
     Commission on Audit,"2,504,205",0,0,0,0,0,0,0,"300,291",0,"18,295",0,"11,439",0,"5,517",0,"341,111","284,815","5,548",0,"400,780",0,"3,872,001"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,
     Commission on Elections,"931,230",0,"236,853",0,0,0,0,"2,514,657","111,517",0,"6,464",0,"10,971",0,"6,436",0,"1,195,011","104,512","29,909",0,"163,740",0,"5,311,300"
