Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
,,,,,,,,,,,,,
DEPARTMENTS,"87,561","853,018","690,519","5,358,815","15,457,097","8,702,495","250,175","5,748,912","6,914,185","147,102,983","1,295,459",0,"192,461,219"
,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,---------------
     Congress of the Philippines,0,0,0,0,0,"169,500",0,0,"20,325",0,0,0,"189,825"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Senate,0,0,0,0,0,0,0,0,"20,325",0,0,0,"20,325"
          House of Representatives,0,0,0,0,0,"169,500",0,0,0,0,0,0,"169,500"
,,,,,,,,,,,,,
     Office of the President,0,0,0,0,0,"44,170",0,"3,000","15,000",0,0,0,"62,170"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          The President's Offices,0,0,0,0,0,"44,170",0,"3,000","15,000",0,0,0,"62,170"
,,,,,,,,,,,,,
     Department of Agrarian Reform,0,0,0,"250,000","23,976","15,912",0,"9,600",0,"3,396,354",0,0,"3,695,842"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"250,000","23,976","15,912",0,"9,600",0,"3,396,354",0,0,"3,695,842"
,,,,,,,,,,,,,
     Department of Agriculture,0,"843,018","689,019","108,218","701,060","252,268","250,000","46,477","916,652","17,247,185",0,0,"21,053,897"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,"843,018","15,319","16,546","134,161","203,662","250,000","9,600","580,330","17,159,855",0,0,"19,212,491"
          Bureau of Fisheries and Aquatic Resources,0,0,0,"61,877","397,190","19,710",0,"7,650","219,495",0,0,0,"705,922"
          Bureau of Post-Harvest Research and Extension,0,0,0,150,0,0,0,0,"22,803",0,0,0,"22,953"
          Cotton Development Administration,0,0,0,0,0,0,0,"1,427",0,0,0,0,"1,427"
          Fertilizer and Pesticide Authority,0,0,0,0,0,295,0,0,"45,400",0,0,0,"45,695"
          Fiber Industry Development Authority,0,0,0,845,0,805,0,0,"2,060",0,0,0,"3,710"
          Livestock Development Council,0,0,0,0,0,459,0,0,0,0,0,0,459
          National Agricultural and Fishery Council,0,0,"491,200","28,800","14,709","16,050",0,"6,000","18,746","87,330",0,0,"662,835"
          National Meat Inspection Service,0,0,0,0,"11,000",600,0,0,"18,600",0,0,0,"30,200"
          Philippine Carabao Center,0,0,"182,500",0,"144,000","10,687",0,"21,800","9,218",0,0,0,"368,205"
,,,,,,,,,,,,,
     Department of Budget and Management,0,0,0,0,"126,443","90,763",0,"10,500",0,0,0,0,"227,706"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"126,443","90,763",0,"10,500",0,0,0,0,"227,706"
,,,,,,,,,,,,,
     Department of Education,0,0,0,"68,000","4,903,500","3,361,020",0,"4,800","500,000",0,0,0,"8,837,320"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"68,000","4,878,500","3,360,525",0,0,"500,000",0,0,0,"8,807,025"
          National Book Development Board,0,0,0,0,0,200,0,800,0,0,0,0,"1,000"
          National Council for Children's Television,0,0,0,0,0,295,0,0,0,0,0,0,295
          National Museum,0,0,0,0,"25,000",0,0,0,0,0,0,0,"25,000"
          Philippine High School for the Arts,0,0,0,0,0,0,0,"4,000",0,0,0,0,"4,000"
,,,,,,,,,,,,,
     State Universities and Colleges,"45,789",0,"1,500","112,134","1,580,852","1,122,428",175,"13,000","48,276",312,"2,112",0,"2,926,578"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          National Capital Region,0,0,0,"75,000","1,104,014","906,931",0,"1,000","11,586",0,0,0,"2,098,531"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,
                     Science and Technology,0,0,0,0,0,"3,012",0,0,0,0,0,0,"3,012"
               Marikina Polytechnic College,0,0,0,0,0,"2,426",0,0,586,0,0,0,"3,012"
               Philippine Normal University,0,0,0,0,"15,000","3,012",0,0,0,0,0,0,"18,012"
               Philippine State College of Aeronautics,0,0,0,0,0,"3,012",0,0,0,0,0,0,"3,012"
               Polytechnic University of the Philippines,0,0,0,0,"9,000","6,512",0,0,0,0,0,0,"15,512"
               Rizal Technological University,0,0,0,0,0,"3,012",0,0,0,0,0,0,"3,012"
               Technological University of the Philippines,0,0,0,0,0,"3,012",0,0,0,0,0,0,"3,012"
               University of the Philippines System,0,0,0,"75,000","1,080,014","882,933",0,"1,000","11,000",0,0,0,"2,049,947"
,,,,,,,,,,,,,
          Region I - ILOCOS,0,0,0,"2,000",0,"13,060",0,0,0,0,0,0,"15,060"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Don Mariano Marcos Memorial State University,0,0,0,0,0,"3,012",0,0,0,0,0,0,"3,012"
               Ilocos Sur Polytechnic State College,0,0,0,"2,000",0,"1,012",0,0,0,0,0,0,"3,012"
