particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
           State University (DHVCAT),76332,11042,4861,76013,10482,3012,77615,10658,0,,
        Nueva Ecija University of Science and Technology,133796,23023,1344,138696,25481,3012,138132,24994,0,,
        Pampanga Agricultural College,75601,13047,1803,73755,14348,16012,75852,8456,0,,
        Philippine Merchant Marine Academy,51514,33599,4328,53813,38669,13012,54217,37669,0,,
        Ramon Magsaysay Technological University,76535,34622,2988,74398,32284,3012,74645,14656,0,,
        Tarlac College of Agriculture,77565,7423,9261,79268,9443,8012,80225,8499,0,,
        Tarlac State University,94402,19482,2624,99394,21201,3012,99148,20327,0,,
,,,,,,,,,,,
     Region IV-A - CALABARZON,657920,114040,5452,716117,201160,30073,721381,179179,0,1,
        Batangas State University,129031,28944,400,154624,62160,3012,155956,54684,0,,
        Cavite State University,127761,19532,0,154461,31351,4012,155201,30372,0,,
        Laguna State Polytechnic University,,,,,,,,,,,
           (Laguna State Polytechnic College),121955,26419,1990,126462,28042,11012,128038,24338,0,,
        Southern Luzon State University,,,,,,,,,,,
           (Southern Luzon Polytechnic College),104645,17823,1640,100771,40164,6012,101223,35186,0,,
        University of Rizal System,174528,21322,1422,179799,39443,6025,180963,34599,0,,
,,,,,,,,,,,
     Region IV-B - MIMAROPA,454663,75252,23014,468940,105463,18072,483134,74846,0,1,
        Marinduque State College,41663,14597,6965,44591,9915,3012,46626,9604,0,,
        Mindoro State College of Agriculture,,,,,,,,,,,
           and Technology,56805,6209,4209,58549,7503,3012,60654,5853,0,,
        Occidental Mindoro State College,,,,,,,,,,,
           (Occidental Mindoro National College),73450,12692,2212,76829,12176,3012,79006,10058,0,,
        Palawan State University,125661,16534,5024,124901,42581,3012,130916,30172,0,,
        Romblon State University (Romblon,,,,,,,,,,,
           State College),81105,11461,2853,81853,10930,3012,83641,8937,0,,
        Western Philippines University,75979,13759,1751,82217,22358,3012,82291,10222,0,,
,,,,,,,,,,,
     Region V - BICOL,858271,149539,156638,920230,243495,142319,937823,164841,0,1,
        Bicol University,287525,54842,77100,300651,100381,71012,303078,66165,0,,
        Camarines Norte State College,88201,11179,2372,95544,11620,3012,98446,10092,0,,
        Camarines Sur Polytechnic Colleges,57444,10181,0,68081,29356,3012,69644,23127,0,,
        Central Bicol State University of,,,,,,,,,,,
           Agriculture  (Camarines Sur State,,,,,,,,,,,
           Agricultural College),125019,20908,44771,134276,36603,43235,136823,16894,0,,
        Catanduanes State Colleges,129427,23159,14454,137906,20523,3012,140095,18917,0,,
"        Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,
           State College of Agriculture and Technology,28065,5253,3953,29084,7097,3012,29891,5487,0,,
        Partido State University,67466,15183,12283,78285,21242,13012,81152,9218,0,,
        Sorsogon State College,75124,8834,1705,76403,16673,3012,78694,14941,0,,
,,,,,,,,,,,
     Region VI - WESTERN VISAYAS,1185203,174605,24839,1218274,200961,47132,1247053,185562,0,1,
        Aklan State University,122298,11718,0,127122,22699,3012,131666,16149,0,,
        Capiz State University,177032,15373,0,179880,28253,9012,189884,24528,0,,
        Carlos C. Hilado Memorial State College,87133,10683,1915,88458,12527,4012,90163,12443,0,,
        Guimaras State College,20862,2109,1996,21092,3218,3012,21480,2515,0,,
        Iloilo State College of Fisheries,100164,12577,12402,109979,11015,4012,111907,9014,0,,
        Negros State College of Agriculture,28078,8538,850,28336,8644,4012,28955,8606,0,,
        Northern Iloilo Polytechnic State College,142778,13458,3012,142543,14568,3012,144115,17462,0,,
        Northern Negros State College of,,,,,,,,,,,
           Science and Technology,18940,3636,2009,18969,4990,3012,19620,3630,0,,
        University of Antique (Polytechnic,,,,,,,,,,,
           State College of Antique),69830,16061,636,74473,18501,3012,75988,11923,0,,
        Western Visayas College of Science,,,,,,,,,,,
           and Technology,141954,23660,197,145349,27027,3012,147558,23738,0,,
        West Visayas State University,276134,56792,1822,282073,49519,8012,285717,55554,0,,
,,,,,,,,,,,
     Region VII - CENTRAL VISAYAS,463261,62090,9013,494329,168390,50560,509203,134470,0,1,
        Cebu Normal University,51920,11746,0,57719,47833,6012,60843,37909,0,,
        Cebu Techhnological University (Cebu,,,,,,,,,,,
           State College of Science and Technology),197141,18332,2391,203677,40533,5012,209408,31080,0,,
        Central Visayas State College of,,,,,,,,,,,
"           Agriculture, Forestry and Technology",90392,13142,3012,96055,25065,4012,98252,23668,0,,
        Negros Oriental State University,,,,,,,,,,,
           (Central Visayas Polytechnic College),99507,15204,2972,113034,50056,6512,116042,38300,0,,
        Siquijor State College,24301,3666,638,23844,4903,29012,24658,3513,0,,
,,,,,,,,,,,
     Region VIII - EASTERN VISAYAS,1103247,131555,71809,1117741,201727,72033,1133154,155416,2312,1,
        Eastern Samar State University,139489,10944,36002,140478,12867,9012,141741,12258,0,,
        Eastern Visayas State University,,,,,,,,,,,
           (Leyte Institute of Technology),142100,20685,1654,145453,24380,11512,147571,24447,0,,
        Leyte Normal University,63612,18583,1269,68072,21035,9012,69134,19678,0,,
        Visayas State University (Leyte State University),225685,22320,3211,227254,54572,3012,229460,29086,0,,
        Naval Institute of Technology,55222,6374,2320,56796,11162,3012,58097,10388,0,,
        Palompon Institute of Technology,60791,5951,6150,61909,7415,3012,63680,8250,0,,
        Southern Leyte State University,,,,,,,,,,,
           (Southern Leyte State College of,,,,,,,,,,,
           Sci. and Tech. and TONC),96602,11111,9092,100610,22699,6413,103183,12262,0,,
        Samar State College of Agriculture,,,,,,,,,,,
           and Forestry,15433,2024,3012,15676,8024,3012,15719,1822,2312,,
        Samar State University (Samar State,,,,,,,,,,,
           Polytechnic College),84222,10408,4916,84869,13305,18012,85944,11075,0,,
        Tiburcio Tancinco Memorial Institute,,,,,,,,,,,
           of Science and Technology,40838,10457,832,42112,11302,3012,42112,10747,0,,
        University of Eastern Philippines,179253,12698,3351,174512,14966,3012,176513,15403,0,,
,,,,,,,,,,,
     Region IX - WESTERN MINDANAO,458173,56681,28228,470613,68783,37060,479378,68205,0,1,
        J. H. Cerilles State College,25837,4203,18012,26905,5977,23012,46995,8320,0,,
        Jose Rizal Memorial State College,109959,9434,4613,112836,15583,3012,116987,13125,0,,
        Western Mindanao State University,212975,30580,1875,219296,31919,4012,200802,33269,0,,
        Zamboanga City State Polytechnic College,49349,4271,2212,49538,5282,3012,51064,3854,0,,
        Zamboanga State College of Marine,,,,,,,,,,,
           Sciences and Technology,60053,8193,1516,62038,10022,4012,63530,9637,0,,
,,,,,,,,,,,
     Region X - NORTHERN MINDANAO,692872,107593,23942,708528,149046,29084,718039,143259,0,1,
        Bukidnon State College,58423,14737,2920,60302,16041,3012,61937,14227,0,,
        Camiguin Polytechnic State College,20697,3877,3012,21022,4951,3012,21429,4334,0,,
        Central Mindanao University,197158,32536,2937,197052,37407,3012,200880,35368,0,,
        Mindanao University of Science and Technology,76515,9851,6943,80721,15854,11012,81315,19470,0,,
        MSU-Iligan Institute of Technology,303346,40497,3515,312090,65611,3012,314584,62966,0,,
        Misamis Oriental State College of,,,,,,,,,,,
           Agriculture and Technology,23908,3926,1603,24322,6013,3012,24519,4512,0,,
        Northwestern Mindanao State College,,,,,,,,,,,
           of Science and Technology,12825,2169,3012,13019,3169,3012,13375,2382,0,,
,,,,,,,,,,,
     Region XI - SOUTHEASTERN MINDANAO,225501,68113,13316,231009,63561,72048,233768,49345,1000,1,
        Davao del Norte State College,28552,4596,1846,29648,5596,3012,29814,4443,1000,,
        Davao Oriental State College of,,,,,,,,,,,
           Science and Technology,35605,5023,3830,36259,12652,3012,37082,5987,0,,
        Southern Philippines Agri-Business,,,,,,,,,,,
           and Marine and Aquatic School of Technology,27602,4079,3135,29231,9617,3012,29450,3255,0,,
        University of Southeastern Philippines,133742,54415,4505,135871,35696,63012,137422,35660,0,,
,,,,,,,,,,,
     Region XII - CENTRAL MINDANAO,383573,53315,9797,393071,59066,13048,395841,57724,3612,1,
        Cotabato City State Polytechnic College,58364,10012,2535,59230,9593,3012,59745,7734,0,,
        Cotabato Foundation College of,,,,,,,,,,,
           Science and Technology,53202,11614,3009,54504,12614,3012,54699,10453,0,,
        Sultan Kudarat Polytechnic State College,69097,7716,3012,71081,9489,3012,71494,7640,3612,,
        University of Southern Mindanao,202910,23973,1241,208256,27370,4012,209903,31897,0,,
,,,,,,,,,,,
     Autonomous Region in Muslim Mindanao,1539151,95457,42728,1522327,132728,61625,1531286,99222,17288,1,
        Adiong Memorial Polytechnic State College,10250,6732,2870,10949,7786,4012,11023,3331,800,,
        Basilan State College,30847,7559,2012,31696,6374,3012,32210,5830,8988,,
        Mindanao State University,1186513,62339,12810,1190791,87878,45565,1196426,72340,0,,
        MSU-Tawi-Tawi College of Technology,,,,,,,,,,,
           and Oceanography,244457,11564,19012,221858,15407,3012,224064,10266,0,,
        Sulu State College,38067,3255,3012,36774,4255,3012,36994,2930,7500,,
        Tawi-Tawi Regional Agricultural College,29017,4008,3012,30259,11028,3012,30569,4525,0,,
,,,,,,,,,,,
     Caraga Administrative Region,224238,33023,13381,231923,37607,12132,233483,32420,0,1,
        Agusan del Sur State College of,,,,,,,,,,,
           Agriculture and Technology,20888,6067,5066,21655,7654,3033,22193,3739,0,,
        Northern Mindanao State Institute of,,,,,,,,,,,
           Science and Technology,55734,9667,2385,55482,11186,3033,55966,11985,0,,
        Surigao del Sur Polytechnic State College,81054,10466,2897,84999,10262,3033,85379,9941,0,,
        Surigao State College of Technology,66562,6823,3033,69787,8505,3033,69945,6755,0,,
,,,,,,,,,,,
   Department of Energy,182859,612121,29020,199072,4557534,49252,188798,3877899,44404,1,
     Office of the Secretary,182859,612121,29020,199072,4557534,49252,188798,3877899,44404,,
,,,,,,,,,,,
   Department of Environment and Natural Resources,5925060,3469047,1217705,5681371,4876226,2992370,5624362,3610964,2088953,1,
     Office of the Secretary,4154357,1992897,933873,3996705,3213602,2419344,3937770,2247671,1878347,,
     Environmental Management Bureau,209096,209472,16907,204798,314832,178931,199484,262399,178931,,
