particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
     Statistical Research and Training Center,8993,6300,20193,7347,6418,20000,8292,7855,0,,
     Tariff Commission,46451,13950,1000,30503,21514,350,23753,19295,0,,
,,,,,,,,,,,
   Office of the Press Secretary,669383,615670,36341,557693,388139,24290,491466,537173,116539,1,
     Office of the Press Secretary (Proper),25488,177014,4556,22201,92858,1450,21461,85251,1105,,
     Bureau of Broadcast Services,171540,88739,7680,167285,103341,12050,163214,161892,52717,,
     Bureau of Communications Services,17177,11679,190,16792,13016,2225,15219,14892,0,,
     National Printing Office,120271,21230,9992,115923,16172,120,104941,26737,0,,
     News and Information Bureau,60111,28595,800,61250,31918,1160,60185,32944,0,,
     Philippine Information Agency,241151,174222,2119,142984,87753,3200,94204,171022,62717,,
     Presidential Broadcast Staff (RTVM),33645,114191,11004,31258,43081,4085,32242,44435,0,,
,,,,,,,,,,,
   Other Executive Offices,1953104,4556054,455660,2135359,3850008,433713,2008649,3386552,199538,1,
     Anti-Money Laundering Council,0,9817,5000,0,15654,5000,0,9335,0,,
     Commission on Filipinos Overseas,18983,25150,1111,22207,24041,280,22886,23000,897,,
     Commission on Higher Education,155087,2086861,0,197900,1622382,0,194557,1518072,0,,
     Commission on the Filipino Language,23143,10541,312,19860,14406,1200,16328,10331,0,,
     Dangerous Drugs Board,31050,146136,8500,43864,227413,9500,29669,149518,0,,
     Energy Regulatory Commission,131378,66511,22168,109598,64442,3600,121005,69637,0,,
     Film Development Council of the Philippines,5425,108513,1630,6044,30889,0,6150,30889,1700,,
     Games and Amusements Board,48176,12748,367,39507,19448,375,38750,18091,0,,
     Housing and Land Use Regulatory Board,136191,50886,0,135695,55409,0,136107,56777,0,,
     Housing and Urban Development,,,,,,,,,,,
        Coordinating Council,32179,54991,1478,34577,62215,18470,35213,63399,0,,
     Movie and Television Review and,,,,,,,,,,,
        Classification Board,14187,29388,1441,14544,17401,11394,15814,18776,7519,,
     National Anti-Poverty Commission,21630,53526,8686,26141,52003,1550,25642,47347,0,,
,,,,,,,,,,,
     National Commission for Culture and the Arts,128961,354742,96777,123994,393586,207954,127189,337158,85200,1,
        National Commission for Culture and,,,,,,,,,,,
           the Arts (Proper),19032,251191,29540,18535,258908,88517,21311,229363,65000,,
        National Historical Institute,35474,46236,46893,32670,61165,94886,33108,47025,5000,,
        The National Library,37304,25005,18758,37265,47915,23975,37628,35172,15200,,
        National Archives of the Philippines,,,,,,,,,,,
           (formerly Records Management and,,,,,,,,,,,
           Archives Office),37151,32310,1586,35524,25598,576,35142,25598,0,,
     Philippine Commission on Women (National,,,,,,,,,,,
        Commission on the Role of Filipino Women),19175,37296,2343,20696,94162,1000,17179,15661,0,,
     National Council on Disability Affairs,17456,10867,11247,17720,13338,3800,17635,11313,0,,
     National Intelligence Coordinating Agency,278718,484767,9502,260863,247320,16245,262293,150538,0,,
     National Security Council,34097,154871,0,28865,31746,910,28264,32623,0,,
     National Water Resources Board,28478,10068,1582,29763,8800,0,29144,9264,0,,
     National Youth Commission,22681,34843,1248,23342,43328,0,22615,34145,0,,
     Office on Muslim Affairs,257182,102155,150,249112,85422,7312,242540,62881,0,,
     Optical Media Board,15415,11568,1940,14705,12032,3350,16637,12883,0,,
     Philippine Drug Enforcement Agency,153419,185960,70841,352665,241902,42302,224265,251225,20222,,
     Philippine Racing Commission,20083,58722,1600,19134,77284,1600,20612,77284,0,,
     Philippine Sports Commission,34696,186784,31829,36267,163893,82000,36418,142010,64000,,
     Presidential Commission for the Urban Poor,41346,45452,1672,41445,20108,1750,41722,20108,0,,
     Presidential Legislative Liaison Office,9743,9917,47,10238,10532,100,10557,10822,0,,
     Presidential Management Staff,108766,91241,26733,98765,119395,14021,94223,122008,20000,,
     Securities and Exchange Commission,165459,121733,147456,157848,81457,0,175235,81457,0,,
,,,,,,,,,,,
   Autonomous Region in Muslim Mindanao,6219097,2322119,1462217,6719449,2093404,1181971,6974429,1795608,1057225,1,
     Autonomous Regional Government in Muslim Mindanao,6219097,2322119,1462217,6719449,2093404,1181971,6974429,1795608,1057225,,
,,,,,,,,,,,
   Joint Legislative-Executive Councils,343,239,0,1271,500,0,800,500,0,1,
     Legislative-Executive Development,,,,,,,,,,,
        Advisory Council,343,239,0,1271,500,0,800,500,0,,
,,,,,,,,,,,
   The Judiciary,9499526,1826866,184988,9329034,3461475,503810,9474506,3424146,85118,1,
     Supreme Court of the Philippines and the,,,,,,,,,,,
        Lower Courts,8665648,1558826,54333,8504237,3066270,52438,8633908,3028941,0,,
        Presidential Electoral Tribunal,35355,13564,0,47013,12306,132,47561,12306,0,,
     Sandiganbayan,124897,42208,92336,119815,96615,136394,121388,96615,85118,,
     Court of Appeals,604255,194755,23665,551389,265225,192080,564195,265225,0,,
     Court of Tax Appeals,69371,17513,14654,106580,21059,122766,107454,21059,0,,
,,,,,,,,,,,
   Civil Service Commission,434193,125119,3066,487288,142431,11612,497896,150659,1000,1,
     Civil Service Commission,416774,106936,1000,473051,122384,10542,483152,130025,1000,,
        Career Executive Service Board,17419,18183,2066,14237,20047,1070,14744,20634,0,,
,,,,,,,,,,,
   Commission on Audit,4275702,294787,52501,3872001,194351,100000,3872001,194351,0,,
,,,,,,,,,,,
   Commission on Elections,1840056,919511,669479,1554432,13628934,1669787,5311300,5232900,0,,
,,,,,,,,,,,
   Office of the Ombudsman,667648,169131,94601,804261,194866,389095,835787,194866,0,,
,,,,,,,,,,,
   Commission on Human Rights,206281,67455,12340,198784,56046,16500,199466,57449,0,,
,,,,,,,,,,,
SPECIAL PURPOSE FUNDS,320973,569805097,22067346,98730283,576413653,40554008,156023514,687122138,38734195,1,
,,,,,,,,,,,
   Budgetary Support to Government Corporations,0,69894834,18805937,0,13059707,18928200,0,14167887,21765200,1,
,,,,,,,,,,,
     Department of Agrarian Reform,0,4166938,0,0,0,0,0,0,0,1,
        Land Bank of the Philippines,0,4166938,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Agriculture,0,44023674,30500,0,5419971,230500,0,9248971,220750,1,
        National Dairy Authority,0,102200,0,0,82200,0,0,52200,0,,
        National Food Authority,0,41101486,0,0,4000000,0,0,8000000,0,,
        National Irrigation Administration,0,1645959,0,0,0,0,0,0,0,,
        National Tobacco Administration,0,119382,0,0,140000,0,0,70000,0,,
        Philippine Coconut Authority,0,430447,0,0,595000,0,0,595000,0,,
        Philippine Crop Insurance Corporation,0,113771,30500,0,183771,30500,0,113771,30500,,
        Philippine Fisheries Development Authority,0,25000,0,0,0,0,0,0,0,,
        Philippine Rice Research Institute,0,265689,0,0,419000,0,0,418000,0,,
        Quedan and Rural Credit Guarantee Corporation,0,0,0,0,0,200000,0,0,190250,,
        National Livelihood Development Corporation,0,219740,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Energy,0,953331,0,0,790000,0,0,0,0,1,
        National Electrification Administration,0,953331,0,0,790000,0,0,0,0,,
,,,,,,,,,,,
     Department of Environment and Natural Resources,0,28251,0,0,0,0,0,0,0,1,
        Laguna Lake Development Authority,0,18251,0,0,0,0,0,0,0,,
        Natural Resources Development Corporation,0,10000,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Health,0,2912019,0,0,1718560,0,0,804560,0,1,
        Local Water Utilities Administration,0,0,0,0,400000,0,0,0,0,,
        Lung Center of the Philippines,0,191230,0,0,168560,0,0,157560,0,,
        National Kidney and Transplant Institute,0,498996,0,0,326500,0,0,185000,0,,
        Philippine Children`s Medical Center,0,272600,0,0,314500,0,0,237000,0,,
        Philippine Heart Center,0,464314,0,0,469000,0,0,185000,0,,
        Philippine Health Insurance Corporation,0,1454879,0,0,0,0,0,0,0,,
        Philippine Institute of Traditional,,,,,,,,,,,
           and Alternative Health Care,0,30000,0,0,40000,0,0,40000,0,,
,,,,,,,,,,,
     Department of the Interior and Local Government,0,80912,0,0,0,0,0,0,0,1,
        Philippine National Police Service,,,,,,,,,,,
           Stores System,0,80912,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of National Defense,0,372286,0,0,0,0,0,0,0,1,
        AFP Commissary and Exchange Service,0,372286,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Tourism,0,65000,0,0,135000,0,0,65000,0,1,
        Philippine Convention and Visitors Corporation,0,65000,0,0,65000,0,0,65000,0,,
        Philippine Tourism Authority,0,0,0,0,70000,0,0,0,0,,
,,,,,,,,,,,
     Department of Trade and Industry,0,898600,287813,0,77831,400000,0,128746,100000,1,
        Aurora Special Economic Zone Authority,0,9800,200000,0,0,400000,0,45000,100000,,
        Center for International Trade,,,,,,,,,,,
           Expositions and Missions,0,60000,0,0,67831,0,0,73746,0,,
        Cottage Industry Technology Center,0,10000,0,0,10000,0,0,10000,0,,
        Small Business Guarantee and Finance Corporation,0,0,87813,0,0,0,0,0,0,,
        Technology Resource Center,0,818800,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Transportation and Communications,0,1763560,2773619,0,100000,0,0,35000,0,1,
        Light Rail Transit Authority,0,40538,2773619,0,0,0,0,0,0,,
        Philippine National Railways,0,979423,0,0,100000,0,0,35000,0,,
        Philippine Postal Corporation,0,743599,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     National Economic and Development Authority,0,25800,0,0,67000,0,0,17000,0,1,
        Philippine Institute for Development Studies,0,25800,0,0,67000,0,0,17000,0,,
,,,,,,,,,,,
     Office of the Press Secretary,0,345355,228575,0,110000,0,0,0,0,1,
"        People`s Television Network, Incorporated",0,345355,228575,0,110000,0,0,0,0,,
,,,,,,,,,,,
     Other Executive Offices,0,14259108,1092430,0,4627735,6140700,0,3855000,6444450,1,
        Bangko Sentral ng Pilipinas,0,0,0,0,0,4000000,0,0,4000000,,
        Bases Conversion Development Authority,0,5612291,0,0,0,0,0,0,0,,
        Cagayan Economic Zone Authority,0,36280,322430,0,329000,800000,0,0,1114450,,
        Cultural Center of the Philippines,0,178734,0,0,246792,0,0,105000,0,,
        Development Academy of the Philippines,0,76692,0,0,70000,0,0,20000,0,,
        Development Bank of the Philippines,0,4484,0,0,0,0,0,0,0,,
        Home Development Mutual Fund,0,1954204,0,0,0,0,0,0,0,,
        Home Guaranty Corporation,0,0,200000,0,0,600000,0,0,600000,,
        National Agribusiness Corporation,0,30000,0,0,0,0,0,0,0,,
        National Home Mortgage Finance Corporation,0,500000,500000,0,500000,400000,0,500000,400000,,
        National Housing Authority,0,5769480,0,0,3200000,300000,0,3170000,330000,,
        Southern Philippines Development Authority,0,66943,0,0,251943,0,0,30000,0,,
        Zamboanga City Special Economic Zone Authority,0,30000,70000,0,30000,40700,0,30000,0,,
,,,,,,,,,,,
     Budgetary Support to Government,,,,,,,,,,,
        Corporations - Others,0,0,0,0,13610,0,0,13610,0,,
     Net Lending,0,0,14393000,0,0,12157000,0,0,15000000,,
,,,,,,,,,,,
   Allocations to Local Government Units,320973,227692263,3261409,32147,271981454,3997058,33026,285993786,4590245,1,
     Internal Revenue Allotment,0,210729739,0,0,249988867,0,0,265802377,0,,
     Special Shares of Local Government Units,,,,,,,,,,,
        in the Proceeds of National Taxes,0,3752393,0,0,11061273,0,0,13863463,0,,
     Barangay Officials Death Benefits Fund,0,0,0,0,50000,0,0,50000,0,,
     Metropolitan Manila Development Authority,315185,1556837,221000,26535,1552818,223000,26327,1097574,223000,,
     Pasig River Rehabilitation Commission,5788,187391,29139,5612,131961,632368,6699,163522,1010175,,
     Premium Subsidy for Indigents under the,,,,,,,,,,,
        National Health Insurance Program,0,0,0,0,5011000,0,0,5000000,0,,
     Kalayaan Barangay Program Fund,0,0,0,0,0,1000000,0,0,1000000,,
     Kilos Asenso Support Fund,0,0,0,0,0,1000000,0,0,1000000,,
     Municipal Development Fund,0,431591,3011270,0,17035,1141690,0,16850,1357070,,
     Special Financial Assistance to Local,,,,,,,,,,,
        Government Units,0,8777320,0,0,0,0,0,0,0,,
     Financial Subsidy to Local Government Units,0,2256992,0,0,4168500,0,0,0,0,,
,,,,,,,,,,,
   AFP  Modernization Program,0,0,0,0,0,5000000,0,0,5000000,,
,,,,,,,,,,,
   Calamity Fund,0,0,0,0,1200000,800000,0,1200000,800000,,
,,,,,,,,,,,
   Contingent Fund,0,0,0,0,640000,160000,0,640000,160000,,
,,,,,,,,,,,
   DepEd - School Building Program,0,0,0,0,0,2000000,0,0,2000000,,
,,,,,,,,,,,
   Economic Stimulus Fund,0,0,0,100000,5720000,4250000,0,0,0,,
,,,,,,,,,,,
   E-Government Fund,0,0,0,0,0,1000000,0,0,1000000,,
,,,,,,,,,,,
   General Fund Adjustments,0,0,0,0,500000,500000,0,500000,500000,,
,,,,,,,,,,,
   International Commitments Fund,0,0,0,0,1595215,0,0,1595215,0,,
,,,,,,,,,,,
   Miscellaneous Personnel Benefits Fund,0,0,0,27530330,0,0,76496242,0,0,,
,,,,,,,,,,,
   National Unification Fund,0,0,0,0,43750,6250,0,43750,6250,,
,,,,,,,,,,,
   Pension and Gratuity Fund,0,0,0,71067806,0,0,79494246,0,0,,
,,,,,,,,,,,
   Priority Development Assistance Fund,0,0,0,0,5752527,3912500,0,4027500,2912500,,
,,,,,,,,,,,
   Tax Expenditures Fund,0,0,0,0,23371000,0,0,38142000,0,,
,,,,,,,,,,,
   Debt Service Fund-Interest Payment,0,272218000,0,0,252550000,0,0,340812000,0,,
,,,,,,,,,,,
GRAND TOTAL,369307700,750316698,194989163,428927791,764058772,233015227,493970509,864007665,183021826,3,
