Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"1,717","66,036","46,172",0,"6,998","3,871",0,0,0,"124,794"
          Council for the Welfare of Children,0,0,0,0,0,"7,394",0,0,0,0,0,0,"7,394"
          Inter-Country Adoption Board,0,0,0,0,83,72,0,799,0,0,0,0,954
,,,,,,,,,,,,,
     Department of Tourism,0,0,0,"41,851",0,"8,741",0,0,"2,592","40,904",0,0,"94,088"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"8,741",0,0,"2,592","40,904",0,0,"52,237"
          National Parks Development Committee,0,0,0,"41,851",0,0,0,0,0,0,0,0,"41,851"
,,,,,,,,,,,,,
     Department of Trade and Industry,0,0,0,0,0,"38,572",0,"12,052",0,0,0,0,"50,624"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"13,715",0,"12,052",0,0,0,0,"25,767"
          Board of Investments,0,0,0,0,0,"23,555",0,0,0,0,0,0,"23,555"
          Construction Industry Authority of the Philippines,0,0,0,0,0,412,0,0,0,0,0,0,412
          Construction Manpower Development Foundation,0,0,0,0,0,118,0,0,0,0,0,0,118
          Philippine Trade Training Center,0,0,0,0,0,547,0,0,0,0,0,0,547
          Product Development and Design Center of the Philippines,0,0,0,0,0,225,0,0,0,0,0,0,225
,,,,,,,,,,,,,
     Department of Transportation and Communications,0,0,0,"2,488,714","300,445","239,511",0,"926,892","316,456","5,679,205",0,0,"9,951,223"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"2,488,714","300,445","218,279",0,"926,892","273,056","5,679,205",0,0,"9,886,591"
          Civil Aeronautics Board,0,0,0,0,0,"4,397",0,0,0,0,0,0,"4,397"
          Maritime Industry Authority,0,0,0,0,0,"14,847",0,0,0,0,0,0,"14,847"
          Office of Transportation Cooperatives,0,0,0,0,0,76,0,0,0,0,0,0,76
          Office for Transportation Security,0,0,0,0,0,"1,912",0,0,"43,400",0,0,0,"45,312"
,,,,,,,,,,,,,
     National Economic and Development Authority,"20,000",0,0,"1,000","65,902","68,964",0,"35,905","14,201",0,0,0,"205,972"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Director-General,0,0,0,0,"39,902","23,888",0,"4,984",0,0,0,0,"68,774"
          National Statistical Coordination Board,0,0,0,0,0,"1,601",0,"3,000",186,0,0,0,"4,787"
          National Statistics Office,0,0,0,"1,000","26,000","43,032",0,"27,171","14,015",0,0,0,"111,218"
          Statistical Research and Training Center,"20,000",0,0,0,0,193,0,0,0,0,0,0,"20,193"
          Tariff Commission,0,0,0,0,0,250,0,750,0,0,0,0,"1,000"
,,,,,,,,,,,,,
     Office of the Press Secretary,0,0,0,0,0,"7,914",0,"15,185","13,242",0,0,0,"36,341"
