particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"142,408,320","40,537,637","4,104,366","525,166","625,214","9,922,245","235,002","5,997,845","219,149","16,859,221","1,002,621","338,541","1,224,662","319,562","940,296","309,840","177,916","3,231,766","15,775,066","465,187","38,435,912","44,801,387","40,529,806","368,986,727"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"1,270,486",0,"273,964",0,"625,214","57,398",0,"10,186",0,"155,376","6,850",0,"16,257",0,"6,781",0,0,"36,998","138,225",0,0,"179,600",0,"2,777,335"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"330,241",0,"52,478",0,"334,432","2,290",0,0,0,"42,638","1,867",0,"4,264",0,"1,804",0,0,"13,794","38,547",0,0,"46,881",0,"869,236"
               Senate Electoral Tribunal,"24,664",0,146,0,0,493,0,0,0,"2,954",132,0,303,0,131,0,0,"1,782","2,750",0,0,"6,636",0,"39,991"
          Commission on Appointments,"56,107",0,"5,922",0,0,841,0,0,0,"6,654",259,0,672,0,256,0,0,"5,911","6,004",0,0,"17,380",0,"100,006"
          House of Representatives,"832,970",0,"215,128",0,"290,782","53,333",0,"3,685",0,"99,956","4,447",0,"10,693",0,"4,447",0,0,"10,426","87,945",0,0,"105,170",0,"1,718,982"
               House Electoral Tribunal,"26,504",0,290,0,0,441,0,"6,501",0,"3,174",145,0,325,0,143,0,0,"5,085","2,979",0,0,"3,533",0,"49,120"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"918,148",0,"276,996",0,0,"34,479",0,0,0,"107,314","7,201",0,"7,701",0,"7,085",0,0,"28,434","103,433",235,0,"289,478",0,"1,780,504"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"918,148",0,"276,996",0,0,"34,479",0,0,0,"107,314","7,201",0,"7,701",0,"7,085",0,0,"28,434","103,433",235,0,"289,478",0,"1,780,504"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"15,744",0,"6,758",0,0,19,0,0,0,"1,899",88,0,81,0,83,0,0,932,"1,762",0,0,"3,940",0,"31,306"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"2,413,152",0,"125,615",0,0,"142,360",0,"7,963",0,"281,595","15,356",0,"21,375",0,"15,336",0,0,"189,675","265,390",40,0,"627,861",0,"4,105,718"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"2,413,152",0,"125,615",0,0,"142,360",0,"7,963",0,"281,595","15,356",0,"21,375",0,"15,336",0,0,"189,675","265,390",40,0,"627,861",0,"4,105,718"
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"1,843,592",0,"135,841",0,0,"162,373",0,0,0,"218,880","12,632",0,"18,758",0,"11,350",0,"14,631","35,910","202,766",0,0,"465,063",0,"3,121,796"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,323,709",0,"128,533",0,0,"98,729",0,0,0,"154,815","9,023",0,"13,152",0,"8,016",0,"14,631","20,658","138,535",0,0,"311,919",0,"2,221,720"
          Agricultural Credit Policy Council,"9,715",0,0,0,0,0,0,0,0,"1,077",46,0,43,0,44,0,0,"1,525",979,0,0,"1,553",0,"14,982"
          Bureau of Fisheries and Aquatic Resources,"208,541",0,"4,236",0,0,"52,400",0,0,0,"26,428","1,586",0,"2,219",0,"1,359",0,0,"3,909","22,896",0,0,"44,012",0,"367,586"
