program_or_project,location ,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social Development,Province Wide Scholarship,2000000,-,-,-,-,-,-
Economic Development ,Support to Pag-asa program (OPAG) Marine and Aquatic Development Program (various location),"400000.00                                                                                             300,000.00",-,-,-,-,-,-
Environmental Management ,Devolved Environmental Programs (various location),246000,-,-,-,-,-,-
