city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Allen,Mayor,"Suan, Rod Laurean Dubongco",Talaboy,Liberal Party,8641
Allen,Vice-Mayor,"Lavin, Marietta Pacho",Ayet,Liberal Party,8499
Allen,Councilor,"Lim, Santos Ombrog",Sonny,Liberal Party,7198
Allen,Councilor,"Gelomio, Silverio Managbanag",Beriong,Liberal Party,7046
Allen,Councilor,"Marcelino, Jose Jr. Dayawon",Don-Don,Liberal Party,6760
Allen,Councilor,"Lim, Erlinda Galino",Enda,Liberal Party,6666
Allen,Councilor,"Lao, Ruben Portes",Ben,Liberal Party,6507
Allen,Councilor,"Cajandab, Mariano Tan",Anong,Liberal Party,6377
Allen,Councilor,"Cabahug, Godoberto Cantiga",Godo,Liberal Party,6261
Allen,Councilor,"Fernandez, Bernini Galaroza",Boboy,National Unity Party,5954
Biri,Mayor,"Delos Reyes, Antonio Jr. Benzon",Dodoy,National Unity Party,2840
Biri,Vice-Mayor,"Bernaldez, Manuel Bazar",Manny,Liberal Party,3043
Biri,Councilor,"Araojo, Ana Borbon",Ana,National Unity Party,2453
Biri,Councilor,"Bernaldez, Amado Domalaon",Mado,National Unity Party,2335
Biri,Councilor,"Loreto, Roger Diaz",Nonoy,Liberal Party,2158
Biri,Councilor,"Barreda, Renato Tiongco",Tato,National Unity Party,2138
Biri,Councilor,"Adto, Oscar Senobio",Oca,Liberal Party,2113
Biri,Councilor,"Quiling, Roque Sr. Delos Reyes",Oking,National Unity Party,2004
Biri,Councilor,"Gaton, Joel Del Valle",Jo,National Unity Party,2003
Biri,Councilor,"Sabangan, Felipe Eping",Ecal,Independent,1954
Bobon,Mayor,"Celespara, Reny Acero",Jing,Liberal Party,6156
Bobon,Vice-Mayor,"Uy, Ligaya Tagros",Gayang,Liberal Party,5094
Bobon,Councilor,"Gepollo, Porferio Jr. Tobes",Jhun,Liberal Party,6662
Bobon,Councilor,"Ramos, Angie Delos Reyes",Angie,Liberal Party,6476
Bobon,Councilor,"Jao, Ben Joseph Jao",Benjo,Liberal Party,5708
Bobon,Councilor,"Bale, Danilo Gubat",Danny,Liberal Party,5672
Bobon,Councilor,"Tiberio, Rizal Serafin",Rizal,Liberal Party,5493
Bobon,Councilor,"Boiser, Reynaldo Dilao",Alon,Liberal Party,5458
Bobon,Councilor,"Lustico, Maria Aguirre",Iyang,Liberal Party,5320
Bobon,Councilor,"Casi, Pelagio Jr. Cerenado",Pe,Liberal Party,5159
Capul,Mayor,"Bandal, Isidro Suan",Bano,Liberal Party,3962
Capul,Vice-Mayor,"Catucod, Joselito Castillo",Letlet,Liberal Party,4057
Capul,Councilor,"Gaco, Teodora Ortego",Mercy,Liberal Party,3893
Capul,Councilor,"Castillo, Wenceslao Paulito",Weny,National Unity Party,3718
Capul,Councilor,"Bonabon, Asuncion Castillo",Ason,Liberal Party,3685
Capul,Councilor,"Pasco, Renato Esquillo",Rene,Liberal Party,3575
Capul,Councilor,"Castillo, Alfredo Pelito",Pedoy,National Unity Party,3529
Capul,Councilor,"Castillo, Anthony Ian Babylonia",Ian,National Unity Party,3523
Capul,Councilor,"Alfaro, Leonora Flores",Nory,Liberal Party,3490
Capul,Councilor,"Castillo, Leon Jr. Magdaraog",Junior,Liberal Party,3466
Catarman,Mayor,"Rosales, Francisco  Jr. Candelario",Jun,National Unity Party,19198
Catarman,Vice-Mayor,"Uy, Christian Emmanuel Wan",Tan-Tan,Liberal Party,17816
Catarman,Councilor,"Bonsol, Clarissa Rowena Dela Cruz",Boots,National Unity Party,19800
Catarman,Councilor,"Dela Rosa, Hazel Ang",Chin,Liberal Party,16603
Catarman,Councilor,"Mendador, Milton Isagani Gonzales",Milton,Liberal Party,13990
Catarman,Councilor,"Baena, Brian Avelino Gonzales",Brian,Liberal Party,13878
Catarman,Councilor,"De Leon, Raul Custorio",Raul,Liberal Party,13198
Catarman,Councilor,"Patilan, Ernesto Gajana",Erning,Liberal Party,12839
Catarman,Councilor,"Cardenas, Nena De Asis",Nena,Liberal Party,12830
Catarman,Councilor,"Corral, Manuel Villarosa",Awe,Liberal Party,12598
Catubig,Mayor,"Vicencio, Galahad Opi",Gal,National Unity Party,11447
Catubig,Vice-Mayor,"Manlangit, Jesusimo  Jr. Aco",Jr,National Unity Party,9661
Catubig,Councilor,"Aldeosa, Catalino Cabrera",Lino,National Unity Party,8634
Catubig,Councilor,"Celajes, Tirso Baldoza",Tirso,National Unity Party,8423
Catubig,Councilor,"Pujante, Justiniano Robiego",Paek,National Unity Party,7864
Catubig,Councilor,"Co, Gaudencio Poso",Gauden,National Unity Party,7136
Catubig,Councilor,"Hiramia, Cynthia Rodriguez",Tiya,National Unity Party,6799
Catubig,Councilor,"Lluz, Romulo  Jr. Tafalla",Romy,National Unity Party,6637
Catubig,Councilor,"Legarse, Yolanda Mercader",Yoling,National Unity Party,6533
Catubig,Councilor,"Ortiz, Deborah Ultra",Debbie,National Unity Party,5810
Laoang,Mayor,"Ong, Madeleine Mendoza",Madeleine,National Unity Party,16029
Laoang,Vice-Mayor,"Deananeas, Fred Poso",Fred,National Unity Party,13456
Laoang,Councilor,"Sobito, Gregorio Admana",Nonoy,National Unity Party,12912
Laoang,Councilor,"Ongchuan, Harris Christopher Mendoza",Harris,National Unity Party,12445
Laoang,Councilor,"Pinca, Ben Eugerio",Barko,Liberal Party,11995
Laoang,Councilor,"Tang, Nida Dulay",Nida,National Unity Party,11085
Laoang,Councilor,"Taco, Jaime -",Jaime,Liberal Party,10663
Laoang,Councilor,"Sarmiento, Miguel Lipata",Mike,National Unity Party,10293
Laoang,Councilor,"Baluyot, Alfredo Loverita",Freddie,National Unity Party,9467
Laoang,Councilor,"Irinco, Samuel Acedera",Sammy,Liberal Party,9421
Lapinig,Mayor,"Menzon, Romualdo Desoloc",Molong,National Unity Party,3835
Lapinig,Vice-Mayor,"Rongcales, Vivian Menzon",Viv,National Unity Party,3645
Lapinig,Councilor,"Quilicol, Norcio Jr. Sidro",Jun,National Unity Party,3509
Lapinig,Councilor,"Delmonte, Artemio Sr. Yopo",Artem,National Unity Party,3425
Lapinig,Councilor,"Delmonte, Ruby Quilicol",Obet,National Unity Party,3364
Lapinig,Councilor,"Urbano, Fausto Labenia",Faus,National Unity Party,3296
Lapinig,Councilor,"Lim, Antolin Liad",Tolin,National Unity Party,3274
Lapinig,Councilor,"Pajares, Redentor Liad",Denden,National Unity Party,3223
Lapinig,Councilor,"Hermano, Edward Madeja",Walding,National Unity Party,3151
Lapinig,Councilor,"Nebrida, Allan Baldos",Allan,National Unity Party,2919
Las Navas,Mayor,"Tan, Minda Mercader",Minda,National Unity Party,10948
Las Navas,Vice-Mayor,"Tan, Arlito Ambon",Arlit,National Unity Party,10827
Las Navas,Councilor,"Yruma, Rodrigo Sr. Admana",Rudy,National Unity Party,10139
Las Navas,Councilor,"Mercader, Nelson Orroz",Nelson,National Unity Party,7891
Las Navas,Councilor,"Lluz, Florepes De Alca",Flory,National Unity Party,7829
Las Navas,Councilor,"Acompaniado, Horace Camposano",Bobe,National Unity Party,7738
Las Navas,Councilor,"Hiramia, Natividad Oroncillo",Naty,National Unity Party,7512
Las Navas,Councilor,"Oroncillo, Neilmar Turbanada",Nelmar,National Unity Party,7444
Las Navas,Councilor,"Golondrina, Romeo Odosis",Romy,National Unity Party,7379
Las Navas,Councilor,"Pajuelas, Alvin De Asis",Alvin,Independent,7160
Lavezares,Mayor,"Saludaga, Quintin Bordeos",Tingting,National Unity Party,8210
Lavezares,Vice-Mayor,"Turla, Manuel Sr. Macabuhay",Awe,National Unity Party,7848
Lavezares,Councilor,"Llamasares, Jay Ar Jatap",Jay,National Unity Party,7544
Lavezares,Councilor,"Tiozon, Leonardo Guy",Dodoy,National Unity Party,7008
Lavezares,Councilor,"Adriatico, Don Basilio Chan",Dondon,National Unity Party,6841
Lavezares,Councilor,"Presto, Angelbert Matnog",Enggel,National Unity Party,6760
Lavezares,Councilor,"Salvador, Carlos Ong",Caloy,National Unity Party,6529
Lavezares,Councilor,"Nuez, Moises Bobier",Pehog,National Unity Party,6474
Lavezares,Councilor,"Cabili, Alejandro Iii Soriano",Bongay,National Unity Party,5902
Lavezares,Councilor,"Lim, Fe Chan",Fe,National Unity Party,5824
Lope De Vega,Mayor,"Palloc, Ana Tan",Baby,Liberal Party,3749
Lope De Vega,Vice-Mayor,"Saludario, Bobby Cesario",Bob,Liberal Party,3933
Lope De Vega,Councilor,"Bandal, Kathleen Cinco",Kat,Liberal Party,3355
Lope De Vega,Councilor,"Sabilao, Critner John Oliveros",Dong,National Unity Party,3354
Lope De Vega,Councilor,"Sagorio, Sarah Villanueva",Sarah,National Unity Party,3341
Lope De Vega,Councilor,"Espedilla, Danilo Martino",Danny,Liberal Party,3254
Lope De Vega,Councilor,"Alvarez, Domingo Layson",Doming,National Unity Party,3183
Lope De Vega,Councilor,"Cuanico, Darwin Olesco",Darwin,Liberal Party,3166
Lope De Vega,Councilor,"Justan, Oscar Lamberte",Oca,National Unity Party,3084
Lope De Vega,Councilor,"Justan, Rogelio Victoriano",Rogel,Liberal Party,3009
Mapanas,Mayor,"Tejano, Francis John Labador",Tom,Liberal Party,4098
Mapanas,Vice-Mayor,"Longcop, Rogelio Tejano",Roger,Liberal Party,3645
Mapanas,Councilor,"Bajado, Artemio Dalina",Artem,National Unity Party,3466
Mapanas,Councilor,"Borja, Ariel Esto",Ayi,National Unity Party,3426
Mapanas,Councilor,"Pajares, Chando Tejano",Doydoy,National Unity Party,3362
Mapanas,Councilor,"Ada, Eusebio Contado",Ebo,National Unity Party,3315
Mapanas,Councilor,"Tejano, Renio Esteria",Rene,Liberal Party,3259
Mapanas,Councilor,"Bernadas, Jesusita Caballa",Suzette,Liberal Party,3172
Mapanas,Councilor,"Bandilla, Nora Bajado",Nora,Liberal Party,3149
Mapanas,Councilor,"Capoquian, Romena Crebello",Mena,National Unity Party,3142
Mondragon,Mayor,"Madera, Mario Mangada",Jojo,National Unity Party,9940
Mondragon,Vice-Mayor,"Morillo, Efren Carduce",Bosing,National Unity Party,7345
Mondragon,Councilor,"Unay, Dawn Aliposa",Dawn,Independent,7040
Mondragon,Councilor,"Diaz, Noriel Dapulag",Oying,National Unity Party,6804
Mondragon,Councilor,"Poche, Antonio Jr. De Guia",Boboy,National Unity Party,6571
Mondragon,Councilor,"Mananguite, Arthur Aragon",Arthur,National Unity Party,6207
Mondragon,Councilor,"Unay, Gil Raga",Nonoy,Liberal Party,5738
Mondragon,Councilor,"Marquita, Myla Domiquel",Myla,Liberal Party,5638
Mondragon,Councilor,"Villadolid, Ma. Lucia Dy",Malu,National Unity Party,5366
Mondragon,Councilor,"Bugna, Marlito Conge",Bb,Liberal Party,4997
Palapag,Mayor,"Aoyang, Manuel Jaldo",Gawi,National Unity Party,9510
Palapag,Vice-Mayor,"Gorembalem, Ben Capangpangan",Bengor,Liberal Party,7494
Palapag,Councilor,"Caballa, Magdalino Sabalza",Dading,Independent,8505
Palapag,Councilor,"Calot, Eleno Barsolaso",Leno,Liberal Party,7936
Palapag,Councilor,"Chy, Vicente Avila",Etik,National Unity Party,7330
Palapag,Councilor,"Quibal, Trinidad Tan",Trining,Liberal Party,6898
Palapag,Councilor,"Pajarito, Virgilia Olchondra",Verlie,Liberal Party,6493
Palapag,Councilor,"Evardone, Sonia Pajarito",Sonia,Liberal Party,6492
Palapag,Councilor,"Javier, Anacorito Caparal",Kirit,Liberal Party,6296
Palapag,Councilor,"Tan, Romulo Cui",Molong,National Unity Party,6185
Pambujan,Mayor,"Balanquit, Lino Lebeco",Linlin,Liberal Party,7102
Pambujan,Vice-Mayor,"Tan, Tirso Jr. Monta",Boy,National Unity Party,6038
Pambujan,Councilor,"Sosing, Felipe Atencio",Eping,Liberal Party,7547
Pambujan,Councilor,"Balanquit, Daisy Duca",Dc,Liberal Party,6031
Pambujan,Councilor,"Torres, Cindy Abobo",Cindy,National Unity Party,6016
Pambujan,Councilor,"Salazar, Iluminada Regulacion",Omi,Liberal Party,5378
Pambujan,Councilor,"Siervo, Renato Jazmin",Dodoy,National Unity Party,4999
Pambujan,Councilor,"Yongco, Redito Castillo",Redit,National Unity Party,4974
Pambujan,Councilor,"Lobos, Gilberto Tagle",Boy,Liberal Party,4764
Pambujan,Councilor,"Dela Cruz, Ofelia Wong",Nene,National Unity Party,4486
Rosario,Mayor,"Miranda, Gerardo Portajada",Tidot,Liberal Party,2609
Rosario,Vice-Mayor,"Turla, Ronald Manaay",Onad,National Unity Party,2835
Rosario,Councilor,"Arillo, Vicente Jr. Ballicud",Jun-Jun,Liberal Party,2914
Rosario,Councilor,"Lanang, Virgilio Sarmiento",Dangoy,Liberal Party,2635
Rosario,Councilor,"Bido, Eleazer Abata",Eli,Independent,2540
Rosario,Councilor,"Pederio, Maximino Tobes",Boyet,Liberal Party,2390
Rosario,Councilor,"Tomo, Venancio Jr. Balasolla",Jun,Liberal Party,2371
Rosario,Councilor,"Pura, Ruben Calixtro",Tawlong,Liberal Party,2301
Rosario,Councilor,"Carde, Helen Wetingco",Helen,National Unity Party,2102
Rosario,Councilor,"Turla, Allan Tenedero",Lan,Liberal Party,2069
San Antonio,Mayor,"Baguioso, Rudy Solana",Rudy,National Unity Party,2761
San Antonio,Vice-Mayor,"Esquilon, Flordeliza Jao",Niay,National Unity Party,2397
San Antonio,Councilor,"Solana, Ruel Cuna",Wel,National Unity Party,2841
San Antonio,Councilor,"Tan, Perla Ang",Per,National Unity Party,2722
San Antonio,Councilor,"Uy, Neovie Uy",Neov,National Unity Party,2692
San Antonio,Councilor,"Lucero, Rhoda Gamos",Dang,Liberal Party,2444
San Antonio,Councilor,"Agaton, Zosimo Acebido",Sosing,National Unity Party,2320
San Antonio,Councilor,"Genotiva, Genelita Mahinay",Genny,Liberal Party,2244
San Antonio,Councilor,"Mondigo, Placido Iii Baybayon",Nonoy,Liberal Party,2140
San Antonio,Councilor,"Ballicud, Albretch Vicario",Bobet,National Unity Party,2067
San Isidro,Mayor,"Avila, Conrado Sr. Galoy",Dado,Liberal Party,6675
San Isidro,Vice-Mayor,"Iba, Victorino Guardiano",Vic,Liberal Party,6859
San Isidro,Councilor,"Tomacas, Wilson Alandino",Dodong,Liberal Party,7270
San Isidro,Councilor,"Beltran, Leila Pineda",Leila,Liberal Party,6345
San Isidro,Councilor,"Sampayan, Joel Coquilla",Howel,Liberal Party,6102
San Isidro,Councilor,"Salomon, Billy Preston",Bil,Liberal Party,5880
San Isidro,Councilor,"Salor, Generoso Pariol",Cosoy,Liberal Party,5639
San Isidro,Councilor,"Avila, Dante Baguio",Dan,Liberal Party,5426
San Isidro,Councilor,"Olano, Melanio Jr. Tomacas",Nonoy,Liberal Party,5069
San Isidro,Councilor,"Sabayo, Roldan Esponilla",Dansoy,Liberal Party,3903
San Jose,Mayor,"Luzon, Damian  Jr. Tingzon",Bor-Ok,Liberal Party,5075
San Jose,Vice-Mayor,"Ballesta, Jose Agripino Somoray",Jopi,Liberal Party,4430
San Jose,Councilor,"Mora, Marcelino A",Bodoy,Liberal Party,4058
San Jose,Councilor,"Saligumba, Reynaldo Tapdasan",Rey,National Unity Party,3719
