paticulars_1,paticulars_2,paticulars_3,paticulars_4,amount
Receipt from IRA-CY 2013,Receipt from IRA-CY 2013,Receipt from IRA-CY 2013,Receipt from IRA-CY 2013,30127950
Receipt from IRA-CY 2013,Less-Disbursement,Less-Disbursement,Less-Disbursement,-
Receipt from IRA-CY 2013,Less-Disbursement,Personal Services,Personal Services,-
Receipt from IRA-CY 2013,Less-Disbursement,MOOE,"Repairs and Maintenance-Artesian Wells, Reservoirs, Pumping Station and Conduits",533630.2
Receipt from IRA-CY 2013,Less-Disbursement,Capital Outlay,"CIP-Artesian Wells, Reservoir, Pumping Stations and Conduits",1864710.05
Receipt from IRA-CY 2013,Less-Disbursement,Capital Outlay,"CIP-Roads, Highways and Bridges",1880894.5
Receipt from IRA-CY 2013,Less-Disbursement,Capital Outlay,Purcahse-Garbage Truck (Dum Truck),2450000
Receipt from IRA-CY 2013,Less-Disbursement,Financial Expenses,Financial Expenses,None
Receipt from IRA-CY 2013,Balance,Balance,Balance,23398715.25
Receipt from IRA-Continuing Appropriation,Receipt from IRA-Continuing Appropriation,Receipt from IRA-Continuing Appropriation,Receipt from IRA-Continuing Appropriation,31870079.13
Receipt from IRA-Continuing Appropriation,Less-Disbursements,Personal Services,Personal Services,-
Receipt from IRA-Continuing Appropriation,Less-Disbursements,Maintenance and Other Operating Expenses,"Repairs and Maintenance-Artesian Wells, Reservoirs, Pumping Station and Conduits",499023.37
Receipt from IRA-Continuing Appropriation,Less-Disbursements,Maintenance and Other Operating Expenses,"Repairs and Maintenance-Roads, Highays and Bridges",35000
Receipt from IRA-Continuing Appropriation,Less-Disbursements,Capital Outlay,CIP-Agency Assets,905558
Receipt from IRA-Continuing Appropriation,Less-Disbursements,Capital Outlay,"CIP-Artesian Wells, Reservoir, Pumping Stations and Conduits",4790467.02
Receipt from IRA-Continuing Appropriation,Less-Disbursements,Capital Outlay,"CIP-Roads, Highways and Bridges",8665362.98
Receipt from IRA-Continuing Appropriation,Less-Disbursements,Capital Outlay,Purchase-Dump Truck,1495000
Receipt from IRA-Continuing Appropriation,Less-Disbursements,Capital Outlay,Purchase-Backhoe,6080000
Receipt from IRA-Continuing Appropriation,Less-Disbursements,Capital Outlay,Purchase-LOT,2625400
Receipt from IRA-Continuing Appropriation,Less-Disbursements,Financial Expenses,Financial Expenses,None
Receipt from IRA-Continuing Appropriation,Balance,Balance,Balance,6774267.76
