program_or_project_1,program_or_project_2,program_or_project_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social Development,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court) (Phase 2),Barangay Libon,300000,-,-,-,285000,-,-
Social Development,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court),Barangay Minsapinit,400000,-,-,-,-,-,-
Social Development,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court),Barangay San Miguel,400000,-,-,-,-,-,-
Social Development,Multi-Purpose Buildings or Halls and Other Structures,Construction of multi-purpose facility (covered court),Barangay Tagpako,300000,-,-,-,27919.94,-,-
Economic Development Program,Communal Irrigation System,Eureka CIP (10% local counterpart to NIA),Barangay Eureka,500000,-,-,-,-,-,-
Economic Development Program,Communal Irrigation System,Kalagonoy CIP (10% local counterpart to NIA),Barangay Kalagonoy,250000,-,-,-,-,-,-
Economic Development Program,Communal Irrigation System,Lawaan CIP (10% local counterpart to NIA),Barangay Lawaan,570000,-,-,-,-,-,-
Economic Development Program,Communal Irrigation System,Lurisa CIP (10% local counterpart to NIA),LURESA (Brgy Cluster),1150000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,"Concreting of road and Construction of box culvert at Purok 5, Gmelina St., Phase I",Barangay 18-A,300000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of Motorpool Compound road network,Barangay 22-A,400000,-,-,-,242489.22,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Gravelling of subdivision roads at Barangay ,Barangay Bal-ason,200000,-,-,-,-,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road (150 mtrs.),Barangay Dinawehan,300000,-,-,-,133958.74,-,-
Economic Development Program,City Streets or Barangay Roads or Bridges,Concreting of road,Barangay Kamanikan,300000,-,-,-,285000,-,-
