city_or_municipality,position,name,nickname,party_affiliation,voted_obtained
Abuyog,Mayor,"Traya, Octavio, Jr Jervoso",Bebot,Lakas-Kampi,17843
Abuyog,Vice-Mayor,"Gacis, Emmanuel Laporre",Boboy,Lakas-Kampi,17379
Abuyog,Councilor,"Realino, Francis Raymund Agujar",Fray,Lakas-Kampi,11804
Abuyog,Councilor,"Piscos, Nathaniel Descallar",Thaniel,Lakas-Kampi,12215
Abuyog,Councilor,"Sano, Edmundo, Sr Palana",Mon,Lakas-Kampi,12456
Abuyog,Councilor,"Ganoza, Marcelo Gonzales",Seloc,Lakas-Kampi,12535
Abuyog,Councilor,"Allera, Arnold Requioma",Noli,Lakas-Kampi,13358
Abuyog,Councilor,"Deloy, Placido Amplayo",Sidoy,Lakas-Kampi,14737
Abuyog,Councilor,"Sy, Benito Caminong",Bemboy,Lakas-Kampi,15539
Abuyog,Councilor,"Traya, Lionel Kanen",Lenlen,Lakas-Kampi,15915
Alangalang,Mayor,"Yu, Loreto Toledo",Entong,Liberal Party,13196
Alangalang,Vice-Mayor,"Apurillo, Eileen Alcober",Kikay,Liberal Party,9788
Alangalang,Councilor,"Capon, Manilito Ballena",Manny Pakyaw,Liberal Party,7448
Alangalang,Councilor,"Tante, Sheila Nastor",Tante,Liberal Party,8612
Alangalang,Councilor,"Gariando, Isidro, Jr Dagsa",Bodoy,Liberal Party,8734
Alangalang,Councilor,"Antoni, Lilia Villablanca",Lilia,Liberal Party,9405
Alangalang,Councilor,"Capon, Reynaldo, Sr Boreres",Nalding,Lakas-Kampi,9440
Alangalang,Councilor,"Sydiongco, Florinda Jill Gomez",Jill,Liberal Party,9700
Alangalang,Councilor,"Gayas, Marilou Cabalona",Belo,Liberal Party,10904
Alangalang,Councilor,"Bague, Mario Villablanca",Mar,Liberal Party,11375
Albuera,Mayor,"Dela Victoria, Erlinda Evangelista",Linda,Lakas-Kampi,8429
Albuera,Vice-Mayor,"Cayanong, Rodanimod Cortes",Dandy,Lakas-Kampi,7548
Albuera,Councilor,"Pepito, Nelson Diano",Nelson,Lakas-Kampi,5578
Albuera,Councilor,"Cataag, Marcos Barte",Macoy,Lakas-Kampi,6128
Albuera,Councilor,"Junco, Romeo Mandras",Meo,Lakas-Kampi,6181
Albuera,Councilor,"Salinas, Antonio Torrefranca",Tony,Lakas-Kampi,6327
Albuera,Councilor,"Retuya, Miguel Dy",Igi,Lakas-Kampi,6894
Albuera,Councilor,"Zaldivar, Buen Cornelius Gates",Neil,Lakas-Kampi,7131
Albuera,Councilor,"Tolero, Catalina Loreto",Cathy,Lakas-Kampi,7155
Albuera,Councilor,"Mesina, Norman Simpliciano",Norman,Lakas-Kampi,7241
Babatngon,Mayor,"Chan, Charita Montano",Charry,Liberal Party,5750
Babatngon,Vice-Mayor,"Menzon, Winston Balderian",Winnie,Lakas-Kampi,4395
Babatngon,Councilor,"Gonito, Manuel Espanta",Maning,Liberal Party,3624
Babatngon,Councilor,"Engle, James Lampayan",James,Liberal Party,3689
Babatngon,Councilor,"Rondina, Maria Fe Galapon",Marife,Lakas-Kampi,3834
Babatngon,Councilor,"Alde, Alfredo De La Cruz",Fred,Independent,4197
Babatngon,Councilor,"Quintana, Ludivino Bacabac",Ludyedzan,Lakas-Kampi,4333
Babatngon,Councilor,"Codilan, Lucas, Sr Baldon",Uka,Lakas-Kampi,4419
Babatngon,Councilor,"Elizaga, Federico Jr Pizon",Jun,Liberal Party,4825
Babatngon,Councilor,"Lugnasin, Eleonor Bobares",Leny,Liberal Party,7843
Barugo,Mayor,"Avestruz, Alden Montano",En-Goy,Nationalista Party,9028
Barugo,Vice-Mayor,"Tupaz, Bella Delgado",Bella,Nationalista Party,5568
Barugo,Councilor,"Astorga, Marilyn Almaden",Mayang,Lakas-Kampi,6118
Barugo,Councilor,"Apostol, Artemio Liporada",Timmy,Lakas-Kampi,6244
Barugo,Councilor,"Bunales, Divina Casas",Vina,Lakas-Kampi,7211
Barugo,Councilor,"Caneda, Jose Candaza",Osing,Lakas-Kampi,7237
Barugo,Councilor,"Benusa, Jose Jr Acuin",Pepe,Nationalista Party,7370
Barugo,Councilor,"Avestruz, Efren Aruta",Kamlon,Nationalista Party,7921
Barugo,Councilor,"Gutierrez, Angel Asaldo",Texas,Nationalista Party,8733
Barugo,Councilor,"Tiu, Josephine Colibao",Epin,Nationalista Party,8801
Bato,Mayor,"Gertos, Nathaniel Baguhin",Nael,Liberal Party,9040
Bato,Vice-Mayor,"Kuizon, Luis Espina",Luis,Lakas-Kampi,8540
Bato,Councilor,"Borong, Jose Que",Boyque,Lakas-Kampi,6910
Bato,Councilor,"Bohol, Saturnino Honrada",Noni,Lakas-Kampi,7205
Bato,Councilor,"Aureo, Rico Echevarria",Kokoy,Liberal Party,7308
Bato,Councilor,"Morata, James Arellano",Jim,Lakas-Kampi,7348
Bato,Councilor,"Salazar, Herbert Bohol",Ebit,Lakas-Kampi,7614
Bato,Councilor,"Alaba, Raymond Olaivar",Dondon,Lakas-Kampi,8409
Bato,Councilor,"Acenas, Alfonso Mancio",Alfon,Lakas-Kampi,8668
Bato,Councilor,"Gertos, Bryan Nile Adlawon",Tata,Liberal Party,8709
Baybay City,Mayor,"Cari, Carmen Loreto",Carmen,Lakas-Kampi,34864
Baybay City,Vice-Mayor,"Cari, Michael Loreto",Mike,Lakas-Kampi,33449
Baybay City,Councilor,"Alo, Agustin Bandalan",Odong,Independent,15150
Baybay City,Councilor,"Veloso, Teresita Jabines",Tessie,Lakas-Kampi,16742
Baybay City,Councilor,"Laplana, Erlindo Palermo",Lindo,Lakas-Kampi,18454
Baybay City,Councilor,"Beray, Leonido Avila",Nido,Lakas-Kampi,19970
Baybay City,Councilor,"Munez, Lolito Cerilla",Odin,Lakas-Kampi,20882
Baybay City,Councilor,"Retana, Rex Augusto",Rex,Lakas-Kampi,22167
Baybay City,Councilor,"Fernandez, Alan Dela Cruz",Alan,Independent,22438
Baybay City,Councilor,"Loreto, Cristelo Suan",Cris,Lakas-Kampi,23746
Baybay City,Councilor,"Asilom, Leoncio, Jr Penones",Jun,Independent,24786
Baybay City,Councilor,"Butawan, Ernesto Mejorada",Erning,Lakas-Kampi,27243
Burauen,Mayor,"Renomeron, Fe Sudario",Fe,Lakas-Kampi,14944
Burauen,Vice-Mayor,"Renomeron, Juanito Enabore",Wanit,Lakas-Kampi,16022
Burauen,Councilor,"Barbosa, Tomas Prejula",Boy,Lakas-Kampi,9361
Burauen,Councilor,"Coral, Felipe, Jr Esplanada",Bemboy,Independent,9706
Burauen,Councilor,"Alcober, David Mauro",Dave,Lakas-Kampi,9817
Burauen,Councilor,"Torres, Luis Marlon Uy",Maymay,Lakas-Kampi,10254
Burauen,Councilor,"Refuerzo, Holland Raagas",Bok,Partido Demokratiko Sosyalista ng Pilipinas,10538
Burauen,Councilor,"Carilla, Marissa Dumagat",Marisa,Lakas-Kampi,11079
Burauen,Councilor,"Magsambol, Ann Dale Ruiz",Andel,Lakas-Kampi,11134
Burauen,Councilor,"Alpino, Noel Pigos",Kokoy,Nationalista Party,13619
Calubian,Mayor,"Palconit, Doroteo Napalit",Tiyong,Lakas-Kampi,8308
Calubian,Vice-Mayor,"Ramirez, Nilda Omega",Agueda,Lakas-Kampi,7747
Calubian,Councilor,"Ponce, Gilbert Sabinay",Gilbert,Lakas-Kampi,6298
Calubian,Councilor,"Garganera, Edd Delos Santos",Edd,Nationalista Party,6407
Calubian,Councilor,"Dang-Aoen, Feluchie Eamiguel",Ochie,Nationalista Party,6705
Calubian,Councilor,"Ruiz, Rosevida Efe",Rosie,Nationalista Party,6807
Calubian,Councilor,"Po, Jacqueline Mae Laron",Jacky,Nationalista Party,7302
Calubian,Councilor,"Palconit, Lucita Aninang",Luz,Lakas-Kampi,7323
Calubian,Councilor,"Po, Hazel Retorca",Day-Day,Nationalista Party,7492
Calubian,Councilor,"Casas, Alfredo Medillo",Fredo,Lakas-Kampi,9007
Capoocan,Mayor,"Carolino, Federico, Sr Homeres",Eric,Lakas-Kampi,7613
Capoocan,Vice-Mayor,"Porciuncula, Marietta Horca",Mayet,Liberal Party,7915
Capoocan,Councilor,"Arboso, Emmanuel Datig",Emie,Lakas-Kampi,5024
Capoocan,Councilor,"Dabalos, Magdaleno Batalla",Dino,Lakas-Kampi,5345
Capoocan,Councilor,"Apuya, Gleceria Delima",Shirley,Lakas-Kampi,5735
Capoocan,Councilor,"Lipasana, Lina Egano",Lenlen,Lakas-Kampi,5751
Capoocan,Councilor,"Penaranda, Roberta De La Cruz",Etang,Lakas-Kampi,5926
Capoocan,Councilor,"Cantalejo, Lani De La Cruz",Lan,Independent,6225
Capoocan,Councilor,"Carolino, Federico Jr Pascua",Junjun,Lakas-Kampi,6640
Capoocan,Councilor,"Vallar, Lourdes Quebec",Des,Liberal Party,7569
Carigara,Mayor,"Apostol, Trinidad Go",Ebbie,Lakas-Kampi,13021
Carigara,Vice-Mayor,"Arpon, Ulpiano, Jr Uy",Baby,Lakas-Kampi,15276
Carigara,Councilor,"Aguilar, Myla Ligutan",Myla,Lakas-Kampi,9745
Carigara,Councilor,"Go, Esteban Batan",Steve,Lakas-Kampi,10460
Carigara,Councilor,"Garay, Dennis Narido",Dodong,Lakas-Kampi,11085
Carigara,Councilor,"Marquez-Villalino, Anita Tadefa",Nita,Lakas-Kampi,11709
Carigara,Councilor,"Lloren, Raul Zosa",Raul,Lakas-Kampi,11996
Carigara,Councilor,"Crisostomo, Ma Anabella Negado",Anabel,Independent,12827
Carigara,Councilor,"Larraga, Joenlee Candaza",Joan,Lakas-Kampi,13077
Carigara,Councilor,"Ong, Eduardo Canega",Boy,Lakas-Kampi,14422
Dagami,Mayor,"Ortega, Esmeralda Bardillon",Nene,Lakas-Kampi,11017
Dagami,Vice-Mayor,"Diaz, Antonio Cabidog",Tony,Lakas-Kampi,7269
Dagami,Councilor,"Mendoza, Antonio Jr Araneta",Jun,Independent,6109
Dagami,Councilor,"Cabidog, Beverly Orias",Bebet,Lakas-Kampi,6514
Dagami,Councilor,"Ortega, Darcy Adolf Xavier Bardillon",Dax,Lakas-Kampi,6571
Dagami,Councilor,"Ramulte, Virgilio Lamosa",Beo,Puwersa ng Masang Pilipino,6598
Dagami,Councilor,"Cabioc, Eufemia Canete",Eufe,Lakas-Kampi,6762
Dagami,Councilor,"Florencio, Rudy Badion",Rudy,Lakas-Kampi,6869
Dagami,Councilor,"Bud-Oy, Hermogenes Aguillon",Moni,Lakas-Kampi,7450
Dagami,Councilor,"Gerona, Danilo Uy",Dani,Lakas-Kampi,7458
Dulag,Mayor,"Que, Manuel Sia",Boy,Lakas-Kampi,12172
Dulag,Vice-Mayor,"Labadia, Montano Oteros",Tanny,Lakas-Kampi,10596
Dulag,Councilor,"Alicando, Ernesto Garcia",Erning,Lakas-Kampi,8642
Dulag,Councilor,"Labanta, Mary Kristine Teraza",Tin,Lakas-Kampi,8645
Dulag,Councilor,"Camposano, Bienvenido Yu",Benny,Puwersa ng Masang Pilipino,8673
