projects,program,appropriation,disbursement,balance,remarks
Social Development Program,Construction or Rehabilitation of Health Center,200000,19385,180615,On-Going
Social Development Program,Construction or Rehabilitation of Potable Water Supply,100000,0,100000,Not yet implemented
Social Development Program,Rehabilitation of Barangay Facilities,350000,8461,341539,On-Going
Social Development Program,Installation and Maintenance of Lighting Facilities,100000,0,100000,Not yet implemented
Social Development Program,Rehabilitation of Maasin Sports Complex,300000,36848.85,263151.15,On-Going
Social Development Program,Rehabilitation or Maintenance of Public Plaza,200000,24050,175950,On-Going
Social Development Program,Rehabilitation of Municipal Building,200000,47937.75,152062.25,On-Going
Social Development Program,Construction or Rehabilitation of School Building and Facilites,350000,72319,277681,On-Going
Social Development Program,Rehabilitation of Public Safety Center,50000,0,50000,Not yet implemented
Social Development Program,Local Housing Project - Site Development,200000,0,200000,Not yet implemented
Social Development Program,Development of Cultural Activities,300000,0,300000,Not yet implemented
Social Development Program,Rehabilitation of Historical Sites,150000,6000,144000,On-Going
Economic Development Program,Construction or Rehabilitation of Barangay Road,2000000,348071.77,1651928.23,On-Going
Economic Development Program,Rehabilitation of Magsaysay-Piandaan Road,200000,0,200000,Not yet implemented
Economic Development Program,Construcion or Rehabilitation of Public Market Stall and Slaughterhouse,220000,24050,195950,On-Going
Economic Development Program,Construction or Rehabilitation of Agricultural Development Project,100000,0,100000,Not yet implemented
Economic Development Program,Loan Amortization (Public Market),1600000,250521.7,1349478.3,On-Going
Economic Development Program,Loan Amortization (Purchase of Heavy Equipment),3000000,0,3000000,On-Going
Environmental Developmental Program,Establishment of Municipal Nursery,220000,30638,189362,On-Going
Environmental Developmental Program,Clean and Green Program,200000,0,200000,Not yet implemented
Environmental Developmental Program,Closure or Rehabilitation of Open Dumpsite,100000,0,100000,Not yet implemented
Environmental Developmental Program,Solid Waste Management Program,300000,22484,277516,On-Going
"Rehabilitation of Abuttment ""A"" (Riprapping) of Poblacion-Tubang Bridge with Spot Concreting (Res. No. 2012 - 22 and 23)","Rehabilitation of Abuttment ""A"" (Riprapping) of Poblacion-Tubang Bridge with Spot Concreting (Res. No. 2012 - 22 and 23)",1034130.77,0,1034130.77,Not yet implemented
