particulars_1,particulars_2,ldrrmf_quick_response_fund_30_percent,ldrrmf_mitigation_fund_70_percent,ndrrmf,from_other_lgu,from_other_sources,total
Sources of Funds,Current Appropriation,5640518.93,13161210.83,-,-,-,18801729.76
Sources of Funds,Continuing Appropriation,-,-,-,-,-,-
Sources of Funds,Previous Year's Appropriation transferred to the special Fund,5160380.89,2809642.42,-,-,-,7970023.31
Sources of Funds,Transfers or Grants,-,-,-,-,414700,414700
Sources of Funds,Total Funds Available,10800899.82,15970853.25,-,-,414700,27186453.07
Utilization,Quick Response,1177178.5,-,-,-,-,1177178.5
Utilization,Quick Response - Preparedness - Various Training and Drills,-,-,-,-,-,-
Utilization,Quick Response - Preparedness - Tree and Mangrove Planting,-,-,-,-,-,-
Utilization,"Quick Response - Preparedness - River, Creeks and Drainage clearing or declogging or construction and repair",-,1381940,-,-,-,1381940
Utilization,Quick Response - Preparedness - Financial assistance to affected families of river and creek clearing,-,-,-,-,-,-
Utilization,"Quick Response - Preparedness - Acquisition of equipment for emergency, search, rescue and recovery operation",-,639152,-,-,-,639152
Utilization,Quick Response - Preparedness - Construction of DRRM Center or Office,-,-,-,-,-,-
Utilization,Quick Response - Preparedness - Maintenance and Other Operating Expenses,-,-,-,-,-,-
Utilization,"Quick Response - Rehabilitation - Rehabilitation of damaged public infrastructures, agricultural crops or livestock and fishery",-,-,-,-,-,-
Utilization,Quick Response - Rehabilitation - Assistance to families with damaged dwelling units,-,-,-,-,-,-
Utilization,Quick Response - Rehabilitation - Psychological and emotional theraphy or counseling,-,-,-,-,-,3198270.5
Total Utilization, -,1177178.5,2021092,-,-,414700,23988182.57
