region,province,city_or_municipality,existing_establishment_number_of_aes,existing_establishment_number_of_rooms,existing_establishment_expension_rooms,under_construction_estblishment_number_of_aes,under_construction_estblishment_number_of_rooms,total_number_of_aes,total_number_of_rooms
VII (Central Visayas),Cebu,Alcoy,17,102,0,0,0,17,102
VII (Central Visayas),Cebu,Alegria,7,70,21,1,6,8,97
VII (Central Visayas),Cebu,Aloguinsan,5,18,0,0,0,5,18
VII (Central Visayas),Cebu,Argao,29,166,0,0,0,29,166
VII (Central Visayas),Cebu,Asturias,2,18,0,0,0,2,18
VII (Central Visayas),Cebu,Badian,13,154,10,0,0,13,164
VII (Central Visayas),Cebu,Balamban,7,110,0,0,0,7,110
VII (Central Visayas),Cebu,Bantayan,6,37,0,0,0,6,37
VII (Central Visayas),Cebu,Barili,7,25,1,0,0,7,26
VII (Central Visayas),Cebu,Bogo City,18,243,0,0,0,18,243
VII (Central Visayas),Cebu,Boljoon,10,78,0,2,27,12,105
VII (Central Visayas),Cebu,Borbon,4,20,0,0,0,4,20
VII (Central Visayas),Cebu,Carcar City,12,110,0,2,35,14,145
VII (Central Visayas),Cebu,Catmon,8,68,14,1,4,9,86
VII (Central Visayas),Cebu,Compostela,16,215,6,0,0,16,221
VII (Central Visayas),Cebu,Cordova,8,215,0,0,0,8,215
VII (Central Visayas),Cebu,Daanbantayan,18,127,2,1,18,19,147
VII (Central Visayas),Cebu,Daanbantayan (Malapascua Island),26,311,11,0,0,26,322
VII (Central Visayas),Cebu,Dalaguete,12,124,0,2,1,14,125
VII (Central Visayas),Cebu,Danao City,13,368,0,0,0,13,368
VII (Central Visayas),Cebu,Dumanjug,6,46,2,0,0,6,48
VII (Central Visayas),Cebu,Ginatilan,4,23,5,0,0,4,28
VII (Central Visayas),Cebu,Liloan,8,144,0,0,0,8,144
VII (Central Visayas),Cebu,Madridejos,9,55,0,0,0,9,55
VII (Central Visayas),Cebu,Malabuyoc,1,10,0,0,0,1,10
VII (Central Visayas),Cebu,Medellin,7,54,1,2,181,9,236
VII (Central Visayas),Cebu,Minglanilla,5,85,10,0,0,5,95
VII (Central Visayas),Cebu,Moalboal,58,550,5,0,0,58,555
VII (Central Visayas),Cebu,Naga City,1,15,0,0,0,1,15
VII (Central Visayas),Cebu,Oslob,19,101,6,0,0,19,107
VII (Central Visayas),Cebu,Pilar,9,39,0,1,8,10,47
VII (Central Visayas),Cebu,Pinamungahan,13,132,0,0,0,13,132
VII (Central Visayas),Cebu,Poro,10,54,3,1,3,11,60
VII (Central Visayas),Cebu,Ronda,2,9,0,0,0,2,9
VII (Central Visayas),Cebu,Samboan,3,20,7,0,0,3,27
VII (Central Visayas),Cebu,San Fernando,3,88,0,0,0,3,88
VII (Central Visayas),Cebu,San Francisco,15,171,3,0,0,15,174
VII (Central Visayas),Cebu,San Remigio,12,193,0,0,0,12,193
VII (Central Visayas),Cebu,Santa Fe,24,274,42,0,0,24,316
VII (Central Visayas),Cebu,Santander,11,99,13,0,0,11,112
VII (Central Visayas),Cebu,Sogod,5,72,0,0,0,5,72
VII (Central Visayas),Cebu,Tabogon,2,12,0,0,0,2,12
VII (Central Visayas),Cebu,Tabuelan,4,41,0,0,0,4,41
VII (Central Visayas),Cebu,Talisay City,11,187,46,0,0,11,233
VII (Central Visayas),Cebu,Toledo City,16,283,4,0,0,16,287
VII (Central Visayas),Cebu,Tuburan,8,62,0,0,0,8,62
VII (Central Visayas),Cebu,Tudela,5,22,0,0,0,5,22
VII (Central Visayas),Negros Oriental,Amlan,4,23,0,0,0,4,23
VII (Central Visayas),Negros Oriental,Bacong,6,49,0,0,0,6,49
VII (Central Visayas),Negros Oriental,Bais City,4,56,0,0,0,4,56
VII (Central Visayas),Negros Oriental,Basay,3,11,5,0,0,3,16
VII (Central Visayas),Negros Oriental,Bayawan City,7,105,0,0,0,7,105
VII (Central Visayas),Negros Oriental,Canlaon City,8,58,4,4,11,12,73
VII (Central Visayas),Negros Oriental,Dauin,22,324,12,1,8,23,344
VII (Central Visayas),Negros Oriental,Dumaguete City,58,1392,2,1,150,59,1544
VII (Central Visayas),Negros Oriental,Guihulngan City,2,9,3,0,0,2,12
VII (Central Visayas),Negros Oriental,La Libertad,1,13,0,0,0,1,13
VII (Central Visayas),Negros Oriental,Mabinay,6,47,0,0,0,6,47
VII (Central Visayas),Negros Oriental,Manjuyod,1,13,0,0,0,1,13
VII (Central Visayas),Negros Oriental,San Jose,2,28,0,0,0,2,28
VII (Central Visayas),Negros Oriental,Santa Catalina,1,11,0,0,0,1,11
VII (Central Visayas),Negros Oriental,Siaton,6,80,16,0,0,6,96
VII (Central Visayas),Negros Oriental,Sibulan,4,28,60,0,0,4,88
VII (Central Visayas),Negros Oriental,Tanjay City,5,49,0,0,0,5,49
VII (Central Visayas),Negros Oriental,Valencia,6,28,0,2,8,8,36
VII (Central Visayas),Negros Oriental,Vallehermoso,2,6,0,0,0,2,6
VII (Central Visayas),Negros Oriental,Zamboanguita,3,31,0,0,0,3,31
VII (Central Visayas),Siquijor,Enrique Villanueva,3,10,0,0,0,3,10
VII (Central Visayas),Siquijor,Larena,18,101,12,0,0,18,113
VII (Central Visayas),Siquijor,Lazi,1,2,2,0,0,1,4
VII (Central Visayas),Siquijor,Maria,3,35,7,0,0,3,42
VII (Central Visayas),Siquijor,San Juan,25,159,36,2,9,27,204
VII (Central Visayas),Siquijor,Siquijor,12,110,64,0,0,12,174
VII (Central Visayas),Cebu City,Cebu City,143,9412,570,9,937,152,10919
VII (Central Visayas),Lapu-Lapu City,Lapu-Lapu City,55,4199,34,2,47,57,4280
VII (Central Visayas),Mandaue City,Mandaue City,21,764,45,0,0,21,809
VIII (Eastern Visayas),Eastern Samar,Balangiga,3,16,15,0,0,3,31
VIII (Eastern Visayas),Eastern Samar,Balangkayan,1,2,0,0,0,1,2
VIII (Eastern Visayas),Eastern Samar,Borongan City,18,238,0,0,0,18,238
VIII (Eastern Visayas),Eastern Samar,Dolores,6,27,5,0,0,6,32
VIII (Eastern Visayas),Eastern Samar,General Macarthur,4,26,0,0,0,4,26
VIII (Eastern Visayas),Eastern Samar,Guiuan,12,136,53,1,3,13,192
VIII (Eastern Visayas),Eastern Samar,Lawaan,2,5,6,0,0,2,11
VIII (Eastern Visayas),Eastern Samar,Llorente,1,6,3,0,0,1,9
VIII (Eastern Visayas),Eastern Samar,Maydolong,1,5,0,0,0,1,5
VIII (Eastern Visayas),Eastern Samar,Oras,1,24,0,0,0,1,24
VIII (Eastern Visayas),Eastern Samar,Salcedo,2,13,0,0,0,2,13
VIII (Eastern Visayas),Eastern Samar,San Julian,1,9,0,0,0,1,9
VIII (Eastern Visayas),Eastern Samar,San Policarpo,1,7,0,0,0,1,7
VIII (Eastern Visayas),Eastern Samar,Sulat,1,5,0,0,0,1,5
VIII (Eastern Visayas),Eastern Samar,Taft,3,25,8,0,0,3,33
VIII (Eastern Visayas),Leyte,Abuyog,3,49,0,0,0,3,49
VIII (Eastern Visayas),Leyte,Alangalang,1,5,0,0,0,1,5
VIII (Eastern Visayas),Leyte,Bato,2,12,0,0,0,2,12
VIII (Eastern Visayas),Leyte,Baybay City,12,217,18,0,0,12,235
VIII (Eastern Visayas),Leyte,Burauen,3,13,0,0,0,3,13
VIII (Eastern Visayas),Leyte,Carigara,3,18,15,1,11,4,44
VIII (Eastern Visayas),Leyte,Dulag,2,14,0,0,0,2,14
VIII (Eastern Visayas),Leyte,Hilongos,2,19,0,0,0,2,19
VIII (Eastern Visayas),Leyte,Hindang,2,21,0,1,4,3,25
VIII (Eastern Visayas),Leyte,Jaro,2,19,0,0,0,2,19
VIII (Eastern Visayas),Leyte,Macarthur,1,4,0,0,0,1,4
VIII (Eastern Visayas),Leyte,Mahaplag,1,8,0,0,0,1,8
VIII (Eastern Visayas),Leyte,Palo,2,58,37,0,0,2,95
VIII (Eastern Visayas),Leyte,Tanauan,3,21,22,0,0,3,43
VIII (Eastern Visayas),Leyte,Tolosa,2,10,4,0,0,2,14
VIII (Eastern Visayas),Southern Leyte,Anahawan,1,7,0,0,0,1,7
VIII (Eastern Visayas),Southern Leyte,Hinunangan,13,75,8,0,0,13,83
VIII (Eastern Visayas),Southern Leyte,Hinundayan,4,20,0,0,0,4,20
VIII (Eastern Visayas),Southern Leyte,Liloan,3,19,0,0,0,3,19
VIII (Eastern Visayas),Southern Leyte,Limasawa,1,2,0,0,0,1,2
VIII (Eastern Visayas),Southern Leyte,Maasin City,13,219,3,0,0,13,222
VIII (Eastern Visayas),Southern Leyte,Macrohon,5,64,0,1,8,6,72
VIII (Eastern Visayas),Southern Leyte,Malitbog,3,16,0,0,0,3,16
VIII (Eastern Visayas),Southern Leyte,Padre Burgos,7,59,0,0,0,7,59
VIII (Eastern Visayas),Southern Leyte,Pintuyan,2,11,0,0,0,2,11
VIII (Eastern Visayas),Southern Leyte,Saint Bernard,5,33,0,0,0,5,33
VIII (Eastern Visayas),Southern Leyte,San Francisco,4,26,2,0,0,4,28
VIII (Eastern Visayas),Southern Leyte,San Juan,5,45,0,0,0,5,45
VIII (Eastern Visayas),Southern Leyte,San Ricardo,1,7,0,0,0,1,7
VIII (Eastern Visayas),Southern Leyte,Sogod,8,114,0,0,0,8,114
VIII (Eastern Visayas),Western Samar,Basey,5,30,10,0,0,5,40
VIII (Eastern Visayas),Western Samar,Marabut,5,56,1,1,1,6,58
VIII (Eastern Visayas),Western Samar,Paranas,3,11,12,0,0,3,23
VIII (Eastern Visayas),Tacloban City,Tacloban City,43,1339,57,2,100,45,1496
IX (Zamboanga Peninsula),Zamboanga del Norte,Dapitan City,18,388,0,0,0,18,388
IX (Zamboanga Peninsula),Zamboanga del Norte,Dipolog City,40,769,77,4,98,44,944
IX (Zamboanga Peninsula),Zamboanga del Norte,Liloy,3,36,0,0,0,3,36
IX (Zamboanga Peninsula),Zamboanga del Norte,Manukan,1,9,0,0,0,1,9
IX (Zamboanga Peninsula),Zamboanga del Norte,Mutia,1,1,0,0,0,1,1
IX (Zamboanga Peninsula),Zamboanga del Norte,Polanco,1,7,0,0,0,1,7
IX (Zamboanga Peninsula),Zamboanga del Norte,Pres. Manuel A. Roxas,2,12,0,0,0,2,12
IX (Zamboanga Peninsula),Zamboanga del Norte,Rizal,1,2,0,0,0,1,2
IX (Zamboanga Peninsula),Zamboanga del Norte,Salug,3,48,0,0,0,3,48
IX (Zamboanga Peninsula),Zamboanga del Norte,Sindangan,6,63,0,0,0,6,63
IX (Zamboanga Peninsula),Zamboanga del Sur,Aurora,4,46,0,0,0,4,46
IX (Zamboanga Peninsula),Zamboanga del Sur,Lakewood,1,24,0,0,0,1,24
IX (Zamboanga Peninsula),Zamboanga del Sur,Molave,5,78,0,0,0,5,78
IX (Zamboanga Peninsula),Zamboanga del Sur,Pagadian City,35,991,4,3,86,38,1081
IX (Zamboanga Peninsula),Zamboanga del Sur,Tukuran,4,15,0,0,0,4,15
IX (Zamboanga Peninsula),Zamboanga Sibugay,Buug,4,41,5,1,24,5,70
IX (Zamboanga Peninsula),Zamboanga Sibugay,Diplahan,2,19,0,0,0,2,19
IX (Zamboanga Peninsula),Zamboanga Sibugay,Imelda,3,32,0,0,0,3,32
IX (Zamboanga Peninsula),Zamboanga Sibugay,Ipil,15,372,37,0,0,15,409
IX (Zamboanga Peninsula),Zamboanga Sibugay,Kabasalan,3,39,6,0,0,3,45
IX (Zamboanga Peninsula),Isabela City,Isabela City,7,61,1,0,0,7,62
IX (Zamboanga Peninsula),Zamboanga City,Zamboanga City,58,1367,350,0,0,58,1717
X (Northern Mindanao),Bukidnon,Malaybalay City,23,413,73,0,0,23,486
X (Northern Mindanao),Bukidnon,Manolo Fortich,9,123,36,0,0,9,159
X (Northern Mindanao),Bukidnon,Maramag,15,232,50,0,0,15,282
X (Northern Mindanao),Bukidnon,Quezon,3,25,5,0,0,3,30
X (Northern Mindanao),Bukidnon,Valencia City,20,343,84,2,19,22,446
X (Northern Mindanao),Camiguin,Catarman,10,58,7,0,0,10,65
X (Northern Mindanao),Camiguin,Guinsiliban,1,5,0,0,0,1,5
X (Northern Mindanao),Camiguin,Mahinog,5,56,5,0,0,5,61
X (Northern Mindanao),Camiguin,Mambajao,57,458,44,1,15,58,517
X (Northern Mindanao),Camiguin,Sagay,9,45,2,1,2,10,49
X (Northern Mindanao),Lanao del Norte,Bacolod,1,11,0,0,0,1,11
X (Northern Mindanao),Lanao del Norte,Baroy,1,4,0,0,0,1,4
X (Northern Mindanao),Lanao del Norte,Kapatagan,1,15,0,0,0,1,15
X (Northern Mindanao),Lanao del Norte,Kolambugan,2,12,0,0,0,2,12
X (Northern Mindanao),Lanao del Norte,Lala,3,48,9,0,0,3,57
X (Northern Mindanao),Lanao del Norte,Linamon,1,5,4,0,0,1,9
X (Northern Mindanao),Lanao del Norte,Maigo,4,42,32,0,0,4,74
X (Northern Mindanao),Lanao del Norte,Tubod,6,96,28,0,0,6,124
X (Northern Mindanao),Misamis Occidental,Oroquieta City,9,120,8,2,71,11,199
X (Northern Mindanao),Misamis Occidental,Ozamis City,18,501,25,0,0,18,526
X (Northern Mindanao),Misamis Occidental,Sinacaban,2,7,1,0,0,2,8
X (Northern Mindanao),Misamis Occidental,Tangub City,5,57,14,0,0,5,71
X (Northern Mindanao),Misamis Oriental,Alubijid,1,5,0,0,0,1,5
X (Northern Mindanao),Misamis Oriental,Balingoan,3,43,0,0,0,3,43
X (Northern Mindanao),Misamis Oriental,Gingoog City,14,185,0,0,0,14,185
X (Northern Mindanao),Misamis Oriental,Gitagum,1,6,0,1,20,2,26
X (Northern Mindanao),Misamis Oriental,Initao,6,63,3,0,0,6,66
X (Northern Mindanao),Misamis Oriental,Jasaan,3,42,0,0,0,3,42
X (Northern Mindanao),Misamis Oriental,Medina,4,61,0,1,35,5,96
X (Northern Mindanao),Misamis Oriental,Opol,2,59,0,0,0,2,59
X (Northern Mindanao),Misamis Oriental,Salay,1,4,0,0,0,1,4
X (Northern Mindanao),Misamis Oriental,Talisayan,1,22,0,0,0,1,22
X (Northern Mindanao),Misamis Oriental,Villanueva,2,27,0,0,0,2,27
X (Northern Mindanao),Cagayan de Oro City,Cagayan de Oro City,102,4021,88,4,697,106,4806
X (Northern Mindanao),Iligan City,Iligan City,35,899,64,0,0,35,963
XI (Davao Region),Compostela Valley,Mabini,5,45,0,0,0,5,45
XI (Davao Region),Compostela Valley,Maragusan,4,37,0,0,0,4,37
XI (Davao Region),Compostela Valley,Mawab,1,8,0,0,0,1,8
XI (Davao Region),Compostela Valley,Monkayo,6,49,0,0,0,6,49
XI (Davao Region),Compostela Valley,Montevista,2,32,0,0,0,2,32
XI (Davao Region),Compostela Valley,Nabunturan,7,66,0,0,0,7,66
XI (Davao Region),Compostela Valley,New Bataan,2,12,0,0,0,2,12
XI (Davao Region),Compostela Valley,Pantukan,4,55,0,0,0,4,55
XI (Davao Region),Davao del Norte,Carmen,1,46,0,0,0,1,46
XI (Davao Region),Davao del Norte,Panabo City,5,68,0,0,0,5,68
XI (Davao Region),Davao del Norte,Samal City,50,607,23,2,10,52,640
XI (Davao Region),Davao del Norte,Tagum City,42,791,42,1,32,43,865
XI (Davao Region),Davao del Sur,Bansalan,7,84,0,1,2,8,86
XI (Davao Region),Davao del Sur,Digos City,21,270,0,0,0,21,270
XI (Davao Region),Davao del Sur,Don Marcelino,2,6,0,0,0,2,6
XI (Davao Region),Davao del Sur,Hagonoy,4,38,0,0,0,4,38
XI (Davao Region),Davao del Sur,Jose Abad Santos,9,81,0,0,0,9,81
XI (Davao Region),Davao del Sur,Magsaysay,2,16,0,0,0,2,16
XI (Davao Region),Davao del Sur,Malalag,1,14,0,0,0,1,14
XI (Davao Region),Davao del Sur,Malita,8,78,0,0,0,8,78
XI (Davao Region),Davao del Sur,Matanao,1,14,0,0,0,1,14
XI (Davao Region),Davao del Sur,Padada,3,33,0,0,0,3,33
XI (Davao Region),Davao del Sur,Santa Cruz,5,40,5,0,0,5,45
XI (Davao Region),Davao del Sur,Santa Maria,2,27,0,0,0,2,27
XI (Davao Region),Davao Oriental,Baganga,2,14,0,0,0,2,14
XI (Davao Region),Davao Oriental,Banaybanay,3,15,0,0,0,3,15
XI (Davao Region),Davao Oriental,Caraga,2,14,0,0,0,2,14
XI (Davao Region),Davao Oriental,Cateel,4,36,0,0,0,4,36
XI (Davao Region),Davao Oriental,Governor Generoso,5,35,0,0,0,5,35
XI (Davao Region),Davao Oriental,Lupon,5,68,0,0,0,5,68
XI (Davao Region),Davao Oriental,Mati City,23,339,0,0,0,23,339
XI (Davao Region),Davao City,Davao City,166,6575,176,4,485,170,7236
XII (SOCCSKSARGEN),North Cotabato,Kabacan,5,85,15,0,0,5,100
XII (SOCCSKSARGEN),North Cotabato,Kidapawan City,18,370,31,1,10,19,411
XII (SOCCSKSARGEN),North Cotabato,M'Lang,3,21,2,0,0,3,23
XII (SOCCSKSARGEN),North Cotabato,Midsayap,5,91,0,0,0,5,91
XII (SOCCSKSARGEN),North Cotabato,Pigkawayan,2,23,0,0,0,2,23
XII (SOCCSKSARGEN),Sarangani,Alabel,1,18,0,0,0,1,18
XII (SOCCSKSARGEN),Sarangani,Glan,9,141,9,0,0,9,150
XII (SOCCSKSARGEN),Sarangani,Kiamba,4,35,18,0,0,4,53
XII (SOCCSKSARGEN),Sarangani,Maasim,2,36,23,0,0,2,59
XII (SOCCSKSARGEN),Sarangani,Maitum,2,14,8,0,0,2,22
XII (SOCCSKSARGEN),Sarangani,Malungon,1,6,0,0,0,1,6
XII (SOCCSKSARGEN),South Cotabato,Banga,1,6,0,0,0,1,6
XII (SOCCSKSARGEN),South Cotabato,Koronadal City,19,422,40,0,0,19,462
XII (SOCCSKSARGEN),South Cotabato,Lake Sebu,7,114,8,0,0,7,122
XII (SOCCSKSARGEN),South Cotabato,Polomolok,5,64,4,0,0,5,68
XII (SOCCSKSARGEN),South Cotabato,Surallah,1,28,0,0,0,1,28
XII (SOCCSKSARGEN),Sultan Kudarat,Isulan,3,44,2,0,0,3,46
XII (SOCCSKSARGEN),Sultan Kudarat,Tacurong City,8,139,0,0,0,8,139
XII (SOCCSKSARGEN),Cotabato City,Cotabato City,15,367,56,1,12,16,435
XII (SOCCSKSARGEN),General Santos City,General Santos City,55,1402,79,0,0,55,1481
XIII (Caraga),Agusan del Norte,Cabadbaran City,6,82,0,0,0,6,82
XIII (Caraga),Agusan del Norte,Carmen,6,62,0,0,0,6,62
XIII (Caraga),Agusan del Sur,Bayugan City,2,24,0,0,0,2,24
XIII (Caraga),Agusan del Sur,Prosperidad,3,22,0,0,0,3,22
XIII (Caraga),Agusan del Sur,San Francisco,6,109,0,0,0,6,109
XIII (Caraga),Agusan del Sur,Trento,2,12,6,0,0,2,18
XIII (Caraga),Surigao del Norte,Burgos,1,3,0,1,1,2,4
XIII (Caraga),Surigao del Norte,Claver,4,50,16,0,0,4,66
XIII (Caraga),Surigao del Norte,Dapa,5,46,19,3,15,8,80
XIII (Caraga),Surigao del Norte,del Carmen,11,36,31,0,0,11,67
XIII (Caraga),Surigao del Norte,General Luna,39,261,43,4,28,43,332
XIII (Caraga),Surigao del Norte,Mainit,1,41,8,0,0,1,49
XIII (Caraga),Surigao del Norte,Pilar,13,34,6,1,3,14,43
XIII (Caraga),Surigao del Norte,San Isidro,9,33,18,1,2,10,53
XIII (Caraga),Surigao del Norte,Santa Monica,11,34,28,4,19,15,81
XIII (Caraga),Surigao del Norte,Socorro,4,39,4,0,0,4,43
XIII (Caraga),Surigao del Norte,Surigao City,43,685,212,0,0,43,897
XIII (Caraga),Surigao del Sur,Barobo,5,54,8,0,0,5,62
XIII (Caraga),Surigao del Sur,Bislig City,10,163,23,0,0,10,186
XIII (Caraga),Surigao del Sur,Cagwait,6,36,0,0,0,6,36
XIII (Caraga),Surigao del Sur,Hinatuan,3,32,0,0,0,3,32
XIII (Caraga),Surigao del Sur,Lanuza,3,19,0,0,0,3,19
XIII (Caraga),Surigao del Sur,Lianga,1,18,0,0,0,1,18
XIII (Caraga),Surigao del Sur,San Agustin,3,28,7,0,0,3,35
XIII (Caraga),Surigao del Sur,Tandag City,12,230,29,0,0,12,259
XIII (Caraga),Butuan City,Butuan City,29,897,0,0,0,29,897
,,,,,,,,,
Note:  Based on the 2012 Accommodation Capacity Survey,,,,,,,,,
