region,province,city_or_municipality,existing_establishment_number_of_aes,existing_establishment_number_of_rooms,existing_establishment_expension_rooms,under_construction_estblishment_number_of_aes,under_construction_estblishment_number_of_rooms,total_number_of_aes,total_number_of_rooms
I (Ilocos Region),La Union,Caba,3,55,3,0,0,3,58
I (Ilocos Region),La Union,Luna,3,22,10,0,0,3,32
I (Ilocos Region),La Union,Naguilian,4,15,0,0,0,4,15
I (Ilocos Region),La Union,Pugo,3,26,35,0,0,3,61
I (Ilocos Region),La Union,Rosario,5,47,5,0,0,5,52
I (Ilocos Region),La Union,San Fernando City,15,395,128,0,0,15,523
I (Ilocos Region),La Union,San Juan,14,266,11,0,0,14,277
I (Ilocos Region),La Union,Santo Tomas,1,15,0,0,0,1,15
I (Ilocos Region),La Union,Santol,2,18,0,0,0,2,18
I (Ilocos Region),La Union,Sudipen,1,26,0,0,0,1,26
I (Ilocos Region),La Union,Tubao,1,7,0,0,0,1,7
I (Ilocos Region),Pangasinan,Alaminos City,45,414,47,2,22,47,483
I (Ilocos Region),Pangasinan,Alcala,2,20,0,0,0,2,20
I (Ilocos Region),Pangasinan,Anda,9,51,11,0,0,9,62
I (Ilocos Region),Pangasinan,Asingan,2,4,0,0,0,2,4
I (Ilocos Region),Pangasinan,Balungao,1,3,0,0,0,1,3
I (Ilocos Region),Pangasinan,Bani,3,18,4,0,0,3,22
I (Ilocos Region),Pangasinan,Bautista,1,20,0,0,0,1,20
I (Ilocos Region),Pangasinan,Bayambang,4,36,0,0,0,4,36
I (Ilocos Region),Pangasinan,Binmaley,1,10,0,0,0,1,10
I (Ilocos Region),Pangasinan,Bolinao,39,485,46,0,0,39,531
I (Ilocos Region),Pangasinan,Bugallon,2,25,0,0,0,2,25
I (Ilocos Region),Pangasinan,Calasiao,9,206,5,0,0,9,211
I (Ilocos Region),Pangasinan,Dagupan City,34,876,2,0,0,34,878
I (Ilocos Region),Pangasinan,Dasol,7,62,14,0,0,7,76
I (Ilocos Region),Pangasinan,Infanta,1,3,3,0,0,1,6
I (Ilocos Region),Pangasinan,Labrador,8,139,8,0,0,8,147
I (Ilocos Region),Pangasinan,Lingayen,25,341,28,0,0,25,369
I (Ilocos Region),Pangasinan,Malasiqui,7,50,12,0,0,7,62
I (Ilocos Region),Pangasinan,Manaoag,5,87,7,0,0,5,94
I (Ilocos Region),Pangasinan,Mangaldan,2,16,8,0,0,2,24
I (Ilocos Region),Pangasinan,Mangatarem,4,36,11,0,0,4,47
I (Ilocos Region),Pangasinan,Rosales,4,84,0,0,0,4,84
I (Ilocos Region),Pangasinan,San Carlos City,7,114,3,0,0,7,117
I (Ilocos Region),Pangasinan,San Fabian,25,206,19,0,0,25,225
I (Ilocos Region),Pangasinan,San Manuel,3,11,0,0,0,3,11
I (Ilocos Region),Pangasinan,San Quintin,3,20,2,0,0,3,22
I (Ilocos Region),Pangasinan,Sison,7,43,5,0,0,7,48
I (Ilocos Region),Pangasinan,Sual,2,15,6,0,0,2,21
I (Ilocos Region),Pangasinan,Tayug,2,18,0,0,0,2,18
I (Ilocos Region),Pangasinan,Umingan,2,14,10,0,0,2,24
I (Ilocos Region),Pangasinan,Urbiztondo,1,3,0,0,0,1,3
I (Ilocos Region),Pangasinan,Urdaneta City,10,260,4,0,0,10,264
I (Ilocos Region),Pangasinan,Villasis,1,10,0,0,0,1,10
II (Cagayan Valley),Cagayan,Aparri,4,90,1,0,0,4,91
II (Cagayan Valley),Cagayan,Claveria,11,120,15,0,0,11,135
II (Cagayan Valley),Cagayan,Enrile,1,8,1,0,0,1,9
II (Cagayan Valley),Cagayan,Gonzaga,2,21,0,0,0,2,21
II (Cagayan Valley),Cagayan,Lal-Lo,1,38,14,0,0,1,52
II (Cagayan Valley),Cagayan,Penablanca,1,21,0,0,0,1,21
II (Cagayan Valley),Cagayan,Santa Ana,14,389,78,0,0,14,467
II (Cagayan Valley),Cagayan,Tuguegarao City,29,1472,23,0,0,29,1495
II (Cagayan Valley),Isabela,Cabagan,1,16,6,0,0,1,22
II (Cagayan Valley),Isabela,Cauayan City,22,544,115,0,0,22,659
II (Cagayan Valley),Isabela,Cordon,3,48,6,0,0,3,54
II (Cagayan Valley),Isabela,Gamu,3,47,38,0,0,3,85
II (Cagayan Valley),Isabela,Ilagan,3,30,10,0,0,3,40
II (Cagayan Valley),Isabela,Luna,1,20,0,0,0,1,20
II (Cagayan Valley),Isabela,Ramon,3,38,0,0,0,3,38
II (Cagayan Valley),Isabela,Reina Mercedes,1,7,0,0,0,1,7
II (Cagayan Valley),Isabela,Roxas,2,50,0,0,0,2,50
II (Cagayan Valley),Isabela,San Mateo,3,44,1,0,0,3,45
II (Cagayan Valley),Isabela,San Pablo,2,29,120,0,0,2,149
II (Cagayan Valley),Isabela,Santiago City,11,339,27,0,0,11,366
II (Cagayan Valley),Isabela,Tumauini,1,12,0,0,0,1,12
II (Cagayan Valley),Nueva Vizcaya,Bagabag,1,16,0,0,0,1,16
II (Cagayan Valley),Nueva Vizcaya,Bambang,5,45,23,1,6,6,74
II (Cagayan Valley),Nueva Vizcaya,Bayombong,11,166,26,0,0,11,192
II (Cagayan Valley),Nueva Vizcaya,Diadi,1,10,0,0,0,1,10
II (Cagayan Valley),Nueva Vizcaya,Solano,12,268,17,0,0,12,285
II (Cagayan Valley),Quirino,Aglipay,2,15,0,0,0,2,15
II (Cagayan Valley),Quirino,Cabarroguis,1,18,0,0,0,1,18
II (Cagayan Valley),Quirino,Diffun,4,35,13,0,0,4,48
