particular,number_of_inbound_flights,number_of_outbound_flights
January ,48,50
February,41,41
March,44,44
April,52,52
May,53,53
June,54,54
July,53,53
August,55,55
September,57,57
October,51,51
November,52,52
December,55,55
Total,615,617
